frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.97,-0.37,10.97,-0.37,0.37,0.47,-0.51,11.35,11.35,11.34
20.20,11.00,-0.34,11.00,-0.34,0.35,0.43,-0.52,11.35,11.35,11.34
20.40,11.03,-0.31,11.03,-0.32,0.32,0.39,-0.53,11.35,11.35,11.34
20.61,11.06,-0.28,11.06,-0.29,0.28,0.35,-0.55,11.34,11.34,11.34
20.81,11.09,-0.25,11.09,-0.25,0.25,0.30,-0.56,11.34,11.34,11.34
21.02,11.12,-0.22,11.12,-0.22,0.21,0.26,-0.57,11.33,11.34,11.34
21.23,11.15,-0.17,11.15,-0.18,0.18,0.22,-0.59,11.33,11.33,11.32
21.44,11.18,-0.13,11.18,-0.13,0.14,0.17,-0.61,11.32,11.31,11.31
21.66,11.20,-0.09,11.20,-0.09,0.09,0.13,-0.62,11.30,11.30,11.29
21.87,11.22,-0.05,11.23,-0.05,0.05,0.09,-0.64,11.27,11.28,11.27
22.09,11.25,-0.01,11.25,-0.01,0.01,0.05,-0.65,11.26,11.26,11.26
22.31,11.28,0.05,11.28,0.04,-0.04,0.00,-0.67,11.24,11.24,11.23
22.54,11.30,0.09,11.30,0.09,-0.09,-0.04,-0.69,11.21,11.22,11.21
22.76,11.33,0.14,11.32,0.13,-0.14,-0.09,-0.71,11.20,11.19,11.19
22.99,11.34,0.18,11.34,0.18,-0.18,-0.13,-0.72,11.16,11.16,11.16
23.22,11.36,0.23,11.36,0.23,-0.23,-0.17,-0.74,11.13,11.14,11.13
23.45,11.39,0.29,11.39,0.28,-0.27,-0.22,-0.76,11.12,11.11,11.10
23.69,11.41,0.32,11.41,0.32,-0.32,-0.26,-0.78,11.09,11.10,11.09
23.92,11.44,0.37,11.44,0.36,-0.36,-0.31,-0.80,11.08,11.08,11.07
24.16,11.46,0.40,11.46,0.40,-0.40,-0.35,-0.82,11.06,11.06,11.06
24.40,11.47,0.43,11.48,0.44,-0.44,-0.39,-0.84,11.03,11.04,11.04
24.65,11.50,0.48,11.50,0.47,-0.48,-0.44,-0.87,11.02,11.02,11.02
24.89,11.52,0.52,11.52,0.51,-0.51,-0.48,-0.89,11.01,11.01,11.00
25.14,11.54,0.55,11.55,0.55,-0.55,-0.53,-0.91,10.99,10.99,10.99
25.39,11.57,0.60,11.57,0.59,-0.59,-0.57,-0.93,10.98,10.97,10.97
25.65,11.59,0.63,11.59,0.63,-0.63,-0.62,-0.95,10.96,10.96,10.96
25.91,11.61,0.68,11.61,0.67,-0.67,-0.66,-0.98,10.94,10.94,10.94
26.16,11.64,0.72,11.64,0.71,-0.71,-0.71,-1.00,10.93,10.92,10.92
