frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,10.10,7.48,10.10,7.46,-7.46,-7.50,-3.92,2.65,2.64,2.62
20.20,10.12,7.50,10.12,7.49,-7.49,-7.53,-4.03,2.64,2.63,2.62
20.40,10.13,7.51,10.14,7.52,-7.52,-7.57,-4.14,2.62,2.63,2.62
20.61,10.16,7.54,10.16,7.55,-7.55,-7.60,-4.25,2.61,2.62,2.62
20.81,10.19,7.57,10.19,7.58,-7.58,-7.64,-4.37,2.61,2.61,2.62
21.02,10.20,7.58,10.21,7.61,-7.61,-7.67,-4.49,2.59,2.60,2.62
21.23,10.23,7.63,10.23,7.65,-7.65,-7.71,-4.61,2.59,2.58,2.60
21.44,10.25,7.66,10.25,7.68,-7.68,-7.74,-4.74,2.57,2.57,2.59
21.66,10.27,7.70,10.27,7.72,-7.72,-7.77,-4.87,2.56,2.56,2.57
21.87,10.29,7.74,10.29,7.75,-7.75,-7.80,-5.00,2.54,2.54,2.55
22.09,10.32,7.78,10.31,7.79,-7.79,-7.84,-5.14,2.53,2.53,2.54
22.31,10.33,7.82,10.33,7.82,-7.82,-7.87,-5.28,2.51,2.51,2.51
22.54,10.35,7.86,10.35,7.87,-7.87,-7.90,-5.43,2.49,2.49,2.49
22.76,10.37,7.90,10.37,7.91,-7.91,-7.93,-5.58,2.46,2.46,2.47
22.99,10.39,7.95,10.39,7.95,-7.95,-7.96,-5.73,2.44,2.44,2.44
23.22,10.40,7.99,10.41,7.99,-7.99,-8.00,-5.89,2.41,2.42,2.41
23.45,10.43,8.05,10.43,8.03,-8.03,-8.03,-6.05,2.40,2.40,2.38
23.69,10.44,8.07,10.44,8.07,-8.07,-8.06,-6.21,2.37,2.38,2.37
23.92,10.46,8.11,10.46,8.11,-8.11,-8.09,-6.38,2.35,2.36,2.35
24.16,10.48,8.14,10.48,8.15,-8.15,-8.12,-6.55,2.34,2.34,2.34
24.40,10.49,8.17,10.50,8.18,-8.18,-8.15,-6.72,2.31,2.32,2.32
24.65,10.51,8.21,10.52,8.22,-8.22,-8.18,-6.90,2.29,2.30,2.30
24.89,10.53,8.25,10.54,8.26,-8.26,-8.21,-7.08,2.28,2.28,2.28
25.14,10.55,8.28,10.55,8.29,-8.29,-8.23,-7.26,2.26,2.26,2.27
25.39,10.57,8.32,10.57,8.33,-8.33,-8.26,-7.45,2.25,2.25,2.25
25.65,10.59,8.35,10.59,8.36,-8.36,-8.29,-7.63,2.23,2.23,2.24
25.91,10.61,8.40,10.61,8.39,-8.39,-8.32,-7.82,2.22,2.22,2.21
26.16,10.62,8.42,10.62,8.42,-8.42,-8.35,-8.01,2.20,2.20,2.20
26.43,10.64,8.45,10.64,8.45,-8.45,-8.37,-8.20,2.19,2.18,2.19
26.69,10.65,8.49,10.65,8.49,-8.49,-8.40,-8.39,2.17,2.17,2.16
26.96,10.67,8.52,10.67,8.52,-8.52,-8.42,-8.58,2.16,2.15,2.15
27.23,10.68,8.54,10.68,8.54,-8.54,-8.45,-8.77,2.14,2.14,2.14
27.50,10.69,8.56,10.69,8.57,-8.57,-8.48,-8.95,2.12,2.12,2.13
27.77,10.70,8.59,10.71,8.60,-8.60,-8.50,-9.13,2.11,2.11,2.11
28.05,10.72,8.62,10.72,8.62,-8.62,-8.52,-9.30,2.10,2.09,2.10
28.33,10.72,8.64,10.73,8.65,-8.65,-8.55,-9.47,2.07,2.08,2.08
28.62,10.74,8.67,10.74,8.67,-8.67,-8.57,-9.63,2.07,2.07,2.07
28.90,10.74,8.69,10.75,8.69,-8.69,-8.59,-9.79,2.05,2.06,2.05
29.19,10.75,8.72,10.76,8.72,-8.72,-8.62,-9.93,2.04,2.04,2.03
29.48,10.76,8.73,10.76,8.74,-8.74,-8.64,-10.06,2.03,2.03,2.03
29.78,10.77,8.75,10.77,8.76,-8.76,-8.66,-10.18,2.02,2.02,2.02
30.08,10.78,8.77,10.78,8.78,-8.78,-8.68,-10.29,2.01,2.00,2.01
30.38,10.78,8.79,10.78,8.79,-8.79,-8.70,-10.38,1.99,1.99,1.99
30.68,10.79,8.81,10.78,8.81,-8.81,-8.72,-10.45,1.98,1.97,1.98
