frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.95,-8.52,-5.96,-8.55,8.55,8.18,2.50,2.60,2.59,2.57
20.20,-5.88,-8.45,-5.89,-8.47,8.47,8.12,2.57,2.59,2.58,2.57
20.40,-5.82,-8.39,-5.82,-8.39,8.39,8.07,2.65,2.57,2.58,2.57
20.61,-5.75,-8.32,-5.75,-8.31,8.31,8.01,2.72,2.56,2.57,2.57
20.81,-5.67,-8.24,-5.68,-8.23,8.23,7.96,2.80,2.56,2.56,2.57
21.02,-5.61,-8.18,-5.61,-8.15,8.15,7.90,2.88,2.54,2.55,2.57
21.23,-5.54,-8.09,-5.54,-8.07,8.07,7.84,2.97,2.53,2.53,2.55
21.44,-5.47,-8.01,-5.47,-7.99,7.99,7.78,3.06,2.52,2.52,2.54
21.66,-5.41,-7.93,-5.40,-7.91,7.91,7.73,3.15,2.50,2.51,2.52
21.87,-5.34,-7.84,-5.33,-7.82,7.82,7.67,3.24,2.48,2.49,2.50
22.09,-5.26,-7.75,-5.26,-7.74,7.74,7.61,3.33,2.48,2.48,2.49
22.31,-5.19,-7.65,-5.19,-7.65,7.65,7.55,3.43,2.46,2.46,2.46
22.54,-5.13,-7.57,-5.12,-7.56,7.56,7.49,3.53,2.43,2.44,2.44
22.76,-5.05,-7.47,-5.05,-7.47,7.47,7.42,3.63,2.42,2.41,2.42
22.99,-4.98,-7.37,-4.98,-7.37,7.37,7.36,3.73,2.39,2.39,2.39
23.22,-4.91,-7.27,-4.91,-7.28,7.28,7.30,3.84,2.37,2.37,2.36
23.45,-4.84,-7.17,-4.84,-7.19,7.19,7.24,3.95,2.35,2.35,2.33
23.69,-4.77,-7.09,-4.78,-7.10,7.10,7.18,4.06,2.33,2.33,2.32
23.92,-4.70,-7.00,-4.71,-7.01,7.01,7.11,4.17,2.31,2.31,2.30
24.16,-4.64,-6.93,-4.64,-6.93,6.93,7.05,4.29,2.29,2.29,2.29
24.40,-4.58,-6.85,-4.57,-6.84,6.84,6.99,4.40,2.26,2.27,2.27
24.65,-4.51,-6.76,-4.51,-6.75,6.75,6.93,4.52,2.24,2.25,2.25
24.89,-4.44,-6.67,-4.44,-6.67,6.67,6.86,4.64,2.23,2.23,2.23
25.14,-4.38,-6.60,-4.37,-6.58,6.58,6.80,4.76,2.20,2.21,2.22
25.39,-4.31,-6.51,-4.31,-6.50,6.50,6.73,4.89,2.19,2.20,2.20
25.65,-4.24,-6.43,-4.24,-6.42,6.42,6.67,5.01,2.18,2.18,2.19
25.91,-4.17,-6.33,-4.17,-6.34,6.34,6.61,5.13,2.17,2.17,2.16
26.16,-4.11,-6.26,-4.11,-6.26,6.26,6.54,5.25,2.15,2.15,2.15
26.43,-4.04,-6.18,-4.04,-6.18,6.18,6.48,5.38,2.14,2.13,2.14
26.69,-3.97,-6.08,-3.98,-6.10,6.10,6.41,5.50,2.13,2.12,2.11
26.96,-3.91,-6.01,-3.91,-6.02,6.02,6.35,5.61,2.10,2.10,2.10
27.23,-3.85,-5.94,-3.85,-5.94,5.94,6.29,5.73,2.09,2.09,2.09
27.50,-3.79,-5.87,-3.79,-5.86,5.86,6.22,5.84,2.07,2.07,2.08
27.77,-3.73,-5.79,-3.73,-5.79,5.79,6.16,5.95,2.06,2.06,2.06
28.05,-3.67,-5.72,-3.67,-5.71,5.71,6.09,6.06,2.05,2.04,2.05
28.33,-3.61,-5.64,-3.61,-5.64,5.64,6.03,6.16,2.03,2.03,2.03
28.62,-3.55,-5.57,-3.55,-5.57,5.57,5.97,6.25,2.02,2.02,2.02
28.90,-3.50,-5.50,-3.50,-5.50,5.50,5.90,6.33,2.00,2.01,2.00
29.19,-3.45,-5.43,-3.44,-5.44,5.44,5.84,6.41,1.99,1.99,1.98
29.48,-3.39,-5.37,-3.39,-5.37,5.37,5.77,6.48,1.98,1.98,1.98
29.78,-3.34,-5.31,-3.34,-5.30,5.30,5.71,6.54,1.96,1.97,1.97
30.08,-3.29,-5.25,-3.29,-5.24,5.24,5.65,6.59,1.95,1.95,1.96
30.38,-3.24,-5.18,-3.24,-5.17,5.17,5.58,6.63,1.93,1.94,1.94
30.68,-3.19,-5.12,-3.19,-5.11,5.11,5.52,6.66,1.92,1.92,1.93
30.99,-3.13,-5.03,-3.14,-5.05,5.05,5.46,6.68,1.92,1.90,1.90
31.30,-3.09,-4.98,-3.10,-4.99,4.99,5.40,6.69,1.90,1.89,1.89
31.61,-3.05,-4.93,-3.05,-4.92,4.92,5.33,6.69,1.87,1.87,1.88
31.93,-3.01,-4.87,-3.01,-4.86,4.86,5.27,6.67,1.85,1.85,1.86
32.24,-2.97,-4.80,-2.97,-4.80,4.80,5.21,6.65,1.83,1.83,1.83
32.57,-2.93,-4.74,-2.93,-4.74,4.74,5.15,6.61,1.81,1.81,1.81
32.89,-2.89,-4.69,-2.89,-4.68,4.68,5.09,6.57,1.79,1.79,1.80
33.22,-2.85,-4.62,-2.85,-4.62,4.62,5.03,6.51,1.77,1.77,1.77
33.55,-2.81,-4.57,-2.81,-4.56,4.56,4.96,6.45,1.75,1.75,1.76
33.89,-2.77,-4.50,-2.77,-4.50,4.50,4.90,6.38,1.73,1.73,1.73
34.23,-2.74,-4.45,-2.74,-4.45,4.45,4.84,6.30,1.71,1.71,1.71
34.57,-2.70,-4.39,-2.70,-4.39,4.39,4.78,6.21,1.69,1.69,1.69
34.92,-2.66,-4.33,-2.66,-4.33,4.33,4.72,6.12,1.67,1.67,1.67
35.27,-2.63,-4.28,-2.63,-4.28,4.28,4.66,6.02,1.65,1.65,1.65
35.62,-2.59,-4.22,-2.59,-4.22,4.22,4.60,5.92,1.63,1.63,1.63
35.97,-2.56,-4.17,-2.56,-4.16,4.16,4.55,5.82,1.60,1.61,1.61
36.33,-2.52,-4.11,-2.52,-4.11,4.11,4.49,5.71,1.59,1.59,1.59
36.70,-2.49,-4.06,-2.49,-4.05,4.05,4.43,5.60,1.56,1.57,1.57
37.06,-2.45,-4.00,-2.45,-4.00,4.00,4.37,5.49,1.55,1.55,1.55
37.43,-2.42,-3.95,-2.42,-3.95,3.95,4.31,5.38,1.53,1.52,1.53
37.81,-2.39,-3.90,-2.39,-3.89,3.89,4.25,5.26,1.50,1.50,1.51
38.19,-2.35,-3.83,-2.36,-3.84,3.84,4.20,5.15,1.49,1.48,1.48
38.57,-2.33,-3.80,-2.32,-3.79,3.79,4.14,5.04,1.46,1.46,1.47
38.95,-2.29,-3.73,-2.29,-3.74,3.74,4.08,4.93,1.45,1.44,1.44
39.34,-2.26,-3.68,-2.26,-3.69,3.69,4.03,4.82,1.43,1.42,1.42
39.74,-2.23,-3.63,-2.23,-3.64,3.64,3.97,4.71,1.41,1.41,1.40
40.14,-2.21,-3.60,-2.20,-3.59,3.59,3.92,4.60,1.38,1.39,1.39
40.54,-2.18,-3.55,-2.18,-3.54,3.54,3.86,4.50,1.36,1.37,1.37
40.94,-2.15,-3.50,-2.15,-3.50,3.50,3.81,4.39,1.35,1.35,1.35
41.35,-2.12,-3.44,-2.12,-3.45,3.45,3.75,4.29,1.33,1.33,1.32
41.76,-2.09,-3.41,-2.09,-3.41,3.41,3.70,4.19,1.32,1.31,1.32
42.18,-2.07,-3.37,-2.07,-3.36,3.36,3.64,4.10,1.29,1.29,1.30
42.60,-2.04,-3.32,-2.04,-3.32,3.32,3.59,4.00,1.28,1.27,1.28
43.03,-2.02,-3.29,-2.01,-3.27,3.27,3.54,3.91,1.25,1.25,1.27
43.46,-1.99,-3.23,-1.99,-3.23,3.23,3.49,3.83,1.24,1.24,1.24
43.90,-1.96,-3.18,-1.96,-3.18,3.18,3.43,3.74,1.22,1.22,1.22
44.33,-1.94,-3.14,-1.94,-3.14,3.14,3.38,3.66,1.20,1.20,1.20
44.78,-1.92,-3.10,-1.91,-3.10,3.10,3.33,3.58,1.18,1.18,1.18
45.23,-1.89,-3.04,-1.89,-3.05,3.05,3.28,3.50,1.16,1.16,1.15
45.68,-1.87,-3.00,-1.87,-3.01,3.01,3.23,3.43,1.14,1.14,1.13
46.13,-1.84,-2.96,-1.85,-2.97,2.97,3.18,3.35,1.13,1.12,1.12
46.60,-1.82,-2.93,-1.82,-2.93,2.93,3.13,3.28,1.10,1.10,1.11
47.06,-1.80,-2.89,-1.80,-2.88,2.88,3.08,3.22,1.08,1.08,1.09
47.53,-1.78,-2.85,-1.78,-2.84,2.84,3.03,3.15,1.06,1.06,1.07
48.01,-1.76,-2.82,-1.76,-2.80,2.80,2.98,3.09,1.04,1.04,1.06
48.49,-1.74,-2.77,-1.74,-2.76,2.76,2.93,3.03,1.02,1.02,1.03
48.97,-1.72,-2.72,-1.72,-2.72,2.72,2.88,2.98,1.00,1.00,1.00
49.46,-1.70,-2.67,-1.70,-2.67,2.67,2.83,2.92,0.97,0.98,0.97
49.96,-1.68,-2.62,-1.68,-2.64,2.64,2.79,2.87,0.96,0.95,0.94
50.46,-1.66,-2.59,-1.66,-2.60,2.60,2.74,2.82,0.94,0.93,0.93
50.96,-1.64,-2.55,-1.65,-2.56,2.56,2.69,2.77,0.92,0.91,0.91
51.47,-1.63,-2.51,-1.63,-2.52,2.52,2.65,2.72,0.89,0.88,0.88
51.99,-1.62,-2.48,-1.62,-2.48,2.48,2.60,2.67,0.86,0.86,0.86
52.51,-1.60,-2.44,-1.60,-2.44,2.44,2.56,2.63,0.84,0.84,0.84
53.03,-1.59,-2.41,-1.59,-2.40,2.40,2.51,2.59,0.81,0.81,0.82
53.56,-1.58,-2.37,-1.58,-2.36,2.36,2.46,2.54,0.78,0.79,0.79
54.10,-1.56,-2.33,-1.57,-2.33,2.33,2.42,2.50,0.77,0.76,0.77
54.64,-1.56,-2.30,-1.55,-2.29,2.29,2.38,2.46,0.73,0.74,0.74
55.18,-1.55,-2.27,-1.54,-2.26,2.26,2.33,2.43,0.71,0.72,0.72
55.74,-1.53,-2.22,-1.53,-2.23,2.23,2.29,2.39,0.70,0.69,0.69
56.29,-1.53,-2.20,-1.53,-2.20,2.20,2.24,2.35,0.67,0.67,0.67
56.86,-1.52,-2.16,-1.52,-2.16,2.16,2.20,2.31,0.64,0.65,0.64
57.42,-1.51,-2.13,-1.51,-2.13,2.13,2.16,2.28,0.62,0.62,0.62
58.00,-1.50,-2.10,-1.50,-2.10,2.10,2.12,2.24,0.60,0.60,0.60
58.58,-1.50,-2.07,-1.50,-2.07,2.07,2.07,2.20,0.57,0.57,0.57
59.16,-1.49,-2.04,-1.50,-2.04,2.04,2.03,2.17,0.55,0.54,0.55
59.76,-1.49,-2.02,-1.49,-2.01,2.01,1.99,2.13,0.52,0.52,0.53
60.35,-1.49,-1.99,-1.49,-1.98,1.98,1.95,2.09,0.49,0.49,0.50
60.96,-1.50,-1.98,-1.49,-1.96,1.96,1.91,2.05,0.46,0.47,0.48
61.57,-1.49,-1.93,-1.49,-1.93,1.93,1.87,2.01,0.44,0.44,0.44
