frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.71,-0.22,5.71,-0.22,0.23,-0.91,-0.57,5.94,5.94,5.93
20.20,5.76,-0.17,5.75,-0.18,0.18,-0.91,-0.59,5.94,5.93,5.93
20.40,5.79,-0.14,5.79,-0.14,0.14,-0.92,-0.61,5.93,5.93,5.93
20.61,5.83,-0.10,5.83,-0.10,0.09,-0.92,-0.62,5.92,5.92,5.93
20.81,5.88,-0.05,5.87,-0.06,0.05,-0.93,-0.64,5.92,5.92,5.93
21.02,5.92,-0.01,5.92,-0.01,-0.00,-0.94,-0.66,5.92,5.92,5.93
21.23,5.97,0.06,5.96,0.05,-0.05,-0.94,-0.68,5.92,5.91,5.91
21.44,6.00,0.10,6.00,0.10,-0.10,-0.95,-0.70,5.90,5.90,5.90
21.66,6.04,0.16,6.04,0.16,-0.15,-0.96,-0.72,5.88,5.89,5.88
21.87,6.07,0.21,6.07,0.21,-0.20,-0.96,-0.74,5.86,5.87,5.86
22.09,6.11,0.26,6.10,0.26,-0.26,-0.97,-0.76,5.85,5.84,5.85
22.31,6.13,0.31,6.13,0.31,-0.31,-0.98,-0.78,5.82,5.82,5.82
22.54,6.16,0.36,6.16,0.36,-0.36,-0.98,-0.80,5.79,5.80,5.80
22.76,6.19,0.41,6.18,0.41,-0.41,-0.99,-0.82,5.78,5.77,5.78
22.99,6.21,0.46,6.21,0.46,-0.46,-1.00,-0.85,5.75,5.75,5.75
23.22,6.23,0.51,6.23,0.51,-0.51,-1.01,-0.87,5.72,5.72,5.72
23.45,6.26,0.57,6.25,0.56,-0.55,-1.01,-0.89,5.71,5.70,5.69
23.69,6.28,0.60,6.28,0.60,-0.59,-1.02,-0.92,5.68,5.68,5.68
23.92,6.30,0.64,6.30,0.64,-0.63,-1.03,-0.94,5.66,5.66,5.66
24.16,6.32,0.67,6.31,0.67,-0.67,-1.04,-0.97,5.65,5.64,5.65
24.40,6.33,0.70,6.33,0.70,-0.70,-1.05,-0.99,5.62,5.63,5.63
24.65,6.35,0.74,6.35,0.74,-0.74,-1.05,-1.02,5.61,5.61,5.61
24.89,6.37,0.78,6.36,0.77,-0.77,-1.06,-1.05,5.60,5.59,5.59
25.14,6.38,0.80,6.38,0.80,-0.80,-1.07,-1.07,5.57,5.58,5.58
25.39,6.40,0.84,6.40,0.84,-0.84,-1.08,-1.10,5.56,5.56,5.56
25.65,6.42,0.87,6.42,0.87,-0.88,-1.09,-1.13,5.54,5.54,5.55
