frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.21,-10.88,-6.19,-10.88,10.88,10.26,2.17,4.67,4.69,4.67
20.20,-6.02,-10.69,-6.01,-10.69,10.69,10.22,2.24,4.68,4.69,4.67
20.40,-5.85,-10.52,-5.83,-10.51,10.51,10.17,2.30,4.66,4.68,4.67
20.61,-5.66,-10.33,-5.65,-10.32,10.32,10.11,2.37,4.66,4.67,4.67
20.81,-5.47,-10.14,-5.48,-10.13,10.13,10.02,2.44,4.67,4.66,4.67
21.02,-5.29,-9.96,-5.30,-9.95,9.95,9.93,2.52,4.66,4.65,4.67
21.23,-5.10,-9.75,-5.13,-9.76,9.76,9.81,2.59,4.67,4.64,4.65
21.44,-4.93,-9.57,-4.96,-9.58,9.58,9.69,2.67,4.65,4.62,4.64
21.66,-4.76,-9.38,-4.79,-9.40,9.40,9.55,2.75,4.64,4.61,4.62
21.87,-4.60,-9.20,-4.62,-9.21,9.21,9.40,2.83,4.62,4.59,4.60
22.09,-4.44,-9.03,-4.45,-9.03,9.03,9.25,2.91,4.59,4.58,4.59
22.31,-4.29,-8.85,-4.28,-8.85,8.85,9.08,3.00,4.56,4.56,4.56
22.54,-4.14,-8.68,-4.12,-8.66,8.66,8.91,3.09,4.52,4.54,4.54
22.76,-3.98,-8.50,-3.96,-8.48,8.48,8.73,3.18,4.50,4.52,4.52
22.99,-3.83,-8.32,-3.80,-8.30,8.30,8.55,3.27,4.47,4.49,4.49
23.22,-3.67,-8.13,-3.65,-8.12,8.12,8.37,3.36,4.45,4.47,4.46
23.45,-3.50,-7.93,-3.49,-7.94,7.94,8.18,3.46,4.44,4.45,4.43
23.69,-3.34,-7.76,-3.33,-7.76,7.76,7.99,3.56,4.42,4.43,4.42
23.92,-3.17,-7.57,-3.17,-7.58,7.58,7.80,3.66,4.42,4.41,4.40
24.16,-3.01,-7.40,-3.02,-7.41,7.41,7.61,3.76,4.40,4.39,4.39
24.40,-2.86,-7.23,-2.86,-7.23,7.23,7.42,3.86,4.38,4.37,4.37
24.65,-2.70,-7.05,-2.71,-7.06,7.06,7.23,3.96,4.36,4.35,4.35
24.89,-2.55,-6.88,-2.55,-6.89,6.89,7.04,4.07,4.34,4.33,4.33
25.14,-2.40,-6.72,-2.40,-6.72,6.72,6.85,4.17,4.32,4.32,4.32
25.39,-2.25,-6.55,-2.25,-6.55,6.55,6.66,4.28,4.31,4.30,4.30
25.65,-2.11,-6.40,-2.11,-6.39,6.39,6.48,4.39,4.28,4.28,4.29
25.91,-1.97,-6.23,-1.96,-6.23,6.23,6.30,4.49,4.26,4.27,4.26
26.16,-1.83,-6.08,-1.82,-6.07,6.07,6.12,4.60,4.25,4.25,4.25
26.43,-1.69,-5.93,-1.68,-5.92,5.92,5.94,4.70,4.23,4.24,4.24
26.69,-1.55,-5.76,-1.54,-5.76,5.76,5.77,4.80,4.21,4.22,4.21
26.96,-1.41,-5.61,-1.41,-5.61,5.61,5.59,4.90,4.20,4.20,4.20
27.23,-1.27,-5.46,-1.27,-5.46,5.46,5.43,5.00,4.19,4.19,4.19
27.50,-1.14,-5.32,-1.14,-5.31,5.31,5.26,5.09,4.17,4.18,4.18
27.77,-1.00,-5.16,-1.01,-5.17,5.17,5.10,5.18,4.17,4.16,4.16
28.05,-0.87,-5.02,-0.88,-5.02,5.02,4.94,5.26,4.16,4.15,4.15
28.33,-0.74,-4.87,-0.75,-4.88,4.88,4.78,5.34,4.15,4.13,4.13
28.62,-0.62,-4.74,-0.62,-4.74,4.74,4.63,5.41,4.12,4.12,4.12
28.90,-0.50,-4.60,-0.50,-4.61,4.61,4.48,5.47,4.11,4.11,4.10
29.19,-0.38,-4.46,-0.38,-4.47,4.47,4.33,5.52,4.09,4.09,4.08
29.48,-0.26,-4.34,-0.25,-4.34,4.34,4.18,5.57,4.08,4.08,4.08
29.78,-0.14,-4.21,-0.14,-4.20,4.20,4.04,5.61,4.07,4.07,4.07
30.08,-0.02,-4.08,-0.02,-4.07,4.07,3.90,5.63,4.05,4.05,4.06
30.38,0.09,-3.95,0.10,-3.94,3.94,3.76,5.65,4.03,4.04,4.04
30.68,0.21,-3.82,0.21,-3.81,3.81,3.63,5.65,4.02,4.02,4.03
30.99,0.33,-3.67,0.33,-3.68,3.68,3.50,5.65,4.01,4.01,4.00
31.30,0.44,-3.55,0.44,-3.55,3.55,3.37,5.63,3.99,3.99,3.99
31.61,0.55,-3.43,0.55,-3.42,3.42,3.24,5.60,3.97,3.97,3.98
31.93,0.66,-3.30,0.67,-3.29,3.29,3.12,5.56,3.95,3.96,3.96
32.24,0.77,-3.16,0.78,-3.16,3.16,3.00,5.51,3.93,3.94,3.93
32.57,0.89,-3.02,0.89,-3.03,3.03,2.88,5.45,3.92,3.92,3.91
32.89,0.99,-2.91,1.00,-2.90,2.90,2.76,5.37,3.89,3.90,3.90
33.22,1.11,-2.76,1.11,-2.77,2.77,2.65,5.29,3.88,3.88,3.87
33.55,1.21,-2.65,1.21,-2.64,2.64,2.53,5.20,3.86,3.86,3.86
33.89,1.31,-2.52,1.32,-2.52,2.52,2.42,5.10,3.83,3.83,3.83
34.23,1.42,-2.39,1.42,-2.40,2.40,2.31,4.99,3.82,3.81,3.81
