frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,8.17,4.24,8.17,4.21,-4.21,-3.97,-1.76,3.96,3.96,3.94
20.20,8.14,4.21,8.14,4.19,-4.19,-3.98,-1.81,3.95,3.95,3.93
20.40,8.11,4.18,8.11,4.17,-4.17,-3.98,-1.86,3.94,3.94,3.93
20.61,8.08,4.15,8.08,4.15,-4.15,-3.99,-1.92,3.93,3.93,3.93
20.81,8.06,4.13,8.06,4.14,-4.14,-4.00,-1.97,3.93,3.92,3.93
21.02,8.02,4.09,8.03,4.12,-4.12,-4.00,-2.03,3.90,3.91,3.93
21.23,8.00,4.09,8.00,4.10,-4.10,-4.00,-2.09,3.90,3.90,3.91
21.44,7.97,4.07,7.97,4.09,-4.09,-4.01,-2.16,3.88,3.88,3.90
21.66,7.94,4.06,7.95,4.08,-4.08,-4.01,-2.22,3.87,3.87,3.88
21.87,7.91,4.05,7.92,4.07,-4.07,-4.02,-2.29,3.85,3.85,3.86
22.09,7.89,4.04,7.89,4.05,-4.05,-4.02,-2.36,3.84,3.84,3.85
22.31,7.86,4.04,7.87,4.05,-4.05,-4.02,-2.43,3.82,3.82,3.82
22.54,7.83,4.03,7.84,4.04,-4.04,-4.02,-2.50,3.79,3.80,3.80
22.76,7.81,4.03,7.81,4.04,-4.04,-4.02,-2.57,3.78,3.78,3.78
22.99,7.79,4.05,7.79,4.04,-4.04,-4.03,-2.65,3.76,3.75,3.75
23.22,7.76,4.05,7.76,4.03,-4.03,-4.03,-2.73,3.73,3.73,3.72
23.45,7.74,4.05,7.74,4.03,-4.03,-4.03,-2.80,3.71,3.71,3.70
23.69,7.71,4.03,7.71,4.02,-4.02,-4.03,-2.89,3.69,3.69,3.69
23.92,7.69,4.03,7.69,4.02,-4.02,-4.03,-2.97,3.67,3.67,3.66
24.16,7.67,4.02,7.66,4.01,-4.01,-4.03,-3.05,3.66,3.65,3.65
24.40,7.63,4.00,7.64,4.01,-4.01,-4.03,-3.14,3.63,3.63,3.63
24.65,7.60,3.99,7.61,4.00,-4.00,-4.02,-3.22,3.60,3.61,3.61
24.89,7.58,3.99,7.58,3.99,-3.99,-4.02,-3.31,3.59,3.59,3.59
25.14,7.55,3.97,7.56,3.98,-3.98,-4.02,-3.40,3.57,3.57,3.58
25.39,7.53,3.97,7.53,3.97,-3.97,-4.02,-3.49,3.56,3.56,3.56
25.65,7.50,3.96,7.51,3.96,-3.96,-4.01,-3.58,3.54,3.54,3.55
25.91,7.48,3.97,7.48,3.95,-3.95,-4.01,-3.67,3.53,3.53,3.52
26.16,7.45,3.95,7.46,3.95,-3.95,-4.01,-3.76,3.51,3.51,3.51
26.43,7.43,3.94,7.43,3.94,-3.94,-4.00,-3.85,3.50,3.49,3.49
26.69,7.41,3.94,7.40,3.93,-3.93,-4.00,-3.94,3.49,3.48,3.47
26.96,7.38,3.92,7.38,3.92,-3.92,-3.99,-4.03,3.46,3.46,3.46
27.23,7.36,3.91,7.36,3.91,-3.91,-3.99,-4.11,3.45,3.45,3.45
27.50,7.32,3.88,7.33,3.90,-3.90,-3.98,-4.20,3.42,3.43,3.44
27.77,7.30,3.89,7.31,3.89,-3.89,-3.98,-4.28,3.41,3.42,3.42
28.05,7.28,3.88,7.29,3.88,-3.88,-3.97,-4.36,3.40,3.40,3.41
28.33,7.25,3.87,7.26,3.87,-3.87,-3.96,-4.43,3.38,3.39,3.38
28.62,7.24,3.87,7.24,3.86,-3.86,-3.96,-4.50,3.38,3.38,3.37
28.90,7.21,3.85,7.21,3.85,-3.85,-3.95,-4.57,3.36,3.36,3.36
29.19,7.18,3.84,7.19,3.84,-3.84,-3.94,-4.63,3.34,3.35,3.34
29.48,7.17,3.84,7.17,3.83,-3.83,-3.93,-4.68,3.34,3.33,3.34
29.78,7.14,3.82,7.14,3.82,-3.82,-3.93,-4.73,3.32,3.32,3.33
30.08,7.12,3.81,7.12,3.81,-3.81,-3.92,-4.77,3.31,3.31,3.31
30.38,7.09,3.80,7.09,3.80,-3.80,-3.91,-4.81,3.29,3.29,3.29
30.68,7.06,3.78,7.06,3.79,-3.79,-3.90,-4.84,3.27,3.27,3.28
30.99,7.04,3.79,7.04,3.78,-3.78,-3.89,-4.86,3.27,3.26,3.26
31.30,7.00,3.76,7.01,3.76,-3.76,-3.88,-4.87,3.24,3.24,3.24
31.61,6.98,3.75,6.98,3.75,-3.75,-3.87,-4.88,3.23,3.22,3.23
31.93,6.94,3.73,6.95,3.74,-3.74,-3.86,-4.88,3.20,3.20,3.21
32.24,6.91,3.74,6.92,3.73,-3.73,-3.85,-4.87,3.18,3.19,3.18
32.57,6.88,3.72,6.89,3.72,-3.72,-3.83,-4.86,3.16,3.17,3.16
32.89,6.85,3.70,6.85,3.71,-3.71,-3.82,-4.83,3.14,3.14,3.15
33.22,6.82,3.71,6.82,3.70,-3.70,-3.81,-4.81,3.12,3.12,3.12
33.55,6.79,3.69,6.79,3.69,-3.69,-3.80,-4.77,3.10,3.10,3.10
33.89,6.76,3.68,6.76,3.68,-3.68,-3.79,-4.73,3.08,3.08,3.08
34.23,6.72,3.67,6.73,3.67,-3.67,-3.77,-4.69,3.05,3.06,3.06
34.57,6.70,3.67,6.70,3.66,-3.66,-3.76,-4.64,3.04,3.04,3.03
34.92,6.66,3.65,6.67,3.65,-3.65,-3.75,-4.59,3.01,3.02,3.01
35.27,6.63,3.64,6.63,3.64,-3.64,-3.73,-4.53,2.99,2.99,3.00
35.62,6.60,3.63,6.60,3.63,-3.63,-3.72,-4.47,2.97,2.97,2.97
35.97,6.56,3.61,6.57,3.62,-3.62,-3.71,-4.41,2.94,2.95,2.95
36.33,6.54,3.61,6.54,3.61,-3.61,-3.69,-4.35,2.93,2.93,2.93
36.70,6.50,3.59,6.50,3.60,-3.60,-3.68,-4.28,2.91,2.91,2.91
37.06,6.47,3.59,6.47,3.58,-3.58,-3.66,-4.22,2.89,2.89,2.89
37.43,6.44,3.57,6.44,3.57,-3.57,-3.65,-4.15,2.87,2.87,2.87
37.81,6.40,3.56,6.40,3.56,-3.56,-3.63,-4.08,2.84,2.84,2.85
38.19,6.37,3.55,6.37,3.55,-3.55,-3.62,-4.02,2.83,2.82,2.82
38.57,6.33,3.53,6.34,3.53,-3.53,-3.60,-3.95,2.80,2.80,2.81
38.95,6.30,3.52,6.30,3.52,-3.52,-3.59,-3.88,2.78,2.78,2.78
39.34,6.26,3.51,6.27,3.51,-3.51,-3.57,-3.82,2.76,2.76,2.75
39.74,6.23,3.51,6.23,3.49,-3.49,-3.56,-3.76,2.74,2.74,2.73
40.14,6.19,3.47,6.19,3.48,-3.48,-3.54,-3.70,2.72,2.72,2.72
40.54,6.15,3.46,6.16,3.46,-3.46,-3.52,-3.64,2.70,2.70,2.70
40.94,6.12,3.44,6.12,3.44,-3.44,-3.51,-3.58,2.68,2.68,2.68
41.35,6.08,3.43,6.08,3.42,-3.42,-3.49,-3.52,2.66,2.66,2.65
41.76,6.05,3.41,6.05,3.41,-3.41,-3.47,-3.47,2.65,2.64,2.64
42.18,6.01,3.39,6.01,3.39,-3.39,-3.46,-3.42,2.62,2.62,2.63
42.60,5.97,3.37,5.97,3.37,-3.37,-3.44,-3.37,2.60,2.60,2.60
43.03,5.93,3.34,5.93,3.36,-3.36,-3.42,-3.32,2.58,2.58,2.59
43.46,5.89,3.33,5.90,3.34,-3.34,-3.40,-3.28,2.55,2.56,2.56
43.90,5.86,3.33,5.86,3.32,-3.32,-3.39,-3.23,2.54,2.54,2.53
44.33,5.82,3.31,5.83,3.31,-3.31,-3.37,-3.19,2.52,2.52,2.51
44.78,5.78,3.29,5.79,3.29,-3.29,-3.35,-3.16,2.49,2.50,2.50
45.23,5.75,3.29,5.75,3.28,-3.28,-3.33,-3.12,2.48,2.48,2.47
45.68,5.71,3.27,5.72,3.27,-3.27,-3.32,-3.09,2.45,2.45,2.45
46.13,5.69,3.27,5.69,3.25,-3.25,-3.30,-3.06,2.44,2.43,2.43
46.60,5.65,3.24,5.65,3.24,-3.24,-3.28,-3.03,2.41,2.41,2.41
