frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.94,0.88,3.95,0.89,-0.88,-1.08,-0.97,3.06,3.07,3.06
20.20,3.95,0.89,3.94,0.88,-0.87,-1.11,-1.00,3.08,3.07,3.06
20.40,3.94,0.88,3.94,0.88,-0.87,-1.13,-1.03,3.07,3.07,3.06
20.61,3.94,0.88,3.94,0.88,-0.88,-1.15,-1.06,3.06,3.06,3.06
20.81,3.95,0.89,3.95,0.88,-0.89,-1.17,-1.09,3.06,3.05,3.06
21.02,3.95,0.89,3.96,0.90,-0.91,-1.19,-1.12,3.04,3.05,3.06
21.23,3.98,0.94,3.98,0.93,-0.94,-1.22,-1.15,3.04,3.04,3.04
21.44,4.00,0.97,4.00,0.97,-0.98,-1.24,-1.18,3.02,3.02,3.03
21.66,4.03,1.02,4.04,1.02,-1.02,-1.26,-1.21,3.01,3.01,3.01
21.87,4.07,1.08,4.07,1.08,-1.08,-1.29,-1.25,2.99,3.00,2.99
22.09,4.12,1.14,4.12,1.14,-1.14,-1.31,-1.28,2.98,2.98,2.98
22.31,4.16,1.21,4.16,1.21,-1.21,-1.34,-1.32,2.96,2.96,2.95
22.54,4.20,1.27,4.21,1.27,-1.27,-1.36,-1.35,2.93,2.93,2.93
22.76,4.25,1.34,4.25,1.34,-1.34,-1.39,-1.39,2.91,2.91,2.91
22.99,4.29,1.41,4.29,1.41,-1.41,-1.41,-1.43,2.88,2.88,2.88
23.22,4.33,1.48,4.33,1.48,-1.47,-1.44,-1.47,2.86,2.86,2.85
23.45,4.37,1.55,4.37,1.54,-1.53,-1.47,-1.51,2.84,2.84,2.82
23.69,4.40,1.59,4.40,1.59,-1.58,-1.49,-1.55,2.82,2.82,2.81
23.92,4.43,1.64,4.43,1.64,-1.63,-1.52,-1.60,2.80,2.80,2.79
24.16,4.46,1.68,4.45,1.67,-1.68,-1.55,-1.64,2.78,2.78,2.78
24.40,4.47,1.71,4.48,1.72,-1.72,-1.58,-1.68,2.75,2.76,2.76
24.65,4.50,1.76,4.50,1.76,-1.76,-1.61,-1.73,2.74,2.74,2.74
24.89,4.53,1.81,4.53,1.80,-1.80,-1.64,-1.77,2.73,2.72,2.72
25.14,4.55,1.84,4.56,1.85,-1.85,-1.67,-1.82,2.71,2.71,2.71
25.39,4.58,1.89,4.58,1.89,-1.89,-1.70,-1.87,2.69,2.69,2.69
25.65,4.61,1.93,4.61,1.93,-1.93,-1.73,-1.92,2.68,2.67,2.68
25.91,4.63,1.98,4.64,1.98,-1.98,-1.76,-1.96,2.65,2.66,2.65
26.16,4.66,2.02,4.66,2.02,-2.02,-1.79,-2.01,2.64,2.64,2.64
26.43,4.69,2.06,4.69,2.06,-2.06,-1.83,-2.06,2.63,2.63,2.63
26.69,4.71,2.11,4.72,2.11,-2.10,-1.86,-2.11,2.61,2.62,2.60
26.96,4.74,2.15,4.74,2.14,-2.14,-1.89,-2.15,2.60,2.60,2.59
27.23,4.76,2.18,4.76,2.18,-2.18,-1.93,-2.20,2.58,2.58,2.58
27.50,4.77,2.20,4.78,2.21,-2.21,-1.96,-2.25,2.56,2.57,2.57
27.77,4.80,2.25,4.80,2.24,-2.25,-2.00,-2.30,2.55,2.55,2.55
28.05,4.82,2.28,4.82,2.28,-2.28,-2.04,-2.34,2.54,2.54,2.54
28.33,4.83,2.31,4.84,2.31,-2.31,-2.07,-2.39,2.52,2.53,2.52
28.62,4.86,2.35,4.86,2.35,-2.34,-2.11,-2.43,2.52,2.51,2.51
28.90,4.87,2.38,4.87,2.38,-2.37,-2.15,-2.47,2.50,2.50,2.49
29.19,4.88,2.41,4.88,2.40,-2.40,-2.18,-2.51,2.49,2.49,2.47
29.48,4.89,2.42,4.89,2.42,-2.42,-2.22,-2.55,2.47,2.47,2.47
29.78,4.90,2.44,4.90,2.44,-2.44,-2.26,-2.59,2.46,2.46,2.46
30.08,4.91,2.46,4.91,2.46,-2.46,-2.30,-2.63,2.45,2.45,2.45
30.38,4.91,2.48,4.91,2.48,-2.48,-2.34,-2.66,2.43,2.43,2.43
30.68,4.91,2.49,4.92,2.50,-2.50,-2.38,-2.69,2.41,2.42,2.42
30.99,4.92,2.53,4.92,2.52,-2.52,-2.42,-2.73,2.40,2.40,2.39
31.30,4.93,2.55,4.93,2.55,-2.55,-2.46,-2.75,2.38,2.38,2.38
31.61,4.94,2.57,4.94,2.57,-2.58,-2.51,-2.78,2.37,2.36,2.37
31.93,4.95,2.60,4.95,2.60,-2.61,-2.55,-2.80,2.35,2.35,2.35
32.24,4.96,2.64,4.96,2.64,-2.64,-2.59,-2.83,2.32,2.33,2.32
32.57,4.98,2.68,4.98,2.67,-2.67,-2.63,-2.85,2.31,2.31,2.30
32.89,4.99,2.70,4.99,2.71,-2.70,-2.68,-2.87,2.29,2.29,2.29
33.22,5.01,2.75,5.01,2.74,-2.74,-2.72,-2.89,2.27,2.27,2.26
33.55,5.02,2.77,5.02,2.77,-2.78,-2.77,-2.90,2.25,2.24,2.25
33.89,5.03,2.81,5.04,2.81,-2.81,-2.81,-2.92,2.22,2.22,2.22
