frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.26,-4.72,3.26,-4.75,4.75,4.54,1.56,8.01,8.01,7.99
20.20,3.30,-4.68,3.30,-4.70,4.70,4.52,1.60,8.00,8.00,7.99
20.40,3.33,-4.65,3.34,-4.65,4.65,4.50,1.65,7.98,7.99,7.98
20.61,3.37,-4.61,3.38,-4.60,4.60,4.47,1.70,7.98,7.98,7.98
20.81,3.42,-4.56,3.42,-4.55,4.55,4.45,1.75,7.98,7.97,7.98
21.02,3.45,-4.53,3.45,-4.51,4.51,4.43,1.80,7.96,7.96,7.98
21.23,3.49,-4.47,3.49,-4.46,4.46,4.40,1.85,7.95,7.95,7.96
21.44,3.52,-4.43,3.52,-4.41,4.41,4.37,1.91,7.94,7.93,7.95
21.66,3.55,-4.38,3.55,-4.37,4.37,4.34,1.96,7.92,7.92,7.93
21.87,3.58,-4.33,3.59,-4.32,4.32,4.32,2.02,7.90,7.90,7.91
22.09,3.61,-4.29,3.62,-4.27,4.27,4.29,2.08,7.89,7.89,7.90
22.31,3.64,-4.23,3.64,-4.23,4.23,4.26,2.14,7.87,7.87,7.87
22.54,3.66,-4.19,3.67,-4.18,4.18,4.23,2.20,7.84,7.85,7.85
22.76,3.70,-4.12,3.70,-4.13,4.13,4.20,2.27,7.83,7.83,7.83
22.99,3.72,-4.07,3.72,-4.08,4.08,4.17,2.33,7.81,7.80,7.80
23.22,3.74,-4.02,3.74,-4.04,4.04,4.14,2.40,7.78,7.78,7.77
23.45,3.77,-3.97,3.77,-3.99,3.99,4.10,2.47,7.77,7.76,7.75
23.69,3.79,-3.94,3.79,-3.95,3.95,4.07,2.54,7.74,7.74,7.74
23.92,3.81,-3.90,3.81,-3.91,3.91,4.04,2.61,7.72,7.72,7.71
24.16,3.83,-3.87,3.83,-3.87,3.87,4.00,2.68,7.70,7.70,7.70
24.40,3.84,-3.84,3.85,-3.83,3.83,3.97,2.76,7.67,7.68,7.68
24.65,3.86,-3.80,3.87,-3.79,3.79,3.93,2.83,7.65,7.66,7.66
24.89,3.88,-3.76,3.89,-3.75,3.75,3.90,2.90,7.64,7.64,7.64
25.14,3.90,-3.73,3.91,-3.72,3.72,3.86,2.98,7.62,7.62,7.63
25.39,3.92,-3.68,3.92,-3.68,3.68,3.83,3.05,7.61,7.61,7.61
25.65,3.94,-3.65,3.94,-3.65,3.65,3.79,3.13,7.59,7.59,7.60
25.91,3.96,-3.60,3.96,-3.62,3.62,3.75,3.20,7.58,7.58,7.57
26.16,3.98,-3.57,3.98,-3.58,3.58,3.72,3.28,7.57,7.56,7.56
26.43,3.99,-3.55,4.00,-3.55,3.55,3.68,3.35,7.54,7.54,7.54
26.69,4.01,-3.51,4.02,-3.51,3.51,3.64,3.42,7.53,7.53,7.52
26.96,4.03,-3.48,4.03,-3.48,3.48,3.60,3.49,7.51,7.51,7.51
27.23,4.05,-3.45,4.05,-3.44,3.44,3.56,3.56,7.50,7.50,7.50
27.50,4.06,-3.43,4.07,-3.41,3.41,3.53,3.62,7.48,7.48,7.49
27.77,4.08,-3.38,4.09,-3.38,3.38,3.49,3.68,7.47,7.47,7.47
28.05,4.11,-3.34,4.10,-3.35,3.35,3.45,3.74,7.46,7.45,7.46
28.33,4.12,-3.31,4.12,-3.32,3.32,3.41,3.80,7.44,7.44,7.43
28.62,4.14,-3.28,4.14,-3.29,3.29,3.37,3.85,7.43,7.43,7.42
28.90,4.15,-3.26,4.15,-3.26,3.26,3.33,3.89,7.41,7.41,7.41
29.19,4.16,-3.23,4.17,-3.23,3.23,3.29,3.93,7.39,7.40,7.39
29.48,4.18,-3.20,4.19,-3.20,3.20,3.25,3.97,7.38,7.39,7.39
29.78,4.20,-3.17,4.20,-3.17,3.17,3.21,4.00,7.37,7.37,7.38
30.08,4.22,-3.14,4.22,-3.14,3.14,3.16,4.02,7.36,7.36,7.36
30.38,4.22,-3.12,4.23,-3.11,3.11,3.12,4.04,7.34,7.34,7.34
30.68,4.24,-3.09,4.24,-3.08,3.08,3.08,4.05,7.33,7.33,7.33
30.99,4.26,-3.04,4.26,-3.05,3.05,3.04,4.05,7.32,7.31,7.31
31.30,4.27,-3.02,4.27,-3.02,3.02,3.00,4.04,7.30,7.29,7.29
31.61,4.28,-3.00,4.28,-2.99,2.99,2.96,4.03,7.27,7.27,7.28
31.93,4.29,-2.97,4.30,-2.96,2.96,2.91,4.02,7.25,7.26,7.26
32.24,4.30,-2.92,4.31,-2.92,2.92,2.87,3.99,7.23,7.24,7.23
32.57,4.32,-2.89,4.32,-2.89,2.89,2.83,3.96,7.21,7.22,7.21
32.89,4.33,-2.87,4.34,-2.86,2.86,2.79,3.92,7.19,7.19,7.20
33.22,4.35,-2.81,4.35,-2.82,2.82,2.74,3.88,7.18,7.17,7.17
33.55,4.36,-2.79,4.37,-2.79,2.79,2.70,3.83,7.15,7.15,7.15
33.89,4.38,-2.75,4.38,-2.75,2.75,2.66,3.78,7.13,7.13,7.13
34.23,4.39,-2.71,4.39,-2.72,2.72,2.62,3.72,7.11,7.11,7.11
34.57,4.41,-2.67,4.41,-2.68,2.68,2.57,3.65,7.09,7.09,7.08
34.92,4.42,-2.64,4.42,-2.64,2.64,2.53,3.59,7.07,7.07,7.06
35.27,4.44,-2.60,4.44,-2.60,2.60,2.49,3.51,7.05,7.04,7.05
35.62,4.45,-2.57,4.46,-2.57,2.57,2.45,3.44,7.02,7.02,7.02
35.97,4.46,-2.53,4.47,-2.53,2.53,2.40,3.36,6.99,7.00,7.00
36.33,4.49,-2.49,4.49,-2.49,2.49,2.36,3.29,6.99,6.98,6.98
36.70,4.50,-2.46,4.51,-2.45,2.45,2.32,3.21,6.96,6.96,6.96
37.06,4.52,-2.41,4.52,-2.42,2.42,2.27,3.12,6.94,6.94,6.94
