frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.73,-12.99,-6.74,-13.02,13.02,10.73,4.16,6.29,6.28,6.26
20.20,-6.65,-12.91,-6.65,-12.92,12.92,10.96,4.27,6.27,6.27,6.26
20.40,-6.56,-12.82,-6.56,-12.82,12.82,11.18,4.38,6.26,6.26,6.26
20.61,-6.47,-12.73,-6.47,-12.72,12.72,11.40,4.49,6.24,6.25,6.26
20.81,-6.37,-12.63,-6.37,-12.62,12.62,11.60,4.61,6.24,6.24,6.26
21.02,-6.28,-12.54,-6.28,-12.51,12.51,11.80,4.73,6.23,6.23,6.25
21.23,-6.18,-12.42,-6.19,-12.40,12.40,11.98,4.86,6.22,6.22,6.23
21.44,-6.08,-12.31,-6.09,-12.30,12.30,12.15,4.99,6.21,6.21,6.22
21.66,-5.99,-12.20,-5.99,-12.19,12.19,12.29,5.12,6.19,6.19,6.20
21.87,-5.90,-12.08,-5.90,-12.07,12.07,12.41,5.25,6.17,6.18,6.18
22.09,-5.79,-11.96,-5.80,-11.96,11.96,12.51,5.39,6.17,6.16,6.17
22.31,-5.70,-11.84,-5.70,-11.84,11.84,12.58,5.53,6.14,6.14,6.14
22.54,-5.60,-11.73,-5.60,-11.72,11.72,12.63,5.68,6.12,6.12,6.12
22.76,-5.50,-11.60,-5.50,-11.60,11.60,12.65,5.83,6.10,6.10,6.10
22.99,-5.40,-11.47,-5.40,-11.48,11.48,12.63,5.98,6.07,6.08,6.07
23.22,-5.30,-11.34,-5.30,-11.36,11.36,12.59,6.14,6.05,6.05,6.04
23.45,-5.20,-11.22,-5.20,-11.23,11.23,12.53,6.30,6.03,6.03,6.02
23.69,-5.10,-11.11,-5.10,-11.11,11.11,12.44,6.46,6.00,6.01,6.01
23.92,-4.99,-10.98,-4.99,-10.98,10.98,12.32,6.63,5.99,5.99,5.99
24.16,-4.88,-10.86,-4.89,-10.86,10.86,12.18,6.80,5.98,5.97,5.98
24.40,-4.79,-10.75,-4.78,-10.73,10.73,12.03,6.97,5.94,5.95,5.95
24.65,-4.68,-10.62,-4.68,-10.61,10.61,11.85,7.15,5.93,5.93,5.93
24.89,-4.57,-10.48,-4.57,-10.49,10.49,11.67,7.32,5.91,5.91,5.91
25.14,-4.46,-10.36,-4.47,-10.36,10.36,11.47,7.51,5.90,5.90,5.90
25.39,-4.35,-10.23,-4.36,-10.24,10.24,11.27,7.69,5.89,5.88,5.88
25.65,-4.25,-10.12,-4.25,-10.11,10.11,11.06,7.88,5.86,5.86,5.87
25.91,-4.15,-9.98,-4.14,-9.99,9.99,10.84,8.06,5.84,5.85,5.84
26.16,-4.03,-9.86,-4.03,-9.86,9.86,10.62,8.25,5.83,5.83,5.83
26.43,-3.92,-9.74,-3.92,-9.74,9.74,10.40,8.44,5.81,5.81,5.82
26.69,-3.81,-9.61,-3.82,-9.61,9.61,10.18,8.62,5.80,5.80,5.79
26.96,-3.70,-9.49,-3.71,-9.49,9.49,9.96,8.81,5.78,5.78,5.78
27.23,-3.59,-9.37,-3.59,-9.36,9.36,9.74,8.99,5.77,5.77,5.77
27.50,-3.49,-9.25,-3.48,-9.24,9.24,9.53,9.17,5.74,5.75,5.76
27.77,-3.37,-9.11,-3.37,-9.11,9.11,9.32,9.34,5.74,5.74,5.74
28.05,-3.26,-8.99,-3.26,-8.99,8.99,9.12,9.50,5.73,5.73,5.73
28.33,-3.15,-8.86,-3.15,-8.86,8.86,8.91,9.66,5.71,5.71,5.71
28.62,-3.04,-8.74,-3.04,-8.74,8.74,8.72,9.81,5.69,5.70,5.69
28.90,-2.93,-8.61,-2.93,-8.61,8.61,8.53,9.94,5.68,5.69,5.68
29.19,-2.82,-8.48,-2.82,-8.49,8.49,8.34,10.07,5.67,5.67,5.66
29.48,-2.70,-8.36,-2.71,-8.36,8.36,8.17,10.17,5.66,5.66,5.66
29.78,-2.59,-8.24,-2.60,-8.24,8.24,7.99,10.27,5.65,5.64,5.65
30.08,-2.48,-8.12,-2.49,-8.12,8.12,7.83,10.34,5.63,5.63,5.63
30.38,-2.38,-8.00,-2.38,-7.99,7.99,7.67,10.39,5.61,5.61,5.61
30.68,-2.26,-7.86,-2.27,-7.87,7.87,7.51,10.43,5.61,5.60,5.60
30.99,-2.15,-7.73,-2.17,-7.75,7.75,7.36,10.44,5.59,5.58,5.58
31.30,-2.06,-7.63,-2.06,-7.63,7.63,7.22,10.43,5.56,5.56,5.57
31.61,-1.95,-7.51,-1.96,-7.50,7.50,7.08,10.40,5.55,5.55,5.55
31.93,-1.85,-7.39,-1.85,-7.38,7.38,6.95,10.35,5.53,5.53,5.53
32.24,-1.76,-7.26,-1.75,-7.26,7.26,6.83,10.28,5.50,5.51,5.50
32.57,-1.65,-7.14,-1.65,-7.14,7.14,6.71,10.19,5.48,5.49,5.49
32.89,-1.55,-7.02,-1.55,-7.02,7.02,6.60,10.08,5.46,5.47,5.47
33.22,-1.45,-6.89,-1.45,-6.90,6.90,6.49,9.96,5.44,5.44,5.44
33.55,-1.35,-6.78,-1.35,-6.78,6.78,6.39,9.81,5.42,5.42,5.43
33.89,-1.25,-6.66,-1.25,-6.66,6.66,6.29,9.66,5.40,5.40,5.40
34.23,-1.15,-6.53,-1.16,-6.54,6.54,6.19,9.49,5.38,5.38,5.38
34.57,-1.05,-6.41,-1.06,-6.42,6.42,6.10,9.31,5.36,5.36,5.36
34.92,-0.96,-6.30,-0.96,-6.30,6.30,6.01,9.13,5.33,5.34,5.33
35.27,-0.86,-6.18,-0.86,-6.18,6.18,5.93,8.93,5.31,5.32,5.32
35.62,-0.76,-6.06,-0.77,-6.06,6.06,5.85,8.73,5.30,5.30,5.29
35.97,-0.67,-5.94,-0.67,-5.94,5.94,5.76,8.53,5.27,5.27,5.27
36.33,-0.57,-5.83,-0.58,-5.83,5.83,5.68,8.32,5.25,5.25,5.26
36.70,-0.48,-5.72,-0.48,-5.71,5.71,5.60,8.11,5.23,5.23,5.23
37.06,-0.38,-5.59,-0.39,-5.60,5.60,5.52,7.90,5.22,5.21,5.21
37.43,-0.29,-5.48,-0.30,-5.48,5.48,5.44,7.68,5.19,5.19,5.19
37.81,-0.20,-5.37,-0.20,-5.37,5.37,5.36,7.47,5.17,5.16,5.17
38.19,-0.11,-5.26,-0.11,-5.26,5.26,5.28,7.26,5.14,5.14,5.14
38.57,-0.02,-5.15,-0.02,-5.14,5.14,5.19,7.05,5.12,5.12,5.13
38.95,0.07,-5.03,0.07,-5.03,5.03,5.10,6.84,5.10,5.10,5.10
39.34,0.16,-4.92,0.16,-4.92,4.92,5.00,6.63,5.08,5.08,5.08
39.74,0.25,-4.80,0.25,-4.81,4.81,4.90,6.42,5.06,5.06,5.05
40.14,0.34,-4.71,0.34,-4.70,4.70,4.80,6.22,5.04,5.04,5.04
40.54,0.42,-4.60,0.42,-4.60,4.60,4.69,6.02,5.01,5.02,5.02
40.94,0.52,-4.48,0.51,-4.49,4.49,4.58,5.82,5.01,5.00,5.00
41.35,0.60,-4.38,0.60,-4.38,4.38,4.47,5.62,4.98,4.98,4.97
