frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-5.65,-9.37,-5.62,-9.37,9.37,8.61,2.16,3.72,3.74,3.72
20.20,-5.55,-9.27,-5.54,-9.27,9.27,8.64,2.22,3.72,3.73,3.72
20.40,-5.45,-9.17,-5.45,-9.17,9.17,8.67,2.28,3.72,3.73,3.72
20.61,-5.34,-9.06,-5.36,-9.07,9.07,8.69,2.35,3.73,3.72,3.72
20.81,-5.24,-8.96,-5.26,-8.97,8.97,8.69,2.42,3.73,3.71,3.72
21.02,-5.15,-8.87,-5.17,-8.86,8.86,8.68,2.49,3.71,3.70,3.72
21.23,-5.05,-8.75,-5.07,-8.76,8.76,8.66,2.57,3.71,3.68,3.70
21.44,-4.96,-8.65,-4.97,-8.64,8.64,8.63,2.64,3.69,3.67,3.69
21.66,-4.87,-8.54,-4.87,-8.53,8.53,8.59,2.72,3.66,3.66,3.67
21.87,-4.78,-8.43,-4.77,-8.41,8.41,8.53,2.80,3.64,3.64,3.65
22.09,-4.68,-8.32,-4.67,-8.29,8.29,8.47,2.88,3.62,3.63,3.64
22.31,-4.58,-8.19,-4.56,-8.17,8.17,8.39,2.97,3.59,3.61,3.61
22.54,-4.48,-8.07,-4.46,-8.05,8.05,8.30,3.05,3.56,3.59,3.59
22.76,-4.36,-7.93,-4.35,-7.92,7.92,8.21,3.14,3.56,3.56,3.57
22.99,-4.25,-7.79,-4.24,-7.78,7.78,8.10,3.23,3.53,3.54,3.54
23.22,-4.13,-7.64,-4.13,-7.65,7.65,7.99,3.33,3.52,3.52,3.51
23.45,-4.01,-7.49,-4.02,-7.51,7.51,7.87,3.42,3.50,3.50,3.48
23.69,-3.89,-7.36,-3.90,-7.38,7.38,7.75,3.52,3.48,3.48,3.47
23.92,-3.77,-7.22,-3.78,-7.24,7.24,7.62,3.62,3.47,3.46,3.45
24.16,-3.65,-7.09,-3.66,-7.10,7.10,7.48,3.72,3.45,3.44,3.44
24.40,-3.54,-6.96,-3.54,-6.95,6.95,7.34,3.82,3.42,3.42,3.42
24.65,-3.42,-6.82,-3.42,-6.81,6.81,7.20,3.92,3.39,3.40,3.40
24.89,-3.30,-6.68,-3.29,-6.67,6.67,7.05,4.02,3.37,3.38,3.38
25.14,-3.18,-6.55,-3.17,-6.53,6.53,6.90,4.13,3.35,3.36,3.37
25.39,-3.05,-6.40,-3.05,-6.39,6.39,6.75,4.23,3.34,3.35,3.35
25.65,-2.93,-6.27,-2.92,-6.25,6.25,6.60,4.33,3.32,3.33,3.34
25.91,-2.80,-6.11,-2.80,-6.11,6.11,6.45,4.44,3.31,3.32,3.31
26.16,-2.67,-5.97,-2.67,-5.97,5.97,6.30,4.54,3.31,3.30,3.30
26.43,-2.55,-5.84,-2.55,-5.83,5.83,6.14,4.64,3.28,3.28,3.29
26.69,-2.42,-5.68,-2.43,-5.69,5.69,5.99,4.74,3.27,3.27,3.26
26.96,-2.30,-5.55,-2.30,-5.56,5.56,5.84,4.84,3.25,3.25,3.25
27.23,-2.17,-5.41,-2.18,-5.42,5.42,5.69,4.93,3.25,3.24,3.24
27.50,-2.06,-5.29,-2.06,-5.28,5.28,5.53,5.02,3.22,3.22,3.23
27.77,-1.94,-5.15,-1.94,-5.15,5.15,5.38,5.11,3.21,3.21,3.21
28.05,-1.82,-5.02,-1.82,-5.02,5.02,5.24,5.19,3.20,3.19,3.20
28.33,-1.71,-4.89,-1.71,-4.89,4.89,5.09,5.26,3.18,3.18,3.18
28.62,-1.59,-4.76,-1.59,-4.76,4.76,4.94,5.33,3.17,3.17,3.17
28.90,-1.48,-4.63,-1.48,-4.64,4.64,4.80,5.39,3.16,3.16,3.15
29.19,-1.37,-4.50,-1.37,-4.51,4.51,4.66,5.44,3.14,3.14,3.13
29.48,-1.26,-4.39,-1.26,-4.39,4.39,4.52,5.49,3.13,3.13,3.13
29.78,-1.15,-4.27,-1.16,-4.27,4.27,4.38,5.52,3.12,3.12,3.12
30.08,-1.05,-4.16,-1.05,-4.16,4.16,4.24,5.55,3.10,3.10,3.11
30.38,-0.96,-4.05,-0.95,-4.04,4.04,4.11,5.56,3.08,3.09,3.09
30.68,-0.85,-3.93,-0.85,-3.92,3.92,3.98,5.56,3.07,3.07,3.08
30.99,-0.75,-3.80,-0.76,-3.81,3.81,3.85,5.55,3.06,3.05,3.05
31.30,-0.67,-3.71,-0.66,-3.70,3.70,3.72,5.53,3.03,3.04,3.04
31.61,-0.57,-3.60,-0.57,-3.59,3.59,3.59,5.50,3.02,3.02,3.03
31.93,-0.48,-3.49,-0.48,-3.48,3.48,3.47,5.46,3.00,3.00,3.01
32.24,-0.39,-3.37,-0.39,-3.38,3.38,3.34,5.40,2.99,2.98,2.98
32.57,-0.30,-3.26,-0.31,-3.27,3.27,3.22,5.34,2.97,2.96,2.96
32.89,-0.22,-3.17,-0.22,-3.17,3.17,3.10,5.26,2.95,2.94,2.95
33.22,-0.13,-3.05,-0.14,-3.06,3.06,2.99,5.17,2.93,2.92,2.92
33.55,-0.05,-2.96,-0.06,-2.96,2.96,2.87,5.08,2.91,2.90,2.91
33.89,0.02,-2.86,0.03,-2.86,2.86,2.76,4.97,2.88,2.88,2.88
34.23,0.10,-2.76,0.11,-2.75,2.75,2.65,4.86,2.85,2.86,2.86
34.57,0.18,-2.66,0.19,-2.65,2.65,2.54,4.74,2.83,2.84,2.84
34.92,0.26,-2.56,0.27,-2.55,2.55,2.43,4.62,2.81,2.82,2.82
35.27,0.34,-2.46,0.35,-2.45,2.45,2.32,4.49,2.79,2.80,2.80
35.62,0.42,-2.36,0.43,-2.35,2.35,2.22,4.35,2.77,2.78,2.78
35.97,0.51,-2.25,0.51,-2.25,2.25,2.12,4.21,2.76,2.76,2.76
36.33,0.60,-2.14,0.59,-2.15,2.15,2.02,4.06,2.75,2.74,2.74
36.70,0.68,-2.04,0.67,-2.05,2.05,1.92,3.91,2.73,2.72,2.72
37.06,0.76,-1.94,0.75,-1.95,1.95,1.82,3.76,2.71,2.70,2.70
37.43,0.84,-1.84,0.82,-1.85,1.85,1.72,3.60,2.69,2.67,2.68
37.81,0.91,-1.75,0.90,-1.75,1.75,1.62,3.45,2.66,2.65,2.66
38.19,0.98,-1.65,0.98,-1.66,1.66,1.53,3.29,2.64,2.63,2.63
38.57,1.05,-1.57,1.05,-1.56,1.56,1.44,3.13,2.61,2.61,2.62
38.95,1.12,-1.47,1.12,-1.47,1.47,1.35,2.97,2.59,2.59,2.59
39.34,1.19,-1.38,1.20,-1.38,1.38,1.25,2.81,2.57,2.57,2.57
39.74,1.26,-1.29,1.27,-1.29,1.29,1.17,2.65,2.55,2.56,2.55
40.14,1.34,-1.20,1.34,-1.19,1.19,1.08,2.49,2.53,2.54,2.54
40.54,1.41,-1.11,1.42,-1.10,1.10,0.99,2.33,2.51,2.52,2.52
40.94,1.49,-1.01,1.49,-1.01,1.01,0.90,2.17,2.50,2.50,2.50
41.35,1.57,-0.90,1.57,-0.91,0.91,0.82,2.01,2.48,2.48,2.47
41.76,1.65,-0.82,1.65,-0.81,0.81,0.73,1.85,2.46,2.46,2.47
42.18,1.73,-0.72,1.73,-0.71,0.71,0.65,1.69,2.44,2.44,2.45
42.60,1.81,-0.62,1.82,-0.61,0.61,0.57,1.54,2.42,2.42,2.43
43.03,1.90,-0.52,1.90,-0.50,0.50,0.49,1.38,2.40,2.40,2.42
43.46,1.99,-0.40,1.99,-0.40,0.40,0.41,1.22,2.39,2.39,2.39
43.90,2.08,-0.29,2.08,-0.29,0.29,0.33,1.07,2.37,2.37,2.37
44.33,2.17,-0.18,2.16,-0.19,0.19,0.25,0.91,2.36,2.35,2.35
44.78,2.25,-0.08,2.25,-0.08,0.08,0.17,0.76,2.33,2.33,2.33
45.23,2.34,0.04,2.34,0.03,-0.03,0.09,0.60,2.31,2.31,2.30
45.68,2.42,0.14,2.43,0.14,-0.14,0.02,0.45,2.28,2.29,2.28
46.13,2.52,0.25,2.52,0.25,-0.25,-0.06,0.30,2.28,2.27,2.27
46.60,2.61,0.35,2.61,0.36,-0.36,-0.14,0.15,2.25,2.25,2.26
47.06,2.70,0.46,2.70,0.47,-0.47,-0.21,-0.00,2.23,2.23,2.24
47.53,2.79,0.57,2.79,0.58,-0.58,-0.29,-0.15,2.21,2.21,2.22
48.01,2.88,0.67,2.88,0.69,-0.69,-0.36,-0.30,2.19,2.19,2.21
48.49,2.96,0.78,2.96,0.79,-0.79,-0.43,-0.45,2.17,2.17,2.18
48.97,3.05,0.90,3.05,0.90,-0.90,-0.51,-0.60,2.15,2.15,2.15
49.46,3.13,1.01,3.14,1.01,-1.01,-0.58,-0.75,2.12,2.13,2.12
49.96,3.22,1.13,3.22,1.12,-1.12,-0.65,-0.89,2.10,2.10,2.09
50.46,3.31,1.23,3.30,1.22,-1.22,-0.72,-1.04,2.09,2.08,2.08
50.96,3.39,1.33,3.39,1.33,-1.33,-0.79,-1.18,2.06,2.06,2.06
51.47,3.47,1.44,3.47,1.43,-1.43,-0.86,-1.32,2.04,2.03,2.03
51.99,3.54,1.53,3.54,1.53,-1.53,-0.93,-1.46,2.01,2.01,2.01
52.51,3.62,1.63,3.62,1.63,-1.63,-1.00,-1.60,1.98,1.99,1.99
53.03,3.69,1.72,3.69,1.73,-1.73,-1.07,-1.74,1.96,1.96,1.97
53.56,3.77,1.83,3.77,1.83,-1.83,-1.14,-1.87,1.94,1.94,1.94
54.10,3.85,1.93,3.84,1.92,-1.92,-1.21,-2.01,1.93,1.91,1.92
54.64,3.90,2.01,3.91,2.02,-2.02,-1.28,-2.13,1.88,1.89,1.89
55.18,3.97,2.10,3.97,2.10,-2.10,-1.35,-2.26,1.87,1.87,1.87
55.74,4.04,2.20,4.04,2.19,-2.19,-1.42,-2.38,1.85,1.84,1.84
56.29,4.09,2.27,4.10,2.28,-2.28,-1.49,-2.50,1.81,1.82,1.82
56.86,4.16,2.37,4.16,2.36,-2.36,-1.56,-2.62,1.80,1.80,1.79
57.42,4.22,2.45,4.21,2.44,-2.44,-1.62,-2.73,1.78,1.77,1.77
58.00,4.27,2.52,4.27,2.52,-2.52,-1.69,-2.84,1.75,1.75,1.75
58.58,4.32,2.60,4.32,2.60,-2.60,-1.76,-2.94,1.72,1.72,1.72
59.16,4.37,2.67,4.37,2.68,-2.68,-1.83,-3.03,1.69,1.69,1.70
59.76,4.42,2.74,4.42,2.75,-2.75,-1.90,-3.12,1.67,1.67,1.68
60.35,4.46,2.81,4.46,2.82,-2.82,-1.96,-3.21,1.64,1.64,1.65
60.96,4.50,2.87,4.51,2.89,-2.89,-2.03,-3.29,1.61,1.62,1.63
61.57,4.55,2.96,4.55,2.96,-2.96,-2.10,-3.36,1.59,1.59,1.59
62.18,4.59,3.03,4.59,3.02,-3.02,-2.16,-3.43,1.57,1.56,1.56
62.80,4.63,3.10,4.62,3.09,-3.09,-2.23,-3.49,1.54,1.54,1.53
63.43,4.66,3.16,4.65,3.15,-3.15,-2.30,-3.55,1.51,1.51,1.50
64.07,4.68,3.21,4.69,3.20,-3.20,-2.37,-3.60,1.48,1.48,1.47
64.71,4.72,3.27,4.72,3.26,-3.26,-2.43,-3.64,1.46,1.46,1.45
65.35,4.74,3.31,4.74,3.31,-3.31,-2.50,-3.68,1.43,1.43,1.43
66.01,4.76,3.35,4.77,3.36,-3.36,-2.57,-3.72,1.40,1.40,1.41
66.67,4.79,3.41,4.79,3.41,-3.41,-2.63,-3.75,1.38,1.38,1.38
67.33,4.82,3.46,4.82,3.46,-3.46,-2.70,-3.78,1.36,1.35,1.36
68.01,4.83,3.50,4.83,3.51,-3.51,-2.77,-3.80,1.32,1.33,1.33
68.69,4.85,3.54,4.85,3.55,-3.55,-2.83,-3.82,1.30,1.30,1.31
69.37,4.87,3.59,4.87,3.59,-3.59,-2.90,-3.83,1.28,1.28,1.28
70.07,4.89,3.64,4.89,3.63,-3.63,-2.97,-3.84,1.26,1.25,1.25
70.77,4.90,3.67,4.90,3.68,-3.68,-3.04,-3.85,1.22,1.22,1.23
71.48,4.92,3.72,4.91,3.72,-3.72,-3.10,-3.86,1.20,1.19,1.20
72.19,4.92,3.75,4.92,3.76,-3.76,-3.17,-3.87,1.16,1.16,1.17
72.91,4.93,3.80,4.93,3.80,-3.80,-3.24,-3.88,1.13,1.13,1.13
73.64,4.93,3.83,4.94,3.84,-3.84,-3.30,-3.88,1.09,1.10,1.10
74.38,4.94,3.87,4.94,3.88,-3.88,-3.37,-3.89,1.06,1.06,1.07
75.12,4.95,3.93,4.94,3.91,-3.91,-3.44,-3.89,1.04,1.03,1.02
75.87,4.95,3.96,4.95,3.95,-3.95,-3.50,-3.90,1.00,0.99,0.99
76.63,4.94,3.98,4.95,3.99,-3.99,-3.57,-3.91,0.95,0.95,0.96
77.40,4.94,4.02,4.95,4.03,-4.03,-3.64,-3.92,0.91,0.91,0.92
78.17,4.94,4.08,4.94,4.07,-4.07,-3.70,-3.93,0.87,0.87,0.86
78.95,4.94,4.10,4.94,4.11,-4.11,-3.77,-3.94,0.83,0.83,0.84
79.74,4.94,4.14,4.94,4.15,-4.15,-3.84,-3.95,0.79,0.79,0.80
80.54,4.93,4.18,4.93,4.19,-4.19,-3.90,-3.97,0.74,0.75,0.75
81.35,4.93,4.22,4.93,4.22,-4.22,-3.97,-3.99,0.71,0.71,0.71
82.16,4.93,4.27,4.92,4.26,-4.26,-4.04,-4.01,0.67,0.66,0.66
82.98,4.92,4.30,4.92,4.30,-4.30,-4.10,-4.03,0.62,0.62,0.62
83.81,4.91,4.35,4.91,4.34,-4.34,-4.17,-4.06,0.57,0.57,0.56
84.65,4.90,4.38,4.90,4.38,-4.38,-4.23,-4.09,0.52,0.52,0.52
85.50,4.89,4.41,4.89,4.42,-4.42,-4.30,-4.12,0.47,0.47,0.48
86.35,4.88,4.45,4.88,4.45,-4.45,-4.36,-4.15,0.43,0.43,0.43
87.22,4.86,4.48,4.87,4.49,-4.49,-4.43,-4.19,0.37,0.38,0.38
88.09,4.86,4.54,4.86,4.53,-4.53,-4.50,-4.23,0.33,0.33,0.32
88.97,4.84,4.56,4.84,4.57,-4.57,-4.56,-4.28,0.27,0.28,0.28
89.86,4.83,4.60,4.83,4.60,-4.60,-4.63,-4.33,0.23,0.23,0.23
90.76,4.81,4.64,4.81,4.64,-4.64,-4.69,-4.38,0.17,0.17,0.17
91.66,4.80,4.68,4.80,4.68,-4.68,-4.75,-4.44,0.12,0.12,0.12
92.58,4.78,4.72,4.78,4.72,-4.72,-4.82,-4.49,0.06,0.07,0.06
93.51,4.77,4.75,4.77,4.76,-4.76,-4.88,-4.56,0.01,0.01,0.02
94.44,4.76,4.79,4.75,4.80,-4.80,-4.95,-4.62,-0.04,-0.04,-0.03
95.39,4.74,4.83,4.74,4.84,-4.84,-5.01,-4.69,-0.10,-0.10,-0.09
96.34,4.72,4.88,4.72,4.88,-4.88,-5.07,-4.76,-0.16,-0.16,-0.16
97.30,4.70,4.91,4.71,4.92,-4.92,-5.13,-4.83,-0.22,-0.21,-0.21
98.28,4.69,4.96,4.69,4.96,-4.96,-5.20,-4.91,-0.27,-0.27,-0.27
99.26,4.67,5.01,4.67,5.00,-5.00,-5.26,-4.99,-0.33,-0.33,-0.34
100.25,4.65,5.04,4.65,5.05,-5.05,-5.32,-5.07,-0.40,-0.39,-0.39
101.25,4.64,5.09,4.64,5.09,-5.09,-5.38,-5.15,-0.45,-0.45,-0.45
102.27,4.62,5.14,4.62,5.13,-5.13,-5.44,-5.24,-0.51,-0.52,-0.52
103.29,4.60,5.19,4.60,5.18,-5.18,-5.50,-5.32,-0.58,-0.58,-0.59
