frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-7.95,-8.26,-7.95,-8.26,8.26,7.91,2.90,0.32,0.32,0.32
20.20,-7.90,-8.21,-7.90,-8.22,8.22,7.92,2.99,0.32,0.32,0.32
20.40,-7.87,-8.18,-7.86,-8.18,8.18,7.93,3.07,0.31,0.32,0.32
20.61,-7.82,-8.14,-7.82,-8.14,8.13,7.94,3.16,0.32,0.31,0.32
20.81,-7.78,-8.09,-7.78,-8.09,8.09,7.94,3.25,0.31,0.31,0.32
21.02,-7.74,-8.05,-7.74,-8.05,8.05,7.94,3.34,0.31,0.31,0.32
21.23,-7.70,-7.99,-7.70,-8.00,8.00,7.93,3.44,0.30,0.30,0.30
21.44,-7.67,-7.95,-7.67,-7.95,7.96,7.93,3.54,0.29,0.29,0.29
21.66,-7.64,-7.90,-7.64,-7.91,7.91,7.91,3.64,0.27,0.27,0.27
21.87,-7.62,-7.86,-7.61,-7.86,7.86,7.90,3.74,0.25,0.25,0.25
22.09,-7.58,-7.81,-7.58,-7.81,7.82,7.88,3.85,0.24,0.23,0.24
22.31,-7.56,-7.76,-7.56,-7.77,7.77,7.85,3.96,0.21,0.21,0.21
22.54,-7.54,-7.72,-7.53,-7.72,7.72,7.82,4.07,0.18,0.19,0.19
22.76,-7.51,-7.67,-7.51,-7.68,7.67,7.79,4.18,0.16,0.16,0.17
22.99,-7.49,-7.62,-7.49,-7.62,7.62,7.76,4.30,0.13,0.13,0.14
23.22,-7.47,-7.57,-7.46,-7.57,7.57,7.72,4.42,0.10,0.11,0.11
23.45,-7.43,-7.50,-7.43,-7.51,7.52,7.68,4.55,0.09,0.08,0.08
23.69,-7.40,-7.46,-7.40,-7.46,7.46,7.64,4.67,0.06,0.07,0.07
23.92,-7.36,-7.40,-7.36,-7.41,7.41,7.59,4.80,0.05,0.05,0.05
24.16,-7.32,-7.35,-7.32,-7.36,7.35,7.54,4.93,0.04,0.03,0.04
24.40,-7.29,-7.30,-7.28,-7.30,7.30,7.49,5.07,0.01,0.01,0.02
24.65,-7.25,-7.24,-7.25,-7.24,7.24,7.44,5.20,-0.00,-0.00,-0.00
24.89,-7.21,-7.18,-7.21,-7.19,7.19,7.38,5.34,-0.02,-0.02,-0.02
25.14,-7.17,-7.13,-7.17,-7.14,7.14,7.32,5.48,-0.03,-0.03,-0.03
25.39,-7.14,-7.08,-7.13,-7.08,7.08,7.26,5.62,-0.06,-0.05,-0.05
25.65,-7.10,-7.03,-7.10,-7.03,7.03,7.20,5.76,-0.07,-0.07,-0.06
25.91,-7.06,-6.97,-7.06,-6.97,6.97,7.13,5.90,-0.09,-0.09,-0.09
26.16,-7.02,-6.91,-7.02,-6.92,6.92,7.06,6.04,-0.10,-0.10,-0.10
26.43,-6.99,-6.87,-6.98,-6.86,6.86,6.99,6.18,-0.13,-0.12,-0.11
26.69,-6.94,-6.79,-6.94,-6.80,6.80,6.92,6.32,-0.13,-0.13,-0.14
26.96,-6.90,-6.74,-6.90,-6.75,6.75,6.85,6.46,-0.15,-0.15,-0.15
27.23,-6.85,-6.68,-6.85,-6.69,6.69,6.78,6.60,-0.16,-0.16,-0.16
27.50,-6.82,-6.64,-6.81,-6.64,6.63,6.70,6.73,-0.19,-0.18,-0.17
27.77,-6.77,-6.57,-6.77,-6.58,6.57,6.63,6.85,-0.19,-0.19,-0.19
28.05,-6.72,-6.51,-6.72,-6.52,6.51,6.55,6.97,-0.20,-0.21,-0.20
28.33,-6.68,-6.45,-6.67,-6.45,6.46,6.47,7.09,-0.22,-0.22,-0.22
28.62,-6.63,-6.40,-6.63,-6.39,6.40,6.39,7.20,-0.23,-0.23,-0.23
28.90,-6.59,-6.33,-6.59,-6.33,6.34,6.31,7.29,-0.25,-0.25,-0.25
29.19,-6.55,-6.27,-6.54,-6.27,6.28,6.23,7.38,-0.27,-0.26,-0.27
29.48,-6.49,-6.21,-6.49,-6.22,6.21,6.15,7.46,-0.27,-0.28,-0.27
29.78,-6.44,-6.15,-6.44,-6.16,6.15,6.07,7.53,-0.29,-0.29,-0.28
30.08,-6.39,-6.10,-6.39,-6.09,6.09,5.99,7.58,-0.30,-0.30,-0.29
30.38,-6.34,-6.03,-6.33,-6.02,6.02,5.91,7.63,-0.32,-0.31,-0.31
30.68,-6.28,-5.95,-6.28,-5.95,5.95,5.83,7.65,-0.33,-0.33,-0.32
30.99,-6.22,-5.87,-6.22,-5.87,5.88,5.74,7.67,-0.34,-0.34,-0.35
31.30,-6.17,-5.80,-6.16,-5.80,5.81,5.66,7.67,-0.36,-0.36,-0.36
31.61,-6.11,-5.73,-6.11,-5.73,5.73,5.58,7.65,-0.37,-0.38,-0.37
31.93,-6.06,-5.67,-6.06,-5.66,5.66,5.50,7.63,-0.40,-0.40,-0.39
32.24,-6.01,-5.58,-6.00,-5.58,5.58,5.42,7.58,-0.43,-0.42,-0.42
