frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,7.86,-2.72,7.85,-2.75,2.75,2.46,0.67,10.61,10.60,10.58
20.20,7.88,-2.70,7.87,-2.73,2.73,2.46,0.69,10.60,10.59,10.58
20.40,7.89,-2.69,7.89,-2.70,2.70,2.46,0.71,10.58,10.59,10.58
20.61,7.91,-2.67,7.91,-2.66,2.66,2.47,0.73,10.57,10.58,10.58
20.81,7.93,-2.65,7.93,-2.63,2.63,2.46,0.76,10.56,10.56,10.58
21.02,7.95,-2.63,7.95,-2.60,2.60,2.46,0.78,10.55,10.55,10.58
21.23,7.98,-2.58,7.98,-2.57,2.57,2.45,0.81,10.54,10.54,10.56
21.44,8.00,-2.55,8.00,-2.53,2.53,2.44,0.83,10.53,10.53,10.55
21.66,8.02,-2.51,8.02,-2.49,2.49,2.43,0.86,10.51,10.51,10.53
21.87,8.04,-2.47,8.04,-2.46,2.46,2.41,0.88,10.49,10.50,10.50
22.09,8.07,-2.43,8.06,-2.42,2.42,2.39,0.91,10.48,10.48,10.49
22.31,8.09,-2.38,8.09,-2.38,2.38,2.37,0.94,10.47,10.46,10.46
22.54,8.11,-2.34,8.11,-2.33,2.33,2.34,0.97,10.44,10.44,10.44
22.76,8.14,-2.29,8.13,-2.29,2.29,2.32,1.00,10.42,10.42,10.42
22.99,8.16,-2.24,8.16,-2.24,2.24,2.29,1.03,10.40,10.40,10.39
23.22,8.18,-2.18,8.18,-2.20,2.20,2.26,1.06,10.37,10.38,10.36
23.45,8.21,-2.13,8.20,-2.15,2.15,2.23,1.09,10.36,10.35,10.34
23.69,8.23,-2.10,8.23,-2.11,2.11,2.19,1.12,10.33,10.33,10.33
23.92,8.26,-2.05,8.25,-2.06,2.06,2.16,1.16,10.32,10.31,10.31
24.16,8.28,-2.02,8.27,-2.02,2.02,2.12,1.19,10.30,10.29,10.30
24.40,8.29,-1.99,8.29,-1.98,1.98,2.08,1.22,10.27,10.27,10.28
24.65,8.32,-1.94,8.31,-1.94,1.94,2.04,1.26,10.26,10.25,10.26
24.89,8.34,-1.90,8.34,-1.90,1.90,2.00,1.29,10.24,10.24,10.23
25.14,8.36,-1.87,8.36,-1.86,1.86,1.96,1.33,10.22,10.22,10.22
25.39,8.38,-1.83,8.38,-1.82,1.82,1.92,1.36,10.20,10.20,10.20
25.65,8.40,-1.80,8.40,-1.79,1.79,1.88,1.40,10.18,10.19,10.19
25.91,8.42,-1.75,8.42,-1.75,1.75,1.83,1.43,10.17,10.17,10.16
26.16,8.44,-1.71,8.44,-1.72,1.72,1.79,1.46,10.15,10.15,10.15
26.43,8.46,-1.68,8.46,-1.68,1.68,1.75,1.50,10.14,10.14,10.14
26.69,8.48,-1.64,8.48,-1.64,1.64,1.70,1.53,10.12,10.12,10.12
26.96,8.50,-1.61,8.50,-1.61,1.61,1.66,1.56,10.10,10.10,10.11
27.23,8.53,-1.57,8.52,-1.57,1.57,1.62,1.59,10.10,10.09,10.09
27.50,8.54,-1.55,8.54,-1.54,1.54,1.57,1.62,10.08,10.08,10.08
27.77,8.56,-1.50,8.56,-1.51,1.51,1.53,1.65,10.06,10.06,10.06
28.05,8.58,-1.47,8.57,-1.47,1.47,1.49,1.68,10.05,10.05,10.05
28.33,8.59,-1.44,8.59,-1.44,1.44,1.44,1.70,10.03,10.03,10.03
28.62,8.62,-1.40,8.61,-1.41,1.41,1.40,1.72,10.02,10.02,10.02
28.90,8.63,-1.38,8.63,-1.37,1.37,1.36,1.74,10.00,10.01,10.00
29.19,8.65,-1.34,8.65,-1.34,1.34,1.32,1.76,9.99,9.99,9.98
29.48,8.67,-1.31,8.67,-1.31,1.31,1.28,1.77,9.98,9.98,9.98
29.78,8.69,-1.28,8.69,-1.28,1.28,1.24,1.78,9.96,9.96,9.97
30.08,8.71,-1.25,8.70,-1.25,1.25,1.20,1.79,9.95,9.95,9.96
30.38,8.72,-1.22,8.72,-1.22,1.22,1.16,1.79,9.93,9.93,9.94
30.68,8.74,-1.19,8.73,-1.19,1.19,1.12,1.79,9.92,9.92,9.92
30.99,8.76,-1.14,8.74,-1.16,1.16,1.08,1.79,9.91,9.90,9.90
31.30,8.77,-1.12,8.76,-1.13,1.13,1.04,1.79,9.90,9.89,9.89
31.61,8.78,-1.10,8.77,-1.10,1.10,1.00,1.78,9.88,9.87,9.88
31.93,8.78,-1.08,8.77,-1.08,1.08,0.97,1.77,9.85,9.85,9.85
32.24,8.78,-1.04,8.78,-1.05,1.05,0.93,1.75,9.82,9.83,9.82
32.57,8.79,-1.02,8.79,-1.02,1.02,0.90,1.73,9.81,9.81,9.81
32.89,8.79,-1.01,8.79,-0.99,0.99,0.86,1.71,9.78,9.79,9.79
33.22,8.80,-0.97,8.80,-0.97,0.97,0.83,1.68,9.77,9.77,9.76
33.55,8.80,-0.95,8.80,-0.94,0.94,0.80,1.65,9.74,9.75,9.75
33.89,8.81,-0.92,8.81,-0.92,0.92,0.76,1.62,9.72,9.72,9.73
34.23,8.81,-0.90,8.81,-0.89,0.89,0.73,1.59,9.70,9.70,9.70
34.57,8.82,-0.86,8.81,-0.87,0.87,0.70,1.55,9.68,9.68,9.68
34.92,8.82,-0.84,8.82,-0.84,0.84,0.67,1.51,9.66,9.66,9.65
35.27,8.83,-0.81,8.82,-0.82,0.82,0.64,1.47,9.64,9.64,9.64
35.62,8.83,-0.79,8.83,-0.79,0.79,0.61,1.43,9.62,9.62,9.62
35.97,8.83,-0.77,8.83,-0.77,0.77,0.58,1.38,9.59,9.60,9.59
36.33,8.84,-0.74,8.83,-0.74,0.74,0.55,1.34,9.58,9.57,9.58
36.70,8.84,-0.72,8.84,-0.71,0.71,0.52,1.29,9.55,9.55,9.55
37.06,8.85,-0.68,8.84,-0.69,0.69,0.50,1.24,9.54,9.53,9.53
37.43,8.85,-0.67,8.84,-0.66,0.66,0.47,1.19,9.51,9.51,9.51
37.81,8.85,-0.64,8.85,-0.64,0.64,0.44,1.14,9.49,9.49,9.49
38.19,8.86,-0.61,8.85,-0.62,0.62,0.42,1.09,9.47,9.47,9.46
38.57,8.85,-0.60,8.85,-0.59,0.59,0.39,1.04,9.44,9.44,9.45
38.95,8.86,-0.57,8.85,-0.57,0.57,0.36,0.99,9.43,9.42,9.42
39.34,8.86,-0.54,8.85,-0.55,0.55,0.34,0.94,9.41,9.40,9.40
39.74,8.86,-0.52,8.86,-0.53,0.53,0.31,0.88,9.38,9.38,9.37
40.14,8.86,-0.51,8.86,-0.51,0.51,0.29,0.83,9.36,9.36,9.37
40.54,8.86,-0.48,8.86,-0.49,0.49,0.26,0.78,9.34,9.34,9.34
40.94,8.86,-0.47,8.86,-0.46,0.46,0.24,0.73,9.32,9.32,9.32
41.35,8.86,-0.44,8.86,-0.44,0.44,0.22,0.68,9.30,9.30,9.30
41.76,8.87,-0.42,8.86,-0.42,0.42,0.19,0.63,9.29,9.28,9.29
42.18,8.87,-0.40,8.86,-0.40,0.40,0.17,0.58,9.27,9.26,9.27
42.60,8.87,-0.38,8.86,-0.38,0.38,0.15,0.52,9.24,9.24,9.24
43.03,8.87,-0.37,8.87,-0.35,0.35,0.12,0.47,9.22,9.22,9.23
43.46,8.87,-0.34,8.87,-0.33,0.33,0.10,0.42,9.20,9.20,9.21
43.90,8.88,-0.30,8.87,-0.31,0.31,0.08,0.37,9.18,9.18,9.18
44.33,8.88,-0.28,8.88,-0.29,0.29,0.06,0.32,9.16,9.16,9.16
44.78,8.88,-0.26,8.88,-0.26,0.26,0.03,0.28,9.14,9.14,9.14
45.23,8.89,-0.22,8.88,-0.24,0.24,0.01,0.23,9.12,9.12,9.11
45.68,8.89,-0.20,8.89,-0.21,0.21,-0.01,0.18,9.10,9.10,9.09
46.13,8.90,-0.17,8.89,-0.18,0.18,-0.03,0.13,9.08,9.08,9.07
46.60,8.90,-0.16,8.90,-0.16,0.16,-0.05,0.08,9.05,9.05,9.06
47.06,8.91,-0.13,8.90,-0.13,0.13,-0.07,0.03,9.03,9.03,9.04
47.53,8.92,-0.10,8.91,-0.10,0.10,-0.10,-0.01,9.01,9.01,9.02
48.01,8.92,-0.09,8.92,-0.07,0.07,-0.12,-0.06,8.98,8.98,9.00
48.49,8.93,-0.04,8.92,-0.04,0.04,-0.14,-0.11,8.96,8.96,8.97
48.97,8.93,-0.01,8.93,-0.01,0.01,-0.16,-0.15,8.93,8.94,8.94
49.46,8.94,0.03,8.94,0.03,-0.03,-0.18,-0.20,8.91,8.91,8.90
49.96,8.95,0.08,8.95,0.06,-0.06,-0.20,-0.25,8.89,8.89,8.87
50.46,8.97,0.10,8.96,0.09,-0.09,-0.22,-0.29,8.87,8.86,8.87
50.96,8.97,0.12,8.97,0.13,-0.13,-0.24,-0.34,8.84,8.84,8.84
51.47,8.98,0.17,8.98,0.17,-0.17,-0.27,-0.38,8.81,8.81,8.81
51.99,8.99,0.21,8.99,0.21,-0.21,-0.29,-0.43,8.78,8.78,8.78
52.51,9.01,0.24,9.00,0.24,-0.24,-0.31,-0.47,8.76,8.76,8.76
53.03,9.02,0.28,9.01,0.28,-0.28,-0.33,-0.51,8.73,8.73,8.74
53.56,9.03,0.32,9.03,0.33,-0.33,-0.35,-0.56,8.70,8.70,8.71
54.10,9.05,0.37,9.04,0.36,-0.36,-0.37,-0.60,8.68,8.68,8.68
54.64,9.06,0.40,9.06,0.41,-0.41,-0.39,-0.64,8.65,8.65,8.65
55.18,9.07,0.44,9.07,0.45,-0.45,-0.42,-0.68,8.62,8.62,8.62
55.74,9.09,0.49,9.08,0.49,-0.49,-0.44,-0.72,8.60,8.60,8.59
56.29,9.10,0.53,9.10,0.53,-0.53,-0.46,-0.76,8.57,8.57,8.57
56.86,9.12,0.58,9.11,0.57,-0.57,-0.48,-0.80,8.54,8.54,8.54
57.42,9.13,0.62,9.13,0.61,-0.61,-0.51,-0.84,8.51,8.51,8.51
58.00,9.15,0.66,9.14,0.66,-0.66,-0.53,-0.87,8.49,8.48,8.48
58.58,9.16,0.71,9.15,0.70,-0.70,-0.55,-0.91,8.45,8.45,8.45
59.16,9.18,0.75,9.17,0.75,-0.75,-0.57,-0.95,8.43,8.42,8.43
59.76,9.18,0.77,9.18,0.79,-0.79,-0.60,-0.98,8.39,8.39,8.40
60.35,9.20,0.83,9.20,0.83,-0.83,-0.62,-1.01,8.36,8.36,8.37
60.96,9.21,0.86,9.21,0.88,-0.88,-0.64,-1.05,8.33,8.33,8.35
61.57,9.22,0.92,9.22,0.92,-0.92,-0.67,-1.08,8.29,8.30,8.30
62.18,9.24,0.97,9.23,0.96,-0.96,-0.69,-1.11,8.27,8.27,8.26
62.80,9.25,1.01,9.25,1.01,-1.01,-0.72,-1.14,8.24,8.24,8.23
63.43,9.26,1.06,9.26,1.05,-1.05,-0.74,-1.16,8.20,8.21,8.19
64.07,9.27,1.10,9.27,1.09,-1.09,-0.77,-1.19,8.17,8.17,8.16
64.71,9.29,1.15,9.28,1.14,-1.14,-0.79,-1.22,8.15,8.14,8.14
65.35,9.29,1.18,9.29,1.18,-1.18,-0.82,-1.24,8.11,8.11,8.11
66.01,9.30,1.21,9.30,1.22,-1.22,-0.84,-1.27,8.08,8.08,8.08
66.67,9.31,1.26,9.31,1.26,-1.26,-0.87,-1.29,8.05,8.05,8.05
67.33,9.33,1.30,9.32,1.30,-1.30,-0.90,-1.31,8.03,8.02,8.02
68.01,9.33,1.34,9.32,1.34,-1.34,-0.92,-1.34,7.99,7.99,7.99
68.69,9.34,1.38,9.33,1.37,-1.37,-0.95,-1.36,7.96,7.96,7.96
69.37,9.34,1.41,9.34,1.41,-1.41,-0.98,-1.38,7.92,7.92,7.92
70.07,9.34,1.44,9.34,1.45,-1.45,-1.01,-1.41,7.89,7.89,7.89
70.77,9.35,1.48,9.34,1.49,-1.49,-1.03,-1.43,7.86,7.86,7.86
71.48,9.35,1.52,9.35,1.53,-1.53,-1.06,-1.45,7.82,7.82,7.82
72.19,9.35,1.56,9.35,1.57,-1.57,-1.09,-1.47,7.78,7.78,7.79
72.91,9.36,1.61,9.35,1.61,-1.61,-1.12,-1.50,7.75,7.74,7.75
73.64,9.35,1.64,9.35,1.65,-1.65,-1.15,-1.52,7.70,7.70,7.70
74.38,9.35,1.68,9.35,1.69,-1.69,-1.18,-1.54,7.66,7.66,7.67
75.12,9.36,1.75,9.35,1.73,-1.73,-1.21,-1.57,7.63,7.62,7.61
75.87,9.35,1.77,9.34,1.77,-1.77,-1.24,-1.59,7.58,7.58,7.57
76.63,9.34,1.80,9.34,1.81,-1.81,-1.28,-1.62,7.53,7.53,7.54
77.40,9.34,1.85,9.34,1.85,-1.85,-1.31,-1.65,7.48,7.48,7.49
78.17,9.33,1.90,9.33,1.89,-1.89,-1.34,-1.68,7.43,7.44,7.43
78.95,9.33,1.93,9.32,1.94,-1.94,-1.37,-1.71,7.39,7.39,7.40
79.74,9.32,1.97,9.32,1.98,-1.98,-1.41,-1.74,7.34,7.34,7.34
80.54,9.31,2.02,9.31,2.02,-2.02,-1.44,-1.77,7.29,7.29,7.29
81.35,9.30,2.06,9.30,2.06,-2.06,-1.48,-1.80,7.24,7.24,7.24
82.16,9.29,2.10,9.28,2.10,-2.10,-1.51,-1.84,7.18,7.18,7.18
82.98,9.28,2.14,9.27,2.14,-2.14,-1.55,-1.87,7.13,7.13,7.14
83.81,9.27,2.20,9.26,2.18,-2.18,-1.59,-1.91,7.08,7.08,7.07
84.65,9.24,2.22,9.24,2.22,-2.22,-1.62,-1.95,7.01,7.02,7.01
85.50,9.23,2.26,9.23,2.26,-2.26,-1.66,-1.99,6.96,6.96,6.96
86.35,9.21,2.30,9.21,2.30,-2.30,-1.70,-2.04,6.90,6.91,6.91
87.22,9.19,2.34,9.19,2.34,-2.34,-1.74,-2.08,6.84,6.85,6.85
88.09,9.18,2.39,9.17,2.38,-2.38,-1.78,-2.13,6.79,6.79,6.79
88.97,9.15,2.41,9.15,2.42,-2.42,-1.82,-2.17,6.73,6.73,6.73
89.86,9.13,2.45,9.13,2.46,-2.46,-1.86,-2.22,6.67,6.67,6.67
90.76,9.11,2.51,9.10,2.50,-2.50,-1.90,-2.28,6.61,6.61,6.60
91.66,9.08,2.53,9.08,2.53,-2.53,-1.94,-2.33,6.54,6.55,6.55
92.58,9.06,2.58,9.06,2.57,-2.57,-1.98,-2.38,6.49,6.48,6.47
93.51,9.03,2.60,9.03,2.61,-2.61,-2.02,-2.44,6.42,6.42,6.43
94.44,9.01,2.64,9.00,2.65,-2.65,-2.06,-2.50,6.36,6.36,6.36
95.39,8.98,2.68,8.98,2.69,-2.69,-2.11,-2.56,6.29,6.29,6.30
96.34,8.95,2.72,8.95,2.72,-2.72,-2.15,-2.62,6.22,6.22,6.22
97.30,8.92,2.76,8.92,2.76,-2.76,-2.19,-2.68,6.15,6.16,6.16
98.28,8.89,2.80,8.89,2.80,-2.80,-2.24,-2.74,6.09,6.09,6.09
99.26,8.86,2.84,8.85,2.84,-2.84,-2.28,-2.81,6.02,6.02,6.01
100.25,8.83,2.88,8.82,2.87,-2.87,-2.33,-2.87,5.95,5.95,5.95
101.25,8.79,2.91,8.79,2.91,-2.91,-2.38,-2.94,5.88,5.88,5.88
102.27,8.76,2.95,8.75,2.95,-2.95,-2.42,-3.00,5.81,5.80,5.80
103.29,8.72,2.99,8.72,2.99,-2.99,-2.47,-3.07,5.73,5.73,5.72
104.32,8.69,3.03,8.68,3.02,-3.02,-2.51,-3.14,5.66,5.66,5.66
105.37,8.65,3.06,8.64,3.06,-3.06,-2.56,-3.20,5.59,5.58,5.59
106.42,8.60,3.09,8.61,3.10,-3.10,-2.61,-3.27,5.50,5.51,5.51
