frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-16.60,-16.95,-16.60,-16.94,17.03,16.82,5.59,0.42,0.42,0.34
20.20,-16.48,-16.83,-16.49,-16.83,16.85,16.78,5.73,0.36,0.36,0.34
20.40,-16.35,-16.70,-16.35,-16.70,16.67,16.73,5.87,0.31,0.31,0.34
20.61,-16.21,-16.55,-16.20,-16.55,16.49,16.65,6.01,0.28,0.29,0.34
20.81,-16.02,-16.37,-16.03,-16.37,16.31,16.55,6.16,0.29,0.28,0.34
21.02,-15.84,-16.19,-15.84,-16.17,16.13,16.44,6.32,0.28,0.29,0.34
21.23,-15.63,-15.96,-15.64,-15.97,15.95,16.32,6.47,0.32,0.31,0.32
21.44,-15.44,-15.75,-15.44,-15.75,15.77,16.18,6.63,0.33,0.33,0.31
21.66,-15.26,-15.55,-15.25,-15.55,15.57,16.03,6.80,0.32,0.32,0.29
21.87,-15.08,-15.35,-15.08,-15.36,15.39,15.87,6.97,0.30,0.30,0.27
22.09,-14.92,-15.19,-14.93,-15.18,15.21,15.71,7.14,0.28,0.28,0.26
22.31,-14.78,-15.02,-14.79,-15.02,15.03,15.54,7.32,0.25,0.25,0.23
22.54,-14.66,-14.88,-14.66,-14.87,14.87,15.36,7.51,0.21,0.21,0.21
22.76,-14.53,-14.73,-14.54,-14.73,14.71,15.18,7.70,0.18,0.18,0.19
22.99,-14.41,-14.58,-14.41,-14.58,14.56,15.00,7.89,0.15,0.15,0.16
23.22,-14.29,-14.43,-14.29,-14.42,14.41,14.81,8.09,0.11,0.12,0.13
23.45,-14.15,-14.26,-14.16,-14.27,14.25,14.63,8.29,0.10,0.10,0.10
23.69,-14.02,-14.11,-14.01,-14.10,14.10,14.44,8.50,0.08,0.09,0.09
23.92,-13.87,-13.95,-13.87,-13.94,13.95,14.26,8.71,0.08,0.08,0.07
24.16,-13.72,-13.79,-13.73,-13.79,13.80,14.08,8.93,0.08,0.07,0.06
24.40,-13.60,-13.65,-13.60,-13.64,13.66,13.89,9.16,0.06,0.06,0.04
24.65,-13.48,-13.51,-13.48,-13.51,13.53,13.71,9.39,0.05,0.05,0.02
24.89,-13.38,-13.39,-13.38,-13.39,13.41,13.54,9.62,0.03,0.02,0.00
25.14,-13.29,-13.29,-13.29,-13.28,13.29,13.36,9.86,-0.00,-0.00,-0.01
25.39,-13.20,-13.18,-13.20,-13.18,13.17,13.19,10.10,-0.03,-0.03,-0.03
25.65,-13.11,-13.08,-13.11,-13.07,13.05,13.02,10.35,-0.06,-0.06,-0.04
25.91,-13.01,-12.95,-13.01,-12.96,12.93,12.86,10.60,-0.09,-0.08,-0.07
26.16,-12.90,-12.83,-12.90,-12.82,12.80,12.69,10.86,-0.10,-0.10,-0.08
26.43,-12.78,-12.69,-12.77,-12.68,12.67,12.54,11.12,-0.10,-0.10,-0.09
26.69,-12.63,-12.52,-12.64,-12.53,12.53,12.38,11.37,-0.10,-0.10,-0.12
26.96,-12.50,-12.38,-12.50,-12.38,12.39,12.23,11.63,-0.11,-0.11,-0.13
27.23,-12.37,-12.24,-12.37,-12.24,12.25,12.08,11.89,-0.12,-0.12,-0.14
27.50,-12.25,-12.11,-12.25,-12.10,12.11,11.94,12.15,-0.14,-0.14,-0.15
27.77,-12.13,-11.97,-12.14,-11.97,11.97,11.79,12.40,-0.16,-0.16,-0.17
28.05,-12.02,-11.85,-12.02,-11.84,11.84,11.66,12.65,-0.19,-0.19,-0.18
28.33,-11.91,-11.72,-11.91,-11.72,11.70,11.52,12.89,-0.21,-0.20,-0.20
28.62,-11.80,-11.59,-11.79,-11.58,11.57,11.39,13.12,-0.22,-0.22,-0.21
28.90,-11.67,-11.45,-11.68,-11.45,11.45,11.27,13.34,-0.22,-0.23,-0.23
29.19,-11.56,-11.32,-11.56,-11.32,11.33,11.14,13.54,-0.23,-0.23,-0.25
29.48,-11.44,-11.20,-11.45,-11.20,11.22,11.02,13.72,-0.23,-0.23,-0.25
29.78,-11.34,-11.09,-11.35,-11.09,11.10,10.91,13.88,-0.24,-0.24,-0.26
30.08,-11.25,-10.99,-11.26,-10.99,11.00,10.79,14.01,-0.26,-0.26,-0.27
30.38,-11.18,-10.90,-11.18,-10.90,10.89,10.68,14.12,-0.29,-0.29,-0.29
30.68,-11.10,-10.81,-11.10,-10.80,10.79,10.57,14.20,-0.31,-0.32,-0.30
30.99,-11.02,-10.70,-11.02,-10.70,10.69,10.47,14.25,-0.34,-0.34,-0.33
31.30,-10.93,-10.60,-10.93,-10.59,10.58,10.37,14.26,-0.35,-0.35,-0.34
31.61,-10.82,-10.48,-10.83,-10.48,10.48,10.27,14.24,-0.35,-0.36,-0.35
31.93,-10.73,-10.37,-10.73,-10.36,10.37,10.17,14.19,-0.37,-0.36,-0.37
32.24,-10.64,-10.25,-10.64,-10.25,10.26,10.08,14.11,-0.38,-0.38,-0.40
32.57,-10.55,-10.14,-10.56,-10.14,10.16,9.98,14.01,-0.40,-0.40,-0.42
32.89,-10.48,-10.06,-10.48,-10.05,10.05,9.90,13.87,-0.43,-0.43,-0.43
33.22,-10.40,-9.95,-10.41,-9.96,9.95,9.81,13.72,-0.45,-0.46,-0.46
33.55,-10.34,-9.88,-10.34,-9.87,9.86,9.72,13.54,-0.48,-0.48,-0.47
33.89,-10.27,-9.78,-10.27,-9.77,9.77,9.64,13.35,-0.50,-0.50,-0.50
34.23,-10.19,-9.68,-10.20,-9.68,9.69,9.56,13.14,-0.51,-0.51,-0.52
34.57,-10.12,-9.59,-10.13,-9.59,9.61,9.48,12.93,-0.52,-0.52,-0.54
34.92,-10.07,-9.52,-10.07,-9.52,9.53,9.40,12.70,-0.55,-0.54,-0.56
35.27,-10.02,-9.45,-10.02,-9.45,9.45,9.32,12.47,-0.57,-0.57,-0.58
35.62,-9.97,-9.38,-9.97,-9.38,9.37,9.25,12.23,-0.60,-0.60,-0.60
35.97,-9.92,-9.31,-9.92,-9.30,9.30,9.17,12.00,-0.62,-0.62,-0.62
36.33,-9.85,-9.22,-9.86,-9.22,9.22,9.10,11.76,-0.64,-0.64,-0.64
36.70,-9.79,-9.14,-9.79,-9.14,9.13,9.03,11.52,-0.66,-0.66,-0.66
37.06,-9.72,-9.05,-9.72,-9.05,9.04,8.96,11.29,-0.69,-0.68,-0.68
37.43,-9.64,-8.95,-9.64,-8.94,8.93,8.89,11.05,-0.71,-0.71,-0.70
37.81,-9.55,-8.84,-9.55,-8.83,8.82,8.82,10.82,-0.73,-0.73,-0.72
38.19,-9.45,-8.71,-9.45,-8.71,8.71,8.75,10.60,-0.75,-0.75,-0.75
38.57,-9.35,-8.60,-9.35,-8.59,8.59,8.68,10.38,-0.76,-0.76,-0.76
38.95,-9.24,-8.46,-9.24,-8.46,8.47,8.61,10.16,-0.77,-0.77,-0.79
39.34,-9.14,-8.34,-9.14,-8.34,8.36,8.54,9.95,-0.79,-0.79,-0.81
39.74,-9.05,-8.23,-9.06,-8.23,8.24,8.47,9.74,-0.81,-0.81,-0.83
40.14,-8.97,-8.14,-8.97,-8.14,8.14,8.40,9.54,-0.83,-0.83,-0.84
