frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-10.13,-15.72,-10.13,-15.74,15.74,14.40,6.05,5.61,5.61,5.59
20.20,-10.06,-15.65,-10.06,-15.66,15.66,14.55,6.19,5.60,5.60,5.59
20.40,-9.99,-15.58,-9.98,-15.57,15.57,14.69,6.34,5.58,5.59,5.59
20.61,-9.91,-15.50,-9.91,-15.49,15.49,14.82,6.50,5.58,5.58,5.58
20.81,-9.82,-15.41,-9.83,-15.40,15.40,14.93,6.65,5.58,5.57,5.58
21.02,-9.75,-15.34,-9.75,-15.31,15.31,15.03,6.81,5.56,5.56,5.58
21.23,-9.66,-15.22,-9.67,-15.22,15.22,15.10,6.98,5.56,5.55,5.56
21.44,-9.58,-15.13,-9.59,-15.13,15.13,15.16,7.15,5.55,5.53,5.55
21.66,-9.51,-15.04,-9.51,-15.03,15.03,15.21,7.32,5.52,5.52,5.53
21.87,-9.43,-14.94,-9.43,-14.94,14.94,15.23,7.50,5.51,5.50,5.51
22.09,-9.35,-14.85,-9.35,-14.84,14.84,15.24,7.68,5.49,5.49,5.50
22.31,-9.27,-14.74,-9.27,-14.74,14.74,15.22,7.87,5.47,5.47,5.47
22.54,-9.19,-14.64,-9.18,-14.63,14.63,15.20,8.07,5.44,5.45,5.45
22.76,-9.10,-14.53,-9.10,-14.53,14.53,15.15,8.27,5.43,5.43,5.43
22.99,-9.02,-14.42,-9.01,-14.42,14.42,15.09,8.47,5.40,5.40,5.40
23.22,-8.93,-14.30,-8.93,-14.31,14.31,15.02,8.68,5.38,5.38,5.37
23.45,-8.84,-14.19,-8.84,-14.20,14.20,14.93,8.90,5.36,5.36,5.35
23.69,-8.75,-14.09,-8.75,-14.09,14.09,14.83,9.12,5.34,5.34,5.34
23.92,-8.66,-13.98,-8.67,-13.98,13.98,14.72,9.35,5.32,5.32,5.32
24.16,-8.57,-13.88,-8.58,-13.87,13.87,14.61,9.58,5.30,5.30,5.30
24.40,-8.49,-13.77,-8.49,-13.77,13.77,14.48,9.82,5.28,5.28,5.28
24.65,-8.40,-13.67,-8.40,-13.66,13.66,14.35,10.07,5.25,5.26,5.26
24.89,-8.30,-13.54,-8.31,-13.55,13.55,14.22,10.32,5.25,5.24,5.24
25.14,-8.21,-13.44,-8.21,-13.44,13.44,14.08,10.58,5.23,5.23,5.23
25.39,-8.12,-13.33,-8.12,-13.33,13.33,13.94,10.84,5.21,5.21,5.21
25.65,-8.03,-13.23,-8.03,-13.23,13.23,13.79,11.11,5.19,5.19,5.20
25.91,-7.94,-13.11,-7.94,-13.12,13.12,13.65,11.38,5.17,5.18,5.17
26.16,-7.85,-13.01,-7.85,-13.01,13.01,13.50,11.66,5.16,5.16,5.16
26.43,-7.76,-12.91,-7.76,-12.90,12.90,13.36,11.94,5.14,5.14,5.15
26.69,-7.66,-12.79,-7.66,-12.79,12.79,13.22,12.23,5.13,5.13,5.12
26.96,-7.57,-12.69,-7.57,-12.68,12.68,13.08,12.51,5.11,5.11,5.11
27.23,-7.47,-12.57,-7.48,-12.57,12.57,12.94,12.80,5.10,5.10,5.10
27.50,-7.39,-12.48,-7.38,-12.47,12.47,12.80,13.09,5.07,5.08,5.09
27.77,-7.29,-12.36,-7.29,-12.36,12.36,12.66,13.37,5.07,5.07,5.07
28.05,-7.19,-12.25,-7.20,-12.25,12.25,12.53,13.65,5.06,5.05,5.06
28.33,-7.10,-12.14,-7.10,-12.14,12.14,12.40,13.92,5.04,5.04,5.03
28.62,-7.01,-12.04,-7.01,-12.04,12.04,12.28,14.18,5.02,5.03,5.02
28.90,-6.92,-11.93,-6.92,-11.93,11.93,12.15,14.43,5.01,5.01,5.01
29.19,-6.83,-11.82,-6.83,-11.83,11.83,12.04,14.66,5.00,5.00,4.99
29.48,-6.73,-11.72,-6.74,-11.72,11.72,11.92,14.87,4.99,4.99,4.99
29.78,-6.64,-11.62,-6.65,-11.62,11.62,11.81,15.05,4.98,4.97,4.98
30.08,-6.55,-11.52,-6.56,-11.51,11.51,11.70,15.20,4.96,4.96,4.96
30.38,-6.47,-11.41,-6.47,-11.41,11.41,11.59,15.32,4.94,4.94,4.94
30.68,-6.38,-11.31,-6.38,-11.31,11.31,11.49,15.40,4.93,4.93,4.93
30.99,-6.29,-11.20,-6.30,-11.21,11.21,11.39,15.45,4.91,4.91,4.91
31.30,-6.21,-11.11,-6.21,-11.10,11.10,11.30,15.45,4.89,4.89,4.89
31.61,-6.12,-11.00,-6.13,-11.00,11.00,11.20,15.42,4.88,4.87,4.88
31.93,-6.04,-10.90,-6.04,-10.90,10.90,11.11,15.35,4.86,4.86,4.86
32.24,-5.96,-10.79,-5.96,-10.80,10.80,11.03,15.24,4.84,4.84,4.83
32.57,-5.88,-10.70,-5.88,-10.69,10.69,10.94,15.09,4.81,4.82,4.81
32.89,-5.80,-10.60,-5.80,-10.59,10.59,10.86,14.92,4.79,4.79,4.80
33.22,-5.71,-10.48,-5.71,-10.49,10.49,10.77,14.72,4.78,4.77,4.77
33.55,-5.63,-10.39,-5.63,-10.38,10.38,10.69,14.50,4.75,4.75,4.76
33.89,-5.55,-10.28,-5.55,-10.28,10.28,10.61,14.26,4.73,4.73,4.73
34.23,-5.47,-10.18,-5.47,-10.18,10.18,10.53,14.01,4.71,4.71,4.71
34.57,-5.38,-10.07,-5.39,-10.07,10.07,10.46,13.75,4.69,4.69,4.69
