frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-6.68,-12.53,-6.68,-12.53,12.53,11.03,3.94,5.85,5.85,5.85
20.20,-6.59,-12.44,-6.59,-12.45,12.45,11.22,4.04,5.86,5.86,5.85
20.40,-6.50,-12.35,-6.50,-12.36,12.36,11.39,4.15,5.86,5.86,5.85
20.61,-6.41,-12.27,-6.41,-12.27,12.27,11.56,4.27,5.85,5.85,5.85
20.81,-6.32,-12.17,-6.32,-12.17,12.17,11.71,4.38,5.85,5.85,5.85
21.02,-6.23,-12.08,-6.23,-12.08,12.07,11.84,4.50,5.84,5.84,5.85
21.23,-6.14,-11.97,-6.14,-11.98,11.97,11.96,4.62,5.83,5.83,5.83
21.44,-6.05,-11.87,-6.05,-11.87,11.87,12.06,4.75,5.82,5.82,5.82
21.66,-5.96,-11.77,-5.96,-11.76,11.77,12.15,4.88,5.81,5.81,5.80
21.87,-5.87,-11.65,-5.87,-11.66,11.66,12.21,5.01,5.79,5.79,5.78
22.09,-5.78,-11.55,-5.78,-11.55,11.55,12.24,5.15,5.77,5.77,5.77
22.31,-5.69,-11.43,-5.69,-11.44,11.43,12.26,5.29,5.74,5.74,5.74
22.54,-5.60,-11.33,-5.60,-11.32,11.32,12.25,5.43,5.71,5.72,5.72
22.76,-5.50,-11.20,-5.51,-11.20,11.20,12.22,5.58,5.70,5.69,5.70
22.99,-5.41,-11.08,-5.41,-11.08,11.08,12.17,5.73,5.67,5.67,5.67
23.22,-5.32,-10.96,-5.32,-10.96,10.97,12.09,5.88,5.65,5.65,5.64
23.45,-5.22,-10.83,-5.23,-10.84,10.85,12.00,6.04,5.63,5.63,5.61
23.69,-5.13,-10.74,-5.13,-10.73,10.74,11.88,6.21,5.61,5.61,5.60
23.92,-5.04,-10.62,-5.04,-10.62,10.62,11.75,6.37,5.58,5.59,5.58
24.16,-4.94,-10.51,-4.95,-10.52,10.51,11.61,6.54,5.57,5.57,5.57
24.40,-4.86,-10.41,-4.85,-10.40,10.40,11.45,6.71,5.54,5.55,5.55
24.65,-4.76,-10.30,-4.76,-10.29,10.29,11.27,6.89,5.53,5.53,5.53
24.89,-4.66,-10.17,-4.66,-10.18,10.18,11.09,7.07,5.52,5.52,5.51
25.14,-4.57,-10.07,-4.57,-10.07,10.07,10.90,7.25,5.50,5.50,5.50
25.39,-4.47,-9.95,-4.47,-9.96,9.95,10.71,7.43,5.48,5.48,5.48
25.65,-4.37,-9.84,-4.37,-9.84,9.83,10.51,7.62,5.46,5.46,5.47
25.91,-4.27,-9.72,-4.27,-9.72,9.72,10.30,7.80,5.44,5.45,5.44
26.16,-4.16,-9.59,-4.17,-9.60,9.60,10.09,7.99,5.44,5.43,5.43
26.43,-4.06,-9.49,-4.06,-9.48,9.48,9.88,8.18,5.42,5.42,5.42
26.69,-3.96,-9.35,-3.96,-9.36,9.36,9.67,8.36,5.40,5.41,5.39
26.96,-3.85,-9.24,-3.86,-9.24,9.24,9.46,8.55,5.39,5.39,5.38
27.23,-3.75,-9.13,-3.75,-9.12,9.12,9.25,8.73,5.37,5.37,5.37
27.50,-3.65,-9.01,-3.65,-9.01,9.00,9.05,8.91,5.35,5.35,5.36
27.77,-3.54,-8.88,-3.54,-8.89,8.88,8.84,9.08,5.34,5.34,5.34
28.05,-3.43,-8.76,-3.43,-8.76,8.76,8.64,9.24,5.33,5.33,5.33
28.33,-3.32,-8.63,-3.32,-8.64,8.64,8.44,9.40,5.32,5.32,5.31
28.62,-3.21,-8.52,-3.21,-8.51,8.52,8.24,9.55,5.30,5.30,5.30
28.90,-3.11,-8.39,-3.11,-8.39,8.40,8.05,9.69,5.29,5.29,5.28
29.19,-3.00,-8.26,-3.00,-8.27,8.27,7.86,9.81,5.27,5.27,5.26
29.48,-2.89,-8.15,-2.89,-8.15,8.15,7.67,9.92,5.26,5.26,5.26
29.78,-2.78,-8.04,-2.78,-8.03,8.03,7.49,10.01,5.25,5.25,5.25
30.08,-2.67,-7.92,-2.68,-7.92,7.91,7.31,10.09,5.24,5.24,5.24
30.38,-2.57,-7.80,-2.57,-7.79,7.79,7.13,10.14,5.22,5.22,5.22
30.68,-2.46,-7.67,-2.46,-7.67,7.67,6.96,10.18,5.21,5.21,5.21
30.99,-2.35,-7.54,-2.35,-7.54,7.55,6.79,10.20,5.19,5.19,5.18
31.30,-2.25,-7.43,-2.25,-7.42,7.42,6.63,10.19,5.17,5.17,5.17
31.61,-2.13,-7.29,-2.14,-7.30,7.29,6.46,10.16,5.16,5.16,5.16
31.93,-2.03,-7.18,-2.03,-7.17,7.17,6.31,10.12,5.13,5.14,5.14
32.24,-1.92,-7.03,-1.92,-7.04,7.04,6.15,10.05,5.12,5.12,5.11
32.57,-1.81,-6.91,-1.81,-6.91,6.91,6.00,9.96,5.10,5.10,5.09
32.89,-1.70,-6.78,-1.70,-6.78,6.78,5.86,9.85,5.08,5.08,5.08
33.22,-1.59,-6.64,-1.59,-6.65,6.65,5.71,9.73,5.06,5.06,5.05
33.55,-1.48,-6.52,-1.48,-6.52,6.52,5.58,9.59,5.04,5.04,5.04
33.89,-1.38,-6.39,-1.38,-6.39,6.39,5.44,9.44,5.01,5.01,5.01
34.23,-1.27,-6.26,-1.27,-6.26,6.26,5.31,9.28,4.99,4.99,4.99
34.57,-1.16,-6.13,-1.16,-6.14,6.14,5.18,9.10,4.97,4.97,4.97
34.92,-1.05,-6.01,-1.05,-6.01,6.01,5.05,8.92,4.96,4.95,4.95
35.27,-0.95,-5.89,-0.95,-5.88,5.88,4.93,8.73,4.93,4.93,4.93
35.62,-0.84,-5.75,-0.84,-5.76,5.76,4.81,8.53,4.91,4.91,4.91
35.97,-0.74,-5.63,-0.74,-5.63,5.63,4.69,8.33,4.89,4.89,4.89
36.33,-0.63,-5.50,-0.63,-5.51,5.51,4.57,8.13,4.88,4.87,4.87
36.70,-0.53,-5.38,-0.53,-5.38,5.38,4.46,7.92,4.85,4.85,4.85
37.06,-0.43,-5.26,-0.43,-5.26,5.26,4.35,7.71,4.83,4.83,4.83
37.43,-0.32,-5.13,-0.33,-5.14,5.14,4.25,7.50,4.82,4.81,4.81
37.81,-0.23,-5.02,-0.22,-5.02,5.02,4.14,7.29,4.78,4.79,4.79
38.19,-0.12,-4.88,-0.13,-4.89,4.90,4.04,7.09,4.77,4.77,4.76
38.57,-0.03,-4.78,-0.03,-4.78,4.78,3.94,6.88,4.75,4.75,4.75
38.95,0.07,-4.65,0.07,-4.66,4.66,3.84,6.67,4.73,4.73,4.72
39.34,0.16,-4.54,0.16,-4.54,4.54,3.75,6.47,4.70,4.71,4.70
39.74,0.26,-4.42,0.26,-4.43,4.43,3.66,6.27,4.69,4.68,4.68
40.14,0.35,-4.33,0.35,-4.32,4.32,3.57,6.07,4.66,4.66,4.67
40.54,0.44,-4.21,0.44,-4.21,4.21,3.48,5.88,4.64,4.65,4.65
40.94,0.54,-4.09,0.54,-4.09,4.10,3.39,5.68,4.64,4.63,4.63
41.35,0.63,-3.97,0.63,-3.98,3.99,3.31,5.49,4.62,4.62,4.60
41.76,0.72,-3.88,0.72,-3.88,3.88,3.23,5.31,4.60,4.60,4.60
42.18,0.80,-3.78,0.80,-3.78,3.78,3.15,5.12,4.58,4.58,4.58
42.60,0.89,-3.67,0.89,-3.68,3.67,3.07,4.94,4.56,4.56,4.56
43.03,0.97,-3.58,0.97,-3.58,3.57,2.99,4.76,4.54,4.54,4.55
43.46,1.05,-3.47,1.05,-3.47,3.47,2.92,4.59,4.52,4.52,4.52
43.90,1.14,-3.37,1.14,-3.37,3.37,2.84,4.42,4.51,4.50,4.50
44.33,1.22,-3.26,1.22,-3.27,3.27,2.77,4.25,4.49,4.48,4.48
44.78,1.29,-3.17,1.29,-3.17,3.17,2.70,4.08,4.46,4.46,4.46
45.23,1.37,-3.07,1.37,-3.07,3.07,2.63,3.92,4.44,4.44,4.43
45.68,1.44,-2.97,1.44,-2.98,2.98,2.56,3.76,4.42,4.42,4.41
46.13,1.52,-2.88,1.52,-2.88,2.89,2.50,3.60,4.41,4.41,4.40
46.60,1.60,-2.79,1.60,-2.79,2.79,2.43,3.44,4.39,4.39,4.39
47.06,1.67,-2.70,1.67,-2.70,2.70,2.37,3.29,4.37,4.37,4.37
47.53,1.74,-2.61,1.74,-2.62,2.61,2.31,3.14,4.35,4.35,4.35
48.01,1.81,-2.53,1.81,-2.53,2.52,2.25,2.99,4.33,4.33,4.34
48.49,1.87,-2.44,1.87,-2.44,2.43,2.19,2.85,4.30,4.31,4.31
48.97,1.94,-2.34,1.94,-2.35,2.35,2.13,2.71,4.29,4.28,4.28
49.46,2.00,-2.25,2.00,-2.25,2.26,2.07,2.57,4.26,4.26,4.25
49.96,2.06,-2.16,2.06,-2.17,2.17,2.02,2.43,4.23,4.24,4.22
50.46,2.13,-2.08,2.12,-2.09,2.09,1.96,2.30,4.22,4.21,4.21
50.96,2.18,-2.01,2.18,-2.01,2.01,1.91,2.17,4.19,4.19,4.19
51.47,2.24,-1.92,2.24,-1.93,1.93,1.85,2.04,4.17,4.17,4.16
51.99,2.29,-1.85,2.29,-1.85,1.85,1.80,1.91,4.14,4.14,4.14
52.51,2.35,-1.77,2.35,-1.78,1.77,1.75,1.79,4.12,4.12,4.12
53.03,2.40,-1.70,2.40,-1.70,1.70,1.70,1.66,4.10,4.10,4.10
53.56,2.45,-1.62,2.45,-1.62,1.62,1.65,1.55,4.07,4.08,4.07
54.10,2.51,-1.54,2.50,-1.55,1.55,1.60,1.43,4.06,4.05,4.05
54.64,2.55,-1.47,2.55,-1.47,1.48,1.56,1.32,4.03,4.03,4.02
55.18,2.60,-1.40,2.60,-1.40,1.40,1.51,1.21,4.00,4.00,4.00
55.74,2.64,-1.33,2.64,-1.34,1.33,1.46,1.10,3.97,3.97,3.97
