frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-9.52,-13.37,-9.52,-13.39,13.39,13.09,4.33,3.87,3.87,3.85
20.20,-9.43,-13.28,-9.43,-13.29,13.29,13.01,4.44,3.86,3.86,3.85
20.40,-9.34,-13.18,-9.33,-13.19,13.19,12.92,4.56,3.85,3.86,3.85
20.61,-9.24,-13.09,-9.24,-13.08,13.08,12.82,4.68,3.85,3.85,3.85
20.81,-9.14,-12.98,-9.14,-12.98,12.98,12.73,4.81,3.84,3.84,3.85
21.02,-9.05,-12.90,-9.05,-12.87,12.87,12.63,4.93,3.82,3.83,3.85
21.23,-8.95,-12.78,-8.95,-12.76,12.76,12.52,5.07,3.82,3.81,3.83
21.44,-8.85,-12.66,-8.85,-12.65,12.65,12.42,5.20,3.81,3.80,3.82
21.66,-8.76,-12.56,-8.75,-12.54,12.54,12.31,5.34,3.78,3.79,3.80
21.87,-8.66,-12.43,-8.65,-12.42,12.42,12.20,5.48,3.77,3.77,3.78
22.09,-8.55,-12.31,-8.55,-12.31,12.31,12.09,5.63,3.76,3.76,3.77
22.31,-8.46,-12.19,-8.45,-12.19,12.19,11.97,5.78,3.74,3.74,3.74
22.54,-8.36,-12.08,-8.35,-12.07,12.07,11.85,5.94,3.71,3.72,3.72
22.76,-8.25,-11.94,-8.25,-11.94,11.94,11.74,6.09,3.70,3.69,3.70
22.99,-8.15,-11.82,-8.15,-11.82,11.82,11.62,6.26,3.67,3.67,3.67
23.22,-8.05,-11.69,-8.04,-11.69,11.69,11.50,6.42,3.64,3.65,3.64
23.45,-7.94,-11.54,-7.94,-11.56,11.56,11.37,6.60,3.63,3.63,3.61
23.69,-7.83,-11.43,-7.83,-11.44,11.44,11.25,6.77,3.61,3.61,3.60
23.92,-7.72,-11.29,-7.73,-11.31,11.31,11.13,6.95,3.59,3.59,3.58
24.16,-7.62,-11.18,-7.62,-11.18,11.18,11.00,7.13,3.57,3.57,3.57
24.40,-7.52,-11.06,-7.51,-11.06,11.06,10.88,7.32,3.54,3.55,3.55
24.65,-7.41,-10.94,-7.40,-10.93,10.93,10.75,7.51,3.52,3.53,3.53
24.89,-7.29,-10.80,-7.29,-10.80,10.80,10.63,7.71,3.51,3.51,3.51
25.14,-7.19,-10.68,-7.19,-10.68,10.68,10.50,7.90,3.49,3.49,3.50
25.39,-7.07,-10.55,-7.08,-10.55,10.55,10.38,8.10,3.48,3.48,3.48
25.65,-6.97,-10.44,-6.97,-10.43,10.43,10.25,8.31,3.46,3.46,3.47
25.91,-6.86,-10.30,-6.86,-10.30,10.30,10.13,8.51,3.45,3.45,3.44
26.16,-6.75,-10.17,-6.75,-10.18,10.18,10.00,8.72,3.43,3.43,3.43
26.43,-6.64,-10.06,-6.64,-10.05,10.05,9.88,8.93,3.42,3.41,3.42
