frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-4.03,-8.10,-4.03,-8.09,8.10,7.78,2.72,4.07,4.07,4.07
20.20,-3.97,-8.04,-3.98,-8.04,8.04,7.77,2.80,4.08,4.07,4.07
20.40,-3.93,-8.00,-3.92,-7.99,7.99,7.76,2.88,4.06,4.07,4.07
20.61,-3.87,-7.94,-3.87,-7.94,7.93,7.74,2.96,4.06,4.06,4.07
20.81,-3.81,-7.88,-3.81,-7.88,7.88,7.72,3.04,4.07,4.06,4.07
21.02,-3.76,-7.83,-3.76,-7.82,7.82,7.70,3.13,4.06,4.06,4.07
21.23,-3.70,-7.75,-3.70,-7.76,7.75,7.67,3.22,4.05,4.05,4.05
21.44,-3.66,-7.69,-3.66,-7.69,7.69,7.64,3.31,4.03,4.03,4.04
21.66,-3.61,-7.63,-3.61,-7.62,7.62,7.61,3.40,4.01,4.02,4.02
21.87,-3.56,-7.55,-3.56,-7.56,7.56,7.57,3.50,4.00,4.00,4.00
22.09,-3.50,-7.49,-3.51,-7.49,7.49,7.53,3.60,3.99,3.98,3.99
22.31,-3.46,-7.41,-3.46,-7.42,7.42,7.49,3.70,3.96,3.96,3.96
22.54,-3.42,-7.36,-3.41,-7.35,7.35,7.44,3.81,3.93,3.94,3.94
22.76,-3.36,-7.28,-3.37,-7.28,7.27,7.39,3.91,3.92,3.91,3.92
22.99,-3.32,-7.21,-3.32,-7.21,7.20,7.34,4.02,3.88,3.88,3.89
23.22,-3.28,-7.14,-3.27,-7.13,7.14,7.28,4.14,3.86,3.86,3.86
23.45,-3.23,-7.06,-3.23,-7.06,7.07,7.23,4.25,3.84,3.84,3.83
23.69,-3.18,-7.00,-3.18,-6.99,7.00,7.17,4.37,3.82,3.82,3.82
23.92,-3.14,-6.94,-3.14,-6.93,6.94,7.11,4.49,3.80,3.80,3.80
24.16,-3.09,-6.88,-3.10,-6.88,6.88,7.05,4.61,3.79,3.78,3.79
24.40,-3.06,-6.82,-3.06,-6.82,6.82,6.98,4.74,3.76,3.76,3.77
24.65,-3.02,-6.77,-3.01,-6.76,6.76,6.92,4.86,3.74,3.74,3.75
24.89,-2.97,-6.69,-2.97,-6.70,6.70,6.85,4.99,3.73,3.73,3.73
25.14,-2.93,-6.65,-2.93,-6.64,6.64,6.78,5.12,3.71,3.71,3.72
25.39,-2.89,-6.58,-2.88,-6.58,6.58,6.72,5.25,3.69,3.70,3.70
25.65,-2.84,-6.53,-2.84,-6.52,6.52,6.65,5.38,3.68,3.68,3.69
25.91,-2.80,-6.46,-2.80,-6.46,6.46,6.58,5.51,3.66,3.66,3.66
26.16,-2.76,-6.41,-2.76,-6.41,6.41,6.51,5.64,3.65,3.65,3.65
26.43,-2.72,-6.36,-2.72,-6.35,6.35,6.44,5.77,3.63,3.63,3.64
26.69,-2.68,-6.29,-2.68,-6.29,6.30,6.37,5.90,3.62,3.62,3.61
26.96,-2.64,-6.24,-2.64,-6.24,6.24,6.30,6.03,3.60,3.60,3.60
27.23,-2.60,-6.19,-2.60,-6.19,6.19,6.23,6.15,3.59,3.59,3.59
27.50,-2.57,-6.15,-2.57,-6.14,6.14,6.16,6.27,3.57,3.57,3.58
27.77,-2.53,-6.09,-2.53,-6.09,6.08,6.09,6.39,3.55,3.55,3.56
28.05,-2.49,-6.04,-2.49,-6.03,6.03,6.03,6.50,3.54,3.54,3.55
28.33,-2.45,-5.98,-2.45,-5.98,5.98,5.96,6.61,3.53,3.53,3.53
28.62,-2.41,-5.93,-2.41,-5.93,5.93,5.89,6.71,3.52,3.51,3.52
28.90,-2.38,-5.88,-2.38,-5.87,5.88,5.82,6.80,3.50,3.50,3.50
29.19,-2.34,-5.82,-2.34,-5.82,5.83,5.76,6.89,3.49,3.49,3.48
29.48,-2.30,-5.78,-2.30,-5.77,5.78,5.69,6.96,3.48,3.48,3.48
29.78,-2.26,-5.73,-2.26,-5.73,5.73,5.63,7.03,3.47,3.47,3.47
30.08,-2.22,-5.68,-2.23,-5.68,5.68,5.57,7.09,3.46,3.45,3.46
30.38,-2.20,-5.64,-2.19,-5.63,5.63,5.50,7.13,3.43,3.44,3.44
30.68,-2.16,-5.59,-2.16,-5.58,5.58,5.44,7.17,3.42,3.42,3.43
30.99,-2.12,-5.52,-2.12,-5.53,5.53,5.38,7.19,3.41,3.40,3.40
31.30,-2.09,-5.48,-2.09,-5.47,5.48,5.32,7.20,3.39,3.39,3.39
31.61,-2.05,-5.43,-2.05,-5.42,5.42,5.27,7.20,3.37,3.37,3.38
31.93,-2.02,-5.38,-2.02,-5.37,5.37,5.21,7.19,3.35,3.35,3.36
32.24,-1.99,-5.32,-1.99,-5.32,5.32,5.15,7.16,3.33,3.33,3.33
32.57,-1.95,-5.26,-1.95,-5.26,5.26,5.10,7.13,3.31,3.31,3.31
32.89,-1.92,-5.22,-1.92,-5.21,5.21,5.05,7.08,3.29,3.29,3.30
33.22,-1.88,-5.15,-1.88,-5.16,5.16,5.00,7.02,3.28,3.27,3.27
33.55,-1.86,-5.12,-1.86,-5.11,5.11,4.95,6.96,3.25,3.25,3.26
33.89,-1.83,-5.06,-1.83,-5.05,5.05,4.90,6.88,3.22,3.23,3.23
34.23,-1.80,-5.01,-1.80,-5.01,5.00,4.85,6.80,3.20,3.21,3.21
34.57,-1.76,-4.95,-1.77,-4.95,4.95,4.81,6.71,3.19,3.19,3.19
34.92,-1.74,-4.91,-1.74,-4.90,4.91,4.76,6.62,3.17,3.17,3.17
35.27,-1.71,-4.86,-1.71,-4.86,4.86,4.72,6.52,3.15,3.15,3.15
35.62,-1.69,-4.82,-1.69,-4.81,4.81,4.68,6.42,3.12,3.13,3.13
35.97,-1.66,-4.77,-1.66,-4.77,4.77,4.64,6.31,3.11,3.11,3.11
36.33,-1.64,-4.73,-1.64,-4.73,4.72,4.60,6.20,3.08,3.08,3.09
36.70,-1.62,-4.69,-1.61,-4.68,4.68,4.57,6.09,3.06,3.07,3.07
37.06,-1.59,-4.64,-1.59,-4.64,4.64,4.53,5.97,3.05,3.05,3.05
37.43,-1.57,-4.60,-1.57,-4.59,4.60,4.50,5.86,3.03,3.03,3.03
37.81,-1.55,-4.56,-1.55,-4.55,4.55,4.46,5.75,3.00,3.00,3.01
38.19,-1.53,-4.51,-1.53,-4.51,4.51,4.43,5.63,2.98,2.98,2.98
38.57,-1.52,-4.49,-1.51,-4.47,4.47,4.40,5.52,2.95,2.96,2.97
38.95,-1.49,-4.43,-1.49,-4.43,4.44,4.37,5.41,2.95,2.94,2.94
39.34,-1.48,-4.40,-1.48,-4.40,4.40,4.34,5.30,2.92,2.92,2.92
39.74,-1.46,-4.36,-1.46,-4.36,4.36,4.31,5.19,2.90,2.90,2.90
40.14,-1.45,-4.34,-1.45,-4.33,4.33,4.28,5.08,2.88,2.88,2.89
40.54,-1.43,-4.30,-1.43,-4.29,4.29,4.26,4.98,2.86,2.86,2.87
40.94,-1.41,-4.26,-1.41,-4.26,4.26,4.23,4.88,2.85,2.85,2.85
41.35,-1.40,-4.22,-1.40,-4.22,4.23,4.21,4.78,2.83,2.83,2.82
41.76,-1.38,-4.20,-1.38,-4.19,4.20,4.18,4.68,2.82,2.82,2.82
42.18,-1.37,-4.17,-1.37,-4.17,4.17,4.16,4.59,2.80,2.79,2.80
42.60,-1.36,-4.14,-1.36,-4.14,4.13,4.13,4.50,2.77,2.77,2.78
43.03,-1.35,-4.12,-1.35,-4.11,4.10,4.11,4.41,2.75,2.75,2.77
43.46,-1.33,-4.07,-1.33,-4.07,4.06,4.08,4.33,2.73,2.73,2.74
43.90,-1.31,-4.03,-1.31,-4.03,4.03,4.06,4.25,2.72,2.72,2.72
44.33,-1.29,-3.99,-1.29,-3.99,3.99,4.04,4.17,2.70,2.70,2.70
44.78,-1.28,-3.96,-1.28,-3.95,3.95,4.01,4.09,2.67,2.68,2.68
45.23,-1.26,-3.91,-1.26,-3.91,3.92,3.98,4.02,2.66,2.65,2.65
