frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.82,-7.86,-3.82,-7.86,7.87,7.59,2.98,4.05,4.05,4.04
20.20,-3.81,-7.85,-3.81,-7.85,7.85,7.56,3.07,4.04,4.04,4.04
20.40,-3.80,-7.84,-3.79,-7.84,7.84,7.53,3.15,4.04,4.04,4.04
20.61,-3.78,-7.82,-3.78,-7.82,7.82,7.51,3.24,4.04,4.04,4.04
20.81,-3.76,-7.80,-3.76,-7.80,7.80,7.48,3.33,4.04,4.04,4.04
21.02,-3.74,-7.78,-3.74,-7.77,7.77,7.45,3.43,4.03,4.03,4.04
21.23,-3.72,-7.74,-3.72,-7.75,7.74,7.42,3.52,4.03,4.03,4.02
21.44,-3.70,-7.71,-3.70,-7.71,7.71,7.40,3.63,4.02,4.01,4.01
21.66,-3.69,-7.68,-3.68,-7.68,7.68,7.37,3.73,3.99,4.00,3.99
21.87,-3.67,-7.64,-3.66,-7.64,7.64,7.34,3.83,3.97,3.98,3.97
22.09,-3.64,-7.60,-3.65,-7.60,7.60,7.31,3.94,3.96,3.95,3.96
22.31,-3.63,-7.56,-3.62,-7.56,7.56,7.29,4.05,3.93,3.93,3.93
22.54,-3.61,-7.52,-3.60,-7.52,7.51,7.26,4.17,3.91,3.91,3.91
22.76,-3.58,-7.47,-3.58,-7.47,7.47,7.23,4.29,3.89,3.88,3.89
22.99,-3.56,-7.42,-3.56,-7.42,7.42,7.20,4.41,3.87,3.86,3.86
23.22,-3.55,-7.38,-3.54,-7.37,7.38,7.18,4.53,3.83,3.84,3.83
23.45,-3.52,-7.32,-3.52,-7.33,7.34,7.15,4.66,3.82,3.81,3.80
23.69,-3.50,-7.29,-3.50,-7.29,7.29,7.12,4.78,3.79,3.79,3.79
23.92,-3.48,-7.25,-3.47,-7.25,7.25,7.09,4.92,3.77,3.78,3.77
24.16,-3.45,-7.21,-3.46,-7.21,7.21,7.06,5.05,3.76,3.76,3.76
24.40,-3.44,-7.18,-3.44,-7.18,7.17,7.03,5.19,3.74,3.74,3.74
24.65,-3.42,-7.14,-3.42,-7.14,7.14,7.01,5.32,3.72,3.72,3.72
24.89,-3.40,-7.10,-3.40,-7.10,7.10,6.98,5.46,3.70,3.70,3.70
25.14,-3.37,-7.06,-3.37,-7.06,7.06,6.95,5.61,3.69,3.69,3.69
25.39,-3.35,-7.02,-3.35,-7.02,7.02,6.92,5.75,3.67,3.67,3.67
25.65,-3.33,-6.99,-3.33,-6.98,6.98,6.89,5.90,3.65,3.66,3.66
25.91,-3.30,-6.93,-3.30,-6.94,6.94,6.86,6.04,3.64,3.64,3.63
26.16,-3.28,-6.90,-3.28,-6.90,6.90,6.84,6.18,3.62,3.62,3.62
26.43,-3.25,-6.86,-3.25,-6.86,6.86,6.81,6.33,3.61,3.61,3.61
26.69,-3.23,-6.81,-3.22,-6.81,6.82,6.78,6.47,3.59,3.59,3.58
26.96,-3.20,-6.77,-3.20,-6.77,6.78,6.75,6.62,3.58,3.58,3.57
27.23,-3.17,-6.73,-3.18,-6.74,6.74,6.72,6.75,3.57,3.56,3.56
27.50,-3.16,-6.71,-3.15,-6.70,6.70,6.69,6.89,3.54,3.55,3.55
27.77,-3.13,-6.66,-3.13,-6.66,6.66,6.66,7.02,3.53,3.53,3.53
28.05,-3.10,-6.62,-3.10,-6.62,6.62,6.64,7.15,3.52,3.52,3.52
28.33,-3.08,-6.58,-3.08,-6.58,6.58,6.61,7.27,3.51,3.51,3.50
28.62,-3.06,-6.55,-3.06,-6.55,6.55,6.58,7.39,3.49,3.49,3.49
28.90,-3.04,-6.51,-3.04,-6.51,6.51,6.55,7.49,3.48,3.48,3.47
29.19,-3.02,-6.47,-3.02,-6.47,6.48,6.52,7.59,3.46,3.46,3.45
29.48,-2.99,-6.44,-2.99,-6.44,6.44,6.49,7.67,3.45,3.45,3.45
29.78,-2.97,-6.41,-2.97,-6.41,6.41,6.46,7.76,3.44,3.44,3.44
30.08,-2.95,-6.38,-2.95,-6.38,6.37,6.43,7.82,3.42,3.42,3.43
30.38,-2.93,-6.34,-2.93,-6.34,6.34,6.41,7.88,3.41,3.41,3.41
30.68,-2.91,-6.31,-2.90,-6.30,6.30,6.38,7.91,3.40,3.40,3.40
30.99,-2.88,-6.25,-2.88,-6.26,6.27,6.35,7.95,3.39,3.39,3.37
31.30,-2.87,-6.23,-2.87,-6.23,6.24,6.32,7.96,3.37,3.37,3.36
31.61,-2.86,-6.21,-2.86,-6.20,6.21,6.29,7.97,3.35,3.35,3.35
31.93,-2.85,-6.18,-2.85,-6.18,6.17,6.26,7.95,3.33,3.33,3.33
32.24,-2.84,-6.14,-2.84,-6.15,6.14,6.23,7.93,3.31,3.30,3.30
32.57,-2.83,-6.11,-2.83,-6.12,6.12,6.20,7.89,3.29,3.29,3.28
32.89,-2.83,-6.10,-2.82,-6.09,6.09,6.18,7.85,3.26,3.27,3.27
