frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.77,-1.49,5.77,-1.49,1.49,1.71,0.00,7.26,7.26,7.26
20.20,5.78,-1.48,5.78,-1.48,1.48,1.73,0.01,7.26,7.26,7.26
20.40,5.79,-1.47,5.79,-1.47,1.47,1.74,0.01,7.26,7.26,7.26
20.61,5.81,-1.45,5.81,-1.45,1.45,1.74,0.01,7.26,7.26,7.26
20.81,5.83,-1.43,5.83,-1.43,1.43,1.74,0.01,7.26,7.26,7.26
21.02,5.84,-1.42,5.84,-1.41,1.41,1.74,0.02,7.25,7.25,7.26
21.23,5.86,-1.38,5.86,-1.38,1.38,1.72,0.02,7.24,7.24,7.24
21.44,5.88,-1.35,5.88,-1.35,1.35,1.70,0.02,7.23,7.23,7.23
21.66,5.89,-1.32,5.89,-1.32,1.32,1.67,0.02,7.21,7.21,7.21
21.87,5.91,-1.28,5.91,-1.28,1.28,1.64,0.03,7.19,7.19,7.19
22.09,5.93,-1.25,5.93,-1.24,1.24,1.60,0.03,7.17,7.17,7.18
22.31,5.95,-1.20,5.95,-1.20,1.20,1.56,0.03,7.15,7.15,7.15
22.54,5.97,-1.16,5.97,-1.16,1.15,1.52,0.03,7.13,7.13,7.13
22.76,6.00,-1.11,5.99,-1.11,1.11,1.47,0.04,7.11,7.10,7.11
22.99,6.01,-1.07,6.01,-1.06,1.06,1.42,0.04,7.07,7.08,7.08
23.22,6.03,-1.02,6.04,-1.02,1.02,1.37,0.04,7.05,7.05,7.05
23.45,6.06,-0.96,6.06,-0.97,0.98,1.31,0.05,7.04,7.03,7.02
23.69,6.08,-0.93,6.08,-0.93,0.94,1.26,0.05,7.02,7.02,7.01
23.92,6.10,-0.89,6.10,-0.89,0.90,1.20,0.05,7.00,7.00,6.99
24.16,6.12,-0.86,6.12,-0.86,0.86,1.15,0.06,6.98,6.97,6.98
24.40,6.13,-0.83,6.13,-0.82,0.82,1.10,0.06,6.95,6.95,6.96
24.65,6.15,-0.79,6.15,-0.79,0.78,1.04,0.06,6.93,6.93,6.94
24.89,6.17,-0.75,6.17,-0.75,0.75,0.99,0.07,6.92,6.92,6.92
25.14,6.19,-0.72,6.19,-0.71,0.71,0.94,0.07,6.90,6.91,6.91
25.39,6.22,-0.67,6.22,-0.67,0.67,0.89,0.08,6.90,6.89,6.89
25.65,6.24,-0.64,6.24,-0.63,0.64,0.84,0.08,6.88,6.88,6.88
25.91,6.26,-0.59,6.26,-0.60,0.60,0.79,0.08,6.86,6.86,6.85
26.16,6.28,-0.56,6.28,-0.56,0.56,0.75,0.09,6.84,6.84,6.84
26.43,6.30,-0.53,6.30,-0.52,0.52,0.70,0.09,6.82,6.82,6.83
26.69,6.32,-0.48,6.32,-0.48,0.49,0.66,0.09,6.81,6.81,6.80
26.96,6.34,-0.45,6.34,-0.45,0.45,0.62,0.09,6.79,6.79,6.79
27.23,6.37,-0.41,6.36,-0.41,0.41,0.58,0.10,6.78,6.78,6.78
27.50,6.38,-0.39,6.39,-0.38,0.38,0.54,0.10,6.76,6.76,6.77
27.77,6.41,-0.34,6.41,-0.34,0.34,0.51,0.10,6.75,6.75,6.75
28.05,6.44,-0.30,6.43,-0.30,0.30,0.47,0.10,6.74,6.74,6.74
28.33,6.45,-0.27,6.46,-0.26,0.27,0.44,0.10,6.72,6.72,6.72
28.62,6.48,-0.23,6.48,-0.23,0.23,0.40,0.10,6.71,6.71,6.71
28.90,6.50,-0.19,6.50,-0.19,0.20,0.37,0.10,6.70,6.69,6.69
29.19,6.52,-0.15,6.52,-0.15,0.16,0.34,0.10,6.68,6.68,6.67
29.48,6.54,-0.13,6.55,-0.12,0.12,0.31,0.10,6.67,6.67,6.67
29.78,6.57,-0.09,6.57,-0.09,0.09,0.28,0.10,6.66,6.66,6.66
30.08,6.59,-0.06,6.59,-0.06,0.06,0.26,0.09,6.65,6.64,6.65
30.38,6.60,-0.03,6.61,-0.02,0.02,0.23,0.09,6.62,6.63,6.63
30.68,6.63,0.01,6.63,0.02,-0.01,0.20,0.09,6.62,6.62,6.62
30.99,6.66,0.07,6.65,0.06,-0.05,0.18,0.08,6.61,6.60,6.59
31.30,6.67,0.09,6.68,0.09,-0.09,0.15,0.08,6.58,6.59,6.58
31.61,6.70,0.13,6.69,0.13,-0.13,0.13,0.07,6.57,6.56,6.57
31.93,6.71,0.16,6.71,0.17,-0.17,0.11,0.06,6.54,6.54,6.55
32.24,6.73,0.21,6.74,0.21,-0.22,0.08,0.05,6.52,6.52,6.52
32.57,6.77,0.27,6.76,0.26,-0.26,0.06,0.05,6.51,6.50,6.50
32.89,6.79,0.30,6.80,0.31,-0.31,0.04,0.04,6.48,6.49,6.49
33.22,6.83,0.37,6.83,0.36,-0.36,0.02,0.03,6.47,6.47,6.46
33.55,6.86,0.41,6.86,0.41,-0.42,0.00,0.01,6.44,6.44,6.45
33.89,6.89,0.47,6.90,0.47,-0.48,-0.02,0.00,6.41,6.42,6.42
34.23,6.93,0.53,6.93,0.53,-0.54,-0.04,-0.01,6.39,6.40,6.40
34.57,6.98,0.60,6.98,0.60,-0.60,-0.06,-0.02,6.38,6.38,6.38
34.92,7.02,0.66,7.02,0.66,-0.66,-0.08,-0.04,6.36,6.36,6.36
35.27,7.06,0.72,7.06,0.72,-0.72,-0.10,-0.05,6.34,6.34,6.34
35.62,7.10,0.78,7.10,0.78,-0.78,-0.11,-0.07,6.32,6.32,6.32
35.97,7.14,0.84,7.14,0.84,-0.84,-0.13,-0.08,6.30,6.30,6.30
36.33,7.18,0.90,7.17,0.89,-0.89,-0.15,-0.10,6.29,6.28,6.28
36.70,7.20,0.94,7.21,0.95,-0.95,-0.17,-0.12,6.26,6.26,6.26
37.06,7.23,0.99,7.23,0.99,-0.99,-0.18,-0.13,6.24,6.24,6.24
37.43,7.26,1.04,7.26,1.04,-1.04,-0.20,-0.15,6.22,6.22,6.22
37.81,7.27,1.07,7.27,1.08,-1.08,-0.22,-0.17,6.19,6.20,6.20
38.19,7.29,1.12,7.29,1.11,-1.11,-0.24,-0.19,6.18,6.18,6.17
38.57,7.29,1.13,7.29,1.14,-1.14,-0.25,-0.21,6.15,6.16,6.16
38.95,7.30,1.17,7.30,1.17,-1.16,-0.27,-0.23,6.14,6.14,6.13
39.34,7.30,1.19,7.30,1.19,-1.18,-0.29,-0.25,6.12,6.11,6.11
39.74,7.29,1.20,7.29,1.20,-1.20,-0.30,-0.27,6.09,6.09,6.09
40.14,7.28,1.20,7.28,1.20,-1.21,-0.32,-0.29,6.07,6.07,6.08
40.54,7.27,1.21,7.27,1.21,-1.22,-0.34,-0.31,6.05,6.05,6.06
40.94,7.26,1.22,7.26,1.22,-1.22,-0.35,-0.33,6.04,6.04,6.04
41.35,7.24,1.23,7.24,1.22,-1.22,-0.37,-0.35,6.02,6.02,6.01
41.76,7.23,1.22,7.23,1.22,-1.22,-0.39,-0.38,6.01,6.01,6.01
42.18,7.20,1.21,7.20,1.21,-1.21,-0.40,-0.40,5.99,5.99,5.99
42.60,7.18,1.21,7.18,1.20,-1.21,-0.42,-0.42,5.97,5.97,5.97
43.03,7.15,1.19,7.15,1.20,-1.20,-0.44,-0.44,5.95,5.95,5.96
43.46,7.12,1.19,7.13,1.19,-1.20,-0.45,-0.47,5.93,5.93,5.93
43.90,7.10,1.19,7.10,1.18,-1.19,-0.47,-0.49,5.91,5.91,5.91
44.33,7.07,1.18,7.07,1.18,-1.18,-0.49,-0.52,5.89,5.89,5.89
44.78,7.03,1.16,7.04,1.17,-1.17,-0.50,-0.54,5.86,5.87,5.87
45.23,7.01,1.17,7.01,1.16,-1.16,-0.52,-0.57,5.85,5.85,5.84
45.68,6.98,1.16,6.98,1.15,-1.15,-0.54,-0.59,5.83,5.83,5.82
46.13,6.95,1.14,6.95,1.14,-1.14,-0.56,-0.62,5.81,5.81,5.81
46.60,6.92,1.12,6.92,1.13,-1.13,-0.57,-0.64,5.79,5.80,5.80
47.06,6.90,1.12,6.90,1.12,-1.12,-0.59,-0.67,5.78,5.78,5.78
47.53,6.87,1.11,6.87,1.10,-1.11,-0.61,-0.70,5.76,5.76,5.76
48.01,6.84,1.09,6.84,1.10,-1.10,-0.63,-0.72,5.74,5.74,5.75
48.49,6.81,1.09,6.81,1.09,-1.10,-0.65,-0.75,5.71,5.71,5.72
48.97,6.79,1.10,6.79,1.10,-1.10,-0.67,-0.78,5.69,5.69,5.69
49.46,6.76,1.10,6.76,1.10,-1.10,-0.68,-0.81,5.67,5.67,5.66
