frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.33,0.41,6.33,0.42,-0.41,-0.26,-0.38,5.92,5.92,5.92
20.20,6.34,0.42,6.34,0.42,-0.42,-0.27,-0.39,5.92,5.92,5.92
20.40,6.34,0.42,6.34,0.42,-0.43,-0.28,-0.41,5.91,5.91,5.92
20.61,6.35,0.43,6.35,0.43,-0.44,-0.28,-0.42,5.91,5.91,5.92
20.81,6.36,0.44,6.36,0.44,-0.45,-0.29,-0.43,5.91,5.91,5.92
21.02,6.37,0.45,6.37,0.46,-0.47,-0.29,-0.45,5.90,5.91,5.92
21.23,6.38,0.48,6.38,0.48,-0.48,-0.30,-0.46,5.90,5.90,5.90
21.44,6.38,0.49,6.38,0.50,-0.49,-0.31,-0.48,5.89,5.89,5.89
21.66,6.38,0.51,6.38,0.52,-0.51,-0.31,-0.49,5.87,5.87,5.87
21.87,6.38,0.53,6.38,0.53,-0.53,-0.32,-0.51,5.85,5.85,5.85
22.09,6.38,0.54,6.38,0.55,-0.55,-0.33,-0.52,5.83,5.83,5.84
22.31,6.37,0.56,6.37,0.56,-0.56,-0.33,-0.54,5.81,5.81,5.81
22.54,6.36,0.57,6.36,0.58,-0.58,-0.34,-0.56,5.78,5.78,5.79
22.76,6.36,0.59,6.36,0.59,-0.60,-0.35,-0.57,5.76,5.75,5.77
22.99,6.35,0.61,6.35,0.62,-0.62,-0.36,-0.59,5.73,5.73,5.74
23.22,6.34,0.63,6.34,0.64,-0.63,-0.36,-0.61,5.71,5.71,5.71
23.45,6.34,0.66,6.34,0.66,-0.65,-0.37,-0.63,5.69,5.69,5.68
23.69,6.33,0.66,6.33,0.67,-0.66,-0.38,-0.65,5.67,5.67,5.67
23.92,6.33,0.68,6.33,0.68,-0.67,-0.39,-0.67,5.66,5.65,5.65
24.16,6.32,0.68,6.32,0.68,-0.68,-0.40,-0.69,5.64,5.63,5.64
24.40,6.30,0.68,6.30,0.69,-0.69,-0.41,-0.71,5.61,5.61,5.62
24.65,6.29,0.69,6.29,0.69,-0.70,-0.41,-0.73,5.59,5.59,5.60
24.89,6.28,0.70,6.28,0.70,-0.70,-0.42,-0.75,5.58,5.58,5.58
25.14,6.27,0.70,6.27,0.71,-0.71,-0.43,-0.77,5.56,5.56,5.57
25.39,6.26,0.71,6.26,0.71,-0.71,-0.44,-0.79,5.55,5.55,5.55
25.65,6.25,0.71,6.25,0.72,-0.72,-0.45,-0.81,5.53,5.53,5.54
25.91,6.24,0.73,6.24,0.73,-0.73,-0.46,-0.83,5.51,5.51,5.51
26.16,6.23,0.73,6.23,0.73,-0.73,-0.47,-0.86,5.50,5.50,5.50
26.43,6.21,0.72,6.21,0.74,-0.74,-0.48,-0.88,5.47,5.48,5.49
26.69,6.20,0.74,6.20,0.74,-0.74,-0.49,-0.90,5.46,5.46,5.46
26.96,6.19,0.74,6.19,0.74,-0.74,-0.50,-0.92,5.45,5.45,5.45
27.23,6.18,0.74,6.18,0.74,-0.74,-0.51,-0.94,5.44,5.44,5.44
27.50,6.16,0.73,6.16,0.74,-0.74,-0.52,-0.96,5.42,5.42,5.43
27.77,6.14,0.73,6.14,0.74,-0.74,-0.54,-0.98,5.40,5.40,5.41
28.05,6.13,0.73,6.13,0.73,-0.74,-0.55,-1.00,5.39,5.39,5.40
28.33,6.11,0.73,6.11,0.73,-0.74,-0.56,-1.02,5.37,5.38,5.38
28.62,6.10,0.73,6.10,0.74,-0.73,-0.57,-1.04,5.37,5.36,5.37
28.90,6.08,0.73,6.08,0.73,-0.73,-0.59,-1.06,5.35,5.35,5.35
29.19,6.06,0.73,6.06,0.73,-0.73,-0.60,-1.08,5.33,5.34,5.33
29.48,6.05,0.72,6.05,0.73,-0.73,-0.61,-1.09,5.32,5.32,5.33
29.78,6.04,0.72,6.04,0.72,-0.72,-0.63,-1.11,5.32,5.31,5.32
30.08,6.02,0.71,6.02,0.72,-0.72,-0.64,-1.12,5.30,5.30,5.31
30.38,6.00,0.71,6.00,0.72,-0.72,-0.65,-1.14,5.28,5.28,5.29
30.68,5.99,0.71,5.99,0.72,-0.72,-0.67,-1.15,5.27,5.27,5.28
30.99,5.98,0.73,5.98,0.72,-0.72,-0.69,-1.16,5.26,5.25,5.25
31.30,5.96,0.72,5.96,0.73,-0.72,-0.70,-1.17,5.24,5.24,5.24
31.61,5.95,0.72,5.95,0.73,-0.73,-0.72,-1.18,5.22,5.22,5.23
31.93,5.94,0.73,5.94,0.73,-0.74,-0.73,-1.19,5.20,5.20,5.21
32.24,5.92,0.74,5.92,0.74,-0.74,-0.75,-1.19,5.18,5.18,5.18
32.57,5.91,0.75,5.91,0.75,-0.75,-0.77,-1.20,5.16,5.16,5.16
32.89,5.90,0.75,5.90,0.76,-0.76,-0.79,-1.20,5.14,5.14,5.15
33.22,5.89,0.77,5.89,0.77,-0.77,-0.81,-1.21,5.12,5.12,5.12
33.55,5.88,0.77,5.88,0.78,-0.78,-0.83,-1.21,5.10,5.10,5.11
33.89,5.88,0.80,5.88,0.80,-0.80,-0.85,-1.21,5.08,5.08,5.08
34.23,5.87,0.81,5.87,0.82,-0.81,-0.87,-1.21,5.06,5.06,5.06
34.57,5.87,0.83,5.87,0.83,-0.83,-0.89,-1.21,5.04,5.04,5.04
34.92,5.87,0.85,5.87,0.85,-0.85,-0.92,-1.21,5.02,5.01,5.02
35.27,5.87,0.87,5.87,0.88,-0.88,-0.94,-1.21,4.99,4.99,5.00
35.62,5.88,0.90,5.88,0.91,-0.90,-0.97,-1.21,4.98,4.98,4.98
35.97,5.89,0.94,5.89,0.93,-0.93,-0.99,-1.21,4.96,4.96,4.96
36.33,5.91,0.97,5.90,0.97,-0.97,-1.02,-1.21,4.94,4.94,4.94
36.70,5.91,0.99,5.92,1.00,-1.00,-1.05,-1.21,4.91,4.91,4.92
37.06,5.94,1.05,5.94,1.04,-1.05,-1.08,-1.21,4.89,4.89,4.90
37.43,5.97,1.10,5.96,1.09,-1.09,-1.11,-1.20,4.88,4.87,4.88
37.81,5.99,1.13,6.00,1.14,-1.14,-1.14,-1.20,4.85,4.85,4.86
38.19,6.03,1.20,6.03,1.19,-1.20,-1.18,-1.20,4.83,4.83,4.83
38.57,6.06,1.24,6.06,1.25,-1.25,-1.21,-1.20,4.81,4.81,4.82
38.95,6.10,1.32,6.10,1.32,-1.31,-1.25,-1.20,4.79,4.79,4.79
39.34,6.15,1.39,6.15,1.38,-1.38,-1.29,-1.20,4.77,4.77,4.77
39.74,6.19,1.44,6.19,1.44,-1.44,-1.33,-1.20,4.75,4.75,4.75
40.14,6.24,1.50,6.24,1.51,-1.51,-1.38,-1.20,4.73,4.73,4.74
40.54,6.29,1.57,6.29,1.58,-1.58,-1.42,-1.20,4.71,4.71,4.72
40.94,6.35,1.66,6.35,1.65,-1.65,-1.47,-1.21,4.70,4.69,4.70
41.35,6.40,1.73,6.41,1.73,-1.73,-1.52,-1.21,4.67,4.68,4.67
41.76,6.47,1.81,6.46,1.81,-1.80,-1.57,-1.21,4.67,4.66,4.67
42.18,6.52,1.88,6.52,1.87,-1.87,-1.63,-1.22,4.65,4.64,4.65
42.60,6.57,1.95,6.57,1.94,-1.95,-1.68,-1.22,4.62,4.62,4.63
43.03,6.62,2.00,6.62,2.02,-2.02,-1.74,-1.23,4.60,4.60,4.62
43.46,6.68,2.09,6.68,2.09,-2.09,-1.80,-1.23,4.59,4.59,4.59
43.90,6.73,2.16,6.73,2.16,-2.16,-1.86,-1.24,4.57,4.57,4.57
44.33,6.77,2.23,6.77,2.23,-2.22,-1.92,-1.25,4.55,4.55,4.55
44.78,6.80,2.27,6.81,2.28,-2.28,-1.98,-1.26,4.52,4.53,4.53
45.23,6.84,2.34,6.84,2.34,-2.33,-2.03,-1.27,4.51,4.50,4.50
45.68,6.86,2.38,6.86,2.38,-2.38,-2.09,-1.28,4.48,4.48,4.48
46.13,6.88,2.41,6.88,2.42,-2.41,-2.14,-1.29,4.47,4.47,4.47
46.60,6.89,2.43,6.89,2.44,-2.44,-2.18,-1.31,4.45,4.45,4.46
47.06,6.90,2.46,6.90,2.46,-2.47,-2.22,-1.32,4.43,4.43,4.44
47.53,6.90,2.48,6.90,2.48,-2.48,-2.25,-1.34,4.42,4.42,4.42
48.01,6.89,2.48,6.89,2.49,-2.49,-2.28,-1.35,4.40,4.40,4.41
48.49,6.87,2.49,6.87,2.49,-2.50,-2.29,-1.37,4.37,4.37,4.38
48.97,6.84,2.49,6.84,2.50,-2.50,-2.30,-1.38,4.34,4.35,4.35
49.46,6.81,2.49,6.81,2.49,-2.49,-2.30,-1.40,4.32,4.32,4.32
49.96,6.77,2.48,6.77,2.48,-2.47,-2.29,-1.42,4.30,4.30,4.29
50.46,6.73,2.45,6.73,2.46,-2.45,-2.28,-1.44,4.28,4.28,4.28
50.96,6.68,2.42,6.68,2.43,-2.43,-2.26,-1.46,4.25,4.25,4.26
51.47,6.63,2.40,6.63,2.40,-2.40,-2.23,-1.48,4.23,4.23,4.23
51.99,6.56,2.36,6.56,2.36,-2.36,-2.21,-1.50,4.20,4.21,4.21
52.51,6.50,2.31,6.50,2.31,-2.32,-2.18,-1.52,4.18,4.18,4.19
53.03,6.43,2.26,6.43,2.27,-2.27,-2.14,-1.54,4.16,4.16,4.17
53.56,6.36,2.22,6.36,2.23,-2.23,-2.11,-1.56,4.13,4.14,4.14
54.10,6.30,2.18,6.29,2.18,-2.18,-2.07,-1.59,4.13,4.11,4.12
54.64,6.21,2.12,6.22,2.13,-2.12,-2.04,-1.61,4.09,4.09,4.09
55.18,6.13,2.06,6.13,2.07,-2.07,-2.00,-1.63,4.06,4.06,4.07
55.74,6.06,2.02,6.05,2.02,-2.02,-1.97,-1.65,4.04,4.03,4.04
56.29,5.97,1.95,5.98,1.96,-1.96,-1.94,-1.67,4.01,4.01,4.02
56.86,5.90,1.91,5.90,1.91,-1.91,-1.90,-1.70,3.99,3.99,3.99
57.42,5.82,1.85,5.82,1.85,-1.85,-1.87,-1.72,3.97,3.97,3.97
58.00,5.74,1.79,5.74,1.80,-1.80,-1.84,-1.74,3.94,3.95,3.95
58.58,5.66,1.74,5.66,1.74,-1.74,-1.80,-1.76,3.92,3.92,3.92
59.16,5.59,1.69,5.59,1.69,-1.69,-1.77,-1.78,3.90,3.89,3.90
59.76,5.51,1.64,5.51,1.64,-1.64,-1.74,-1.80,3.87,3.87,3.88
60.35,5.44,1.59,5.44,1.59,-1.60,-1.71,-1.82,3.84,3.84,3.85
60.96,5.37,1.54,5.37,1.55,-1.56,-1.67,-1.84,3.81,3.81,3.83
61.57,5.31,1.52,5.31,1.52,-1.52,-1.64,-1.85,3.79,3.79,3.79
62.18,5.25,1.49,5.25,1.49,-1.49,-1.61,-1.87,3.76,3.76,3.76
62.80,5.19,1.46,5.19,1.46,-1.46,-1.57,-1.89,3.73,3.73,3.73
63.43,5.13,1.43,5.13,1.44,-1.43,-1.54,-1.90,3.70,3.70,3.70
64.07,5.07,1.40,5.08,1.41,-1.40,-1.50,-1.92,3.67,3.67,3.67
64.71,5.03,1.38,5.02,1.38,-1.38,-1.47,-1.93,3.65,3.64,3.65
65.35,4.98,1.35,4.98,1.36,-1.36,-1.43,-1.95,3.62,3.62,3.63
66.01,4.94,1.33,4.94,1.34,-1.35,-1.40,-1.96,3.59,3.60,3.61
66.67,4.91,1.33,4.91,1.33,-1.33,-1.37,-1.97,3.58,3.58,3.58
67.33,4.89,1.33,4.88,1.33,-1.33,-1.34,-1.99,3.56,3.56,3.56
68.01,4.85,1.32,4.86,1.33,-1.32,-1.31,-2.00,3.53,3.53,3.53
68.69,4.83,1.32,4.83,1.33,-1.33,-1.29,-2.01,3.50,3.50,3.51
69.37,4.81,1.33,4.81,1.33,-1.33,-1.28,-2.02,3.48,3.48,3.48
70.07,4.79,1.34,4.79,1.34,-1.34,-1.27,-2.04,3.45,3.45,3.45
70.77,4.78,1.35,4.78,1.36,-1.36,-1.27,-2.05,3.42,3.42,3.43
71.48,4.77,1.37,4.77,1.38,-1.38,-1.28,-2.06,3.39,3.39,3.40
72.19,4.76,1.39,4.76,1.40,-1.40,-1.30,-2.08,3.36,3.36,3.37
72.91,4.76,1.43,4.76,1.42,-1.43,-1.33,-2.09,3.33,3.33,3.33
73.64,4.75,1.45,4.75,1.46,-1.46,-1.37,-2.11,3.29,3.29,3.30
74.38,4.75,1.48,4.75,1.50,-1.49,-1.41,-2.13,3.26,3.26,3.27
75.12,4.76,1.54,4.76,1.53,-1.53,-1.47,-2.14,3.23,3.22,3.22
75.87,4.76,1.57,4.76,1.57,-1.57,-1.53,-2.16,3.19,3.19,3.19
76.63,4.77,1.61,4.77,1.62,-1.62,-1.59,-2.18,3.15,3.15,3.16
77.40,4.77,1.65,4.77,1.66,-1.66,-1.66,-2.20,3.11,3.11,3.12
78.17,4.78,1.72,4.78,1.71,-1.71,-1.73,-2.23,3.07,3.07,3.06
78.95,4.79,1.75,4.79,1.76,-1.76,-1.81,-2.25,3.03,3.03,3.04
79.74,4.80,1.80,4.80,1.81,-1.81,-1.88,-2.28,2.99,2.99,3.00
80.54,4.81,1.86,4.81,1.86,-1.87,-1.96,-2.30,2.94,2.94,2.95
81.35,4.83,1.92,4.83,1.92,-1.93,-2.03,-2.33,2.90,2.90,2.91
82.16,4.85,1.99,4.85,1.99,-1.99,-2.10,-2.37,2.86,2.86,2.86
82.98,4.86,2.04,4.86,2.05,-2.05,-2.18,-2.40,2.81,2.82,2.82
83.81,4.88,2.12,4.87,2.11,-2.11,-2.25,-2.43,2.77,2.77,2.76
84.65,4.88,2.16,4.89,2.17,-2.17,-2.31,-2.47,2.71,2.72,2.72
85.50,4.90,2.22,4.90,2.23,-2.23,-2.38,-2.51,2.67,2.67,2.68
86.35,4.92,2.29,4.92,2.29,-2.30,-2.44,-2.55,2.62,2.62,2.63
87.22,4.93,2.35,4.93,2.36,-2.36,-2.50,-2.59,2.57,2.57,2.58
88.09,4.95,2.43,4.95,2.42,-2.42,-2.56,-2.64,2.53,2.53,2.52
88.97,4.96,2.48,4.96,2.49,-2.49,-2.62,-2.68,2.47,2.47,2.48
89.86,4.97,2.54,4.97,2.55,-2.55,-2.68,-2.73,2.42,2.42,2.43
90.76,4.98,2.61,4.98,2.61,-2.61,-2.73,-2.78,2.37,2.37,2.37
91.66,4.99,2.67,4.99,2.68,-2.67,-2.78,-2.84,2.32,2.32,2.32
92.58,5.00,2.74,5.00,2.74,-2.74,-2.83,-2.89,2.26,2.26,2.26
93.51,5.01,2.79,5.01,2.80,-2.80,-2.88,-2.95,2.21,2.21,2.22
94.44,5.02,2.85,5.02,2.86,-2.86,-2.93,-3.01,2.16,2.16,2.17
95.39,5.03,2.92,5.03,2.92,-2.93,-2.97,-3.07,2.10,2.10,2.11
96.34,5.03,2.99,5.03,2.99,-2.99,-3.02,-3.13,2.04,2.04,2.04
97.30,5.03,3.04,5.03,3.05,-3.05,-3.06,-3.19,1.98,1.98,1.99
98.28,5.04,3.11,5.04,3.12,-3.12,-3.10,-3.26,1.92,1.92,1.93
99.26,5.04,3.18,5.04,3.18,-3.18,-3.15,-3.32,1.86,1.86,1.86
100.25,5.04,3.23,5.04,3.24,-3.24,-3.19,-3.39,1.80,1.80,1.81
101.25,5.04,3.29,5.04,3.30,-3.30,-3.22,-3.46,1.74,1.74,1.75
102.27,5.03,3.35,5.03,3.35,-3.35,-3.26,-3.53,1.68,1.68,1.68
103.29,5.02,3.41,5.02,3.41,-3.40,-3.30,-3.60,1.62,1.62,1.61
104.32,5.01,3.45,5.01,3.46,-3.46,-3.33,-3.67,1.55,1.55,1.56
105.37,5.00,3.50,4.99,3.50,-3.51,-3.37,-3.74,1.49,1.49,1.50
106.42,4.97,3.54,4.98,3.55,-3.56,-3.40,-3.81,1.41,1.42,1.43
107.48,4.96,3.60,4.96,3.60,-3.60,-3.44,-3.87,1.36,1.36,1.36
108.56,4.94,3.65,4.94,3.65,-3.65,-3.47,-3.94,1.29,1.29,1.29
109.64,4.92,3.69,4.92,3.70,-3.69,-3.50,-4.01,1.23,1.23,1.23
110.74,4.90,3.73,4.90,3.74,-3.74,-3.53,-4.07,1.16,1.16,1.17
111.85,4.88,3.78,4.88,3.78,-3.79,-3.56,-4.13,1.09,1.09,1.10
112.97,4.85,3.83,4.85,3.83,-3.83,-3.59,-4.19,1.02,1.02,1.02
114.10,4.82,3.86,4.83,3.87,-3.88,-3.62,-4.25,0.94,0.95,0.96
115.24,4.81,3.92,4.81,3.92,-3.92,-3.65,-4.30,0.89,0.88,0.89
116.39,4.79,3.97,4.79,3.97,-3.97,-3.68,-4.35,0.82,0.82,0.82
117.55,4.77,4.02,4.77,4.02,-4.01,-3.70,-4.39,0.76,0.75,0.75
118.73,4.74,4.05,4.74,4.06,-4.06,-3.73,-4.43,0.68,0.69,0.69
119.92,4.72,4.09,4.72,4.10,-4.10,-3.76,-4.47,0.62,0.62,0.63
121.12,4.70,4.13,4.70,4.14,-4.14,-3.78,-4.49,0.56,0.56,0.57
122.33,4.68,4.18,4.68,4.18,-4.18,-3.80,-4.52,0.50,0.50,0.50
123.55,4.66,4.21,4.66,4.22,-4.22,-3.83,-4.54,0.44,0.44,0.45
124.79,4.64,4.25,4.64,4.25,-4.25,-3.85,-4.55,0.39,0.38,0.39
126.03,4.62,4.28,4.62,4.29,-4.29,-3.87,-4.55,0.33,0.33,0.34
127.29,4.59,4.31,4.59,4.32,-4.32,-3.89,-4.56,0.27,0.27,0.28
128.57,4.57,4.36,4.57,4.35,-4.35,-3.91,-4.55,0.22,0.21,0.21
129.85,4.54,4.38,4.54,4.38,-4.38,-3.93,-4.54,0.16,0.16,0.16
131.15,4.50,4.39,4.50,4.40,-4.40,-3.95,-4.53,0.10,0.11,0.11
132.46,4.47,4.42,4.47,4.42,-4.41,-3.96,-4.51,0.06,0.05,0.05
133.79,4.43,4.42,4.43,4.43,-4.43,-3.98,-4.48,0.00,0.00,0.01
135.12,4.39,4.44,4.39,4.43,-4.43,-4.00,-4.45,-0.04,-0.04,-0.05
136.48,4.34,4.42,4.34,4.43,-4.43,-4.01,-4.42,-0.09,-0.09,-0.08
137.84,4.30,4.42,4.30,4.43,-4.43,-4.02,-4.38,-0.13,-0.13,-0.12
139.22,4.26,4.43,4.26,4.43,-4.43,-4.04,-4.34,-0.17,-0.17,-0.17
140.61,4.22,4.43,4.22,4.43,-4.43,-4.05,-4.30,-0.21,-0.21,-0.21
142.02,4.19,4.42,4.18,4.42,-4.42,-4.06,-4.26,-0.23,-0.24,-0.23
143.44,4.14,4.40,4.15,4.42,-4.42,-4.07,-4.21,-0.28,-0.27,-0.26
144.87,4.11,4.41,4.11,4.41,-4.42,-4.08,-4.16,-0.31,-0.31,-0.30
146.32,4.08,4.41,4.08,4.41,-4.41,-4.09,-4.11,-0.33,-0.33,-0.33
147.78,4.05,4.40,4.05,4.41,-4.41,-4.10,-4.06,-0.36,-0.36,-0.35
149.26,4.02,4.40,4.02,4.40,-4.40,-4.10,-4.02,-0.38,-0.39,-0.38
150.75,3.98,4.40,3.98,4.40,-4.40,-4.11,-3.97,-0.42,-0.41,-0.42
152.26,3.95,4.39,3.95,4.40,-4.39,-4.11,-3.92,-0.44,-0.44,-0.44
153.78,3.92,4.39,3.92,4.39,-4.39,-4.12,-3.87,-0.47,-0.47,-0.47
155.32,3.88,4.37,3.88,4.38,-4.38,-4.12,-3.82,-0.50,-0.50,-0.49
156.88,3.84,4.36,3.84,4.37,-4.37,-4.12,-3.78,-0.53,-0.53,-0.52
158.44,3.80,4.35,3.80,4.36,-4.36,-4.12,-3.73,-0.56,-0.56,-0.55
