frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,13.78,7.51,13.78,7.51,-7.51,-6.68,-2.77,6.28,6.28,6.27
20.20,13.74,7.47,13.74,7.47,-7.47,-6.68,-2.85,6.27,6.27,6.27
20.40,13.70,7.43,13.70,7.43,-7.43,-6.68,-2.93,6.27,6.27,6.27
20.61,13.67,7.40,13.67,7.39,-7.40,-6.68,-3.01,6.27,6.27,6.27
20.81,13.63,7.36,13.63,7.36,-7.37,-6.67,-3.10,6.26,6.26,6.27
21.02,13.59,7.32,13.60,7.33,-7.34,-6.67,-3.19,6.25,6.26,6.27
21.23,13.57,7.32,13.56,7.31,-7.31,-6.67,-3.28,6.26,6.25,6.25
21.44,13.53,7.29,13.53,7.29,-7.29,-6.67,-3.37,6.24,6.24,6.24
21.66,13.49,7.27,13.49,7.27,-7.27,-6.67,-3.47,6.22,6.22,6.22
21.87,13.45,7.25,13.46,7.25,-7.25,-6.67,-3.57,6.20,6.20,6.20
22.09,13.43,7.24,13.42,7.24,-7.24,-6.67,-3.67,6.19,6.18,6.19
22.31,13.39,7.23,13.39,7.23,-7.23,-6.67,-3.77,6.16,6.16,6.16
22.54,13.35,7.21,13.36,7.21,-7.22,-6.67,-3.88,6.14,6.14,6.14
22.76,13.32,7.20,13.31,7.20,-7.20,-6.67,-3.99,6.12,6.11,6.12
22.99,13.27,7.18,13.28,7.19,-7.19,-6.66,-4.10,6.08,6.09,6.09
23.22,13.23,7.17,13.24,7.17,-7.17,-6.66,-4.22,6.06,6.07,6.06
23.45,13.20,7.17,13.19,7.16,-7.15,-6.65,-4.34,6.05,6.04,6.03
23.69,13.15,7.13,13.16,7.14,-7.13,-6.64,-4.46,6.02,6.02,6.02
23.92,13.11,7.11,13.11,7.11,-7.11,-6.63,-4.58,6.00,6.00,6.00
24.16,13.07,7.08,13.07,7.08,-7.08,-6.62,-4.70,5.99,5.98,5.99
24.40,13.02,7.05,13.02,7.05,-7.06,-6.61,-4.83,5.97,5.97,5.97
24.65,12.97,7.02,12.98,7.02,-7.03,-6.60,-4.96,5.95,5.95,5.95
24.89,12.93,7.00,12.93,7.00,-6.99,-6.58,-5.09,5.94,5.93,5.93
25.14,12.88,6.96,12.88,6.96,-6.96,-6.57,-5.22,5.92,5.92,5.92
25.39,12.83,6.93,12.83,6.93,-6.93,-6.55,-5.35,5.90,5.90,5.90
25.65,12.78,6.89,12.78,6.90,-6.90,-6.52,-5.49,5.88,5.88,5.89
