frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,4.56,-1.24,4.55,-1.27,1.27,-0.48,-0.62,5.84,5.83,5.80
20.20,4.61,-1.19,4.60,-1.22,1.22,-0.49,-0.64,5.83,5.82,5.80
20.40,4.64,-1.16,4.65,-1.16,1.16,-0.51,-0.66,5.80,5.81,5.80
20.61,4.69,-1.11,4.70,-1.10,1.10,-0.52,-0.68,5.79,5.80,5.80
20.81,4.75,-1.05,4.75,-1.04,1.04,-0.53,-0.70,5.80,5.79,5.80
21.02,4.79,-1.01,4.80,-0.98,0.98,-0.54,-0.72,5.77,5.78,5.80
21.23,4.85,-0.93,4.85,-0.92,0.92,-0.56,-0.74,5.77,5.77,5.78
21.44,4.90,-0.87,4.91,-0.85,0.85,-0.57,-0.76,5.75,5.76,5.77
21.66,4.95,-0.80,4.96,-0.78,0.78,-0.58,-0.78,5.74,5.74,5.75
21.87,5.00,-0.73,5.01,-0.71,0.71,-0.60,-0.81,5.72,5.73,5.73
22.09,5.06,-0.66,5.07,-0.64,0.64,-0.61,-0.83,5.71,5.71,5.72
22.31,5.12,-0.57,5.12,-0.57,0.57,-0.63,-0.85,5.70,5.69,5.69
22.54,5.17,-0.50,5.18,-0.49,0.49,-0.64,-0.88,5.67,5.67,5.67
22.76,5.24,-0.41,5.24,-0.41,0.41,-0.66,-0.90,5.66,5.65,5.65
22.99,5.30,-0.32,5.30,-0.33,0.33,-0.67,-0.93,5.63,5.63,5.62
23.22,5.35,-0.24,5.35,-0.25,0.25,-0.69,-0.96,5.60,5.60,5.59
23.45,5.41,-0.15,5.41,-0.17,0.17,-0.71,-0.98,5.58,5.58,5.56
23.69,5.47,-0.08,5.47,-0.09,0.09,-0.72,-1.01,5.56,5.56,5.55
23.92,5.53,0.00,5.53,-0.01,0.01,-0.74,-1.04,5.55,5.54,5.53
24.16,5.59,0.07,5.59,0.07,-0.07,-0.76,-1.07,5.53,5.52,5.52
24.40,5.64,0.14,5.65,0.15,-0.15,-0.78,-1.10,5.50,5.50,5.50
24.65,5.70,0.22,5.71,0.23,-0.23,-0.80,-1.13,5.48,5.48,5.48
24.89,5.76,0.30,5.77,0.30,-0.30,-0.82,-1.16,5.46,5.47,5.46
25.14,5.82,0.37,5.83,0.38,-0.38,-0.84,-1.19,5.45,5.45,5.45
25.39,5.88,0.45,5.88,0.45,-0.45,-0.86,-1.22,5.43,5.43,5.43
25.65,5.94,0.52,5.94,0.53,-0.53,-0.88,-1.25,5.42,5.42,5.42
25.91,6.00,0.61,6.00,0.60,-0.60,-0.90,-1.28,5.40,5.40,5.39
26.16,6.06,0.68,6.06,0.68,-0.68,-0.92,-1.31,5.39,5.39,5.38
26.43,6.12,0.75,6.12,0.75,-0.75,-0.95,-1.34,5.37,5.37,5.37
26.69,6.18,0.84,6.18,0.83,-0.83,-0.97,-1.37,5.36,5.35,5.34
26.96,6.24,0.91,6.24,0.90,-0.90,-1.00,-1.40,5.34,5.34,5.33
27.23,6.29,0.97,6.30,0.97,-0.97,-1.02,-1.44,5.32,5.32,5.32
27.50,6.34,1.03,6.35,1.05,-1.05,-1.05,-1.47,5.30,5.31,5.31
27.77,6.40,1.11,6.41,1.12,-1.12,-1.08,-1.50,5.29,5.29,5.29
28.05,6.47,1.19,6.47,1.19,-1.19,-1.10,-1.53,5.29,5.28,5.28
28.33,6.52,1.26,6.53,1.26,-1.26,-1.13,-1.55,5.27,5.27,5.26
28.62,6.58,1.33,6.58,1.33,-1.33,-1.16,-1.58,5.25,5.25,5.25
28.90,6.63,1.40,6.64,1.40,-1.40,-1.19,-1.61,5.24,5.24,5.23
29.19,6.68,1.47,6.69,1.46,-1.46,-1.22,-1.63,5.22,5.23,5.21
29.48,6.74,1.53,6.74,1.53,-1.53,-1.25,-1.66,5.21,5.21,5.21
29.78,6.80,1.60,6.80,1.60,-1.60,-1.28,-1.68,5.21,5.20,5.20
30.08,6.85,1.66,6.85,1.66,-1.66,-1.32,-1.70,5.19,5.19,5.19
30.38,6.89,1.72,6.90,1.72,-1.72,-1.35,-1.72,5.17,5.17,5.17
30.68,6.94,1.78,6.94,1.79,-1.79,-1.39,-1.74,5.16,5.16,5.16
30.99,6.99,1.86,6.99,1.84,-1.84,-1.42,-1.76,5.15,5.14,5.13
31.30,7.03,1.91,7.03,1.90,-1.90,-1.46,-1.78,5.13,5.12,5.12
31.61,7.07,1.96,7.07,1.96,-1.96,-1.50,-1.79,5.11,5.11,5.11
31.93,7.10,2.01,7.10,2.02,-2.02,-1.53,-1.81,5.09,5.09,5.09
32.24,7.13,2.07,7.14,2.07,-2.07,-1.57,-1.82,5.06,5.07,5.06
32.57,7.17,2.13,7.17,2.12,-2.12,-1.61,-1.83,5.05,5.05,5.04
32.89,7.20,2.17,7.21,2.18,-2.18,-1.65,-1.84,5.03,5.03,5.03
33.22,7.23,2.23,7.23,2.23,-2.23,-1.70,-1.85,5.01,5.01,5.00
33.55,7.26,2.27,7.26,2.28,-2.28,-1.74,-1.86,4.99,4.99,4.99
33.89,7.28,2.32,7.29,2.32,-2.32,-1.78,-1.87,4.96,4.97,4.96
34.23,7.31,2.37,7.32,2.37,-2.37,-1.83,-1.87,4.95,4.95,4.94
34.57,7.34,2.42,7.34,2.41,-2.41,-1.87,-1.88,4.93,4.93,4.92
34.92,7.36,2.46,7.36,2.46,-2.46,-1.92,-1.88,4.91,4.91,4.90
35.27,7.38,2.50,7.38,2.50,-2.50,-1.97,-1.89,4.88,4.89,4.88
35.62,7.40,2.54,7.40,2.54,-2.54,-2.02,-1.89,4.86,4.87,4.86
35.97,7.42,2.58,7.42,2.58,-2.58,-2.07,-1.90,4.84,4.84,4.84
36.33,7.44,2.62,7.44,2.62,-2.62,-2.12,-1.90,4.83,4.82,4.82
36.70,7.45,2.65,7.46,2.66,-2.66,-2.17,-1.90,4.80,4.80,4.80
37.06,7.47,2.69,7.47,2.69,-2.69,-2.22,-1.91,4.78,4.78,4.78
37.43,7.48,2.72,7.48,2.72,-2.72,-2.27,-1.91,4.76,4.76,4.76
37.81,7.49,2.75,7.50,2.76,-2.76,-2.32,-1.92,4.74,4.74,4.74
38.19,7.51,2.80,7.51,2.79,-2.79,-2.38,-1.93,4.73,4.72,4.71
38.57,7.51,2.81,7.52,2.82,-2.82,-2.43,-1.93,4.70,4.70,4.70
38.95,7.52,2.85,7.52,2.84,-2.84,-2.48,-1.94,4.68,4.68,4.67
39.34,7.53,2.88,7.53,2.87,-2.87,-2.54,-1.95,4.66,4.66,4.65
39.74,7.53,2.90,7.53,2.89,-2.89,-2.59,-1.96,4.64,4.64,4.63
40.14,7.53,2.91,7.54,2.91,-2.91,-2.65,-1.97,4.62,4.62,4.62
40.54,7.53,2.93,7.54,2.93,-2.93,-2.70,-1.99,4.60,4.60,4.60
40.94,7.54,2.96,7.54,2.95,-2.95,-2.75,-2.00,4.59,4.59,4.58
41.35,7.53,2.98,7.54,2.97,-2.97,-2.81,-2.02,4.56,4.57,4.55
41.76,7.54,2.99,7.54,2.99,-2.99,-2.86,-2.03,4.56,4.55,4.55
42.18,7.53,3.00,7.53,3.00,-3.00,-2.91,-2.05,4.53,4.53,4.53
42.60,7.52,3.01,7.53,3.02,-3.02,-2.96,-2.07,4.51,4.51,4.51
43.03,7.52,3.02,7.52,3.03,-3.03,-3.01,-2.10,4.49,4.49,4.50
43.46,7.51,3.04,7.52,3.05,-3.05,-3.06,-2.12,4.47,4.47,4.47
43.90,7.51,3.06,7.51,3.06,-3.06,-3.10,-2.14,4.46,4.45,4.45
44.33,7.50,3.07,7.50,3.07,-3.07,-3.15,-2.17,4.44,4.44,4.43
44.78,7.49,3.08,7.50,3.08,-3.08,-3.19,-2.20,4.42,4.42,4.41
45.23,7.48,3.10,7.48,3.09,-3.09,-3.23,-2.23,4.40,4.40,4.38
45.68,7.47,3.11,7.47,3.09,-3.09,-3.27,-2.26,4.38,4.38,4.36
46.13,7.46,3.11,7.46,3.10,-3.10,-3.30,-2.29,4.36,4.36,4.35
46.60,7.45,3.11,7.45,3.11,-3.11,-3.34,-2.33,4.34,4.34,4.34
47.06,7.43,3.11,7.43,3.12,-3.12,-3.37,-2.36,4.32,4.32,4.32
47.53,7.42,3.12,7.42,3.12,-3.12,-3.39,-2.40,4.30,4.30,4.30
48.01,7.40,3.11,7.40,3.13,-3.13,-3.42,-2.44,4.28,4.28,4.29
48.49,7.38,3.12,7.38,3.13,-3.13,-3.44,-2.48,4.25,4.26,4.26
48.97,7.36,3.13,7.37,3.13,-3.13,-3.45,-2.52,4.23,4.23,4.23
49.46,7.34,3.14,7.35,3.14,-3.14,-3.47,-2.56,4.21,4.21,4.20
49.96,7.32,3.15,7.33,3.14,-3.14,-3.47,-2.61,4.19,4.19,4.17
50.46,7.31,3.15,7.31,3.14,-3.14,-3.48,-2.65,4.17,4.17,4.16
