frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.66,1.35,5.65,1.32,-1.32,-1.46,-0.49,4.35,4.34,4.31
20.20,5.65,1.34,5.65,1.32,-1.32,-1.46,-0.51,4.33,4.33,4.31
20.40,5.63,1.32,5.65,1.32,-1.32,-1.47,-0.52,4.31,4.32,4.31
20.61,5.63,1.32,5.64,1.33,-1.33,-1.47,-0.54,4.30,4.31,4.31
20.81,5.63,1.32,5.64,1.33,-1.33,-1.48,-0.56,4.30,4.30,4.31
21.02,5.62,1.31,5.63,1.34,-1.34,-1.48,-0.57,4.28,4.29,4.31
21.23,5.62,1.33,5.62,1.34,-1.34,-1.48,-0.59,4.28,4.28,4.29
21.44,5.62,1.34,5.62,1.35,-1.35,-1.48,-0.61,4.27,4.27,4.28
21.66,5.61,1.35,5.61,1.36,-1.36,-1.49,-0.63,4.26,4.25,4.26
21.87,5.60,1.36,5.60,1.36,-1.36,-1.49,-0.65,4.24,4.24,4.24
22.09,5.60,1.37,5.59,1.37,-1.37,-1.49,-0.67,4.23,4.22,4.23
22.31,5.59,1.39,5.58,1.38,-1.38,-1.49,-0.69,4.21,4.20,4.20
22.54,5.57,1.39,5.57,1.39,-1.39,-1.49,-0.71,4.18,4.18,4.18
22.76,5.57,1.41,5.56,1.40,-1.40,-1.49,-0.73,4.17,4.16,4.16
22.99,5.55,1.42,5.55,1.42,-1.42,-1.48,-0.75,4.14,4.14,4.13
23.22,5.53,1.43,5.54,1.43,-1.43,-1.48,-0.78,4.11,4.11,4.10
23.45,5.52,1.45,5.53,1.44,-1.44,-1.48,-0.80,4.09,4.09,4.07
23.69,5.51,1.45,5.52,1.44,-1.44,-1.47,-0.82,4.07,4.07,4.06
23.92,5.50,1.46,5.50,1.45,-1.45,-1.47,-0.85,4.05,4.05,4.04
24.16,5.49,1.46,5.49,1.46,-1.46,-1.46,-0.87,4.03,4.03,4.03
24.40,5.47,1.46,5.48,1.47,-1.47,-1.46,-0.90,4.01,4.01,4.01
24.65,5.46,1.47,5.47,1.48,-1.48,-1.45,-0.92,3.99,3.99,3.99
24.89,5.45,1.48,5.46,1.48,-1.48,-1.44,-0.95,3.97,3.98,3.97
25.14,5.44,1.48,5.45,1.49,-1.49,-1.43,-0.97,3.96,3.96,3.96
25.39,5.43,1.49,5.43,1.49,-1.49,-1.42,-1.00,3.94,3.94,3.94
25.65,5.42,1.49,5.42,1.50,-1.50,-1.41,-1.02,3.93,3.93,3.93
