frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.69,-1.91,2.69,-1.91,1.92,1.72,0.61,4.60,4.60,4.60
20.20,2.71,-1.89,2.70,-1.90,1.90,1.73,0.63,4.61,4.60,4.60
20.40,2.72,-1.88,2.72,-1.88,1.88,1.73,0.65,4.60,4.60,4.60
20.61,2.74,-1.86,2.74,-1.86,1.86,1.73,0.67,4.60,4.60,4.60
20.81,2.76,-1.84,2.75,-1.85,1.84,1.72,0.69,4.60,4.60,4.60
21.02,2.77,-1.83,2.77,-1.82,1.82,1.71,0.71,4.59,4.59,4.60
21.23,2.79,-1.79,2.79,-1.80,1.80,1.70,0.73,4.58,4.58,4.58
21.44,2.80,-1.77,2.80,-1.77,1.77,1.68,0.75,4.57,4.57,4.57
21.66,2.81,-1.74,2.81,-1.74,1.75,1.66,0.78,4.56,4.56,4.55
21.87,2.81,-1.72,2.81,-1.72,1.72,1.64,0.80,4.53,4.54,4.53
22.09,2.83,-1.69,2.82,-1.69,1.69,1.61,0.83,4.52,4.52,4.52
22.31,2.83,-1.66,2.83,-1.67,1.67,1.58,0.85,4.49,4.49,4.49
22.54,2.83,-1.64,2.83,-1.64,1.64,1.55,0.88,4.46,4.47,4.47
22.76,2.84,-1.61,2.83,-1.61,1.61,1.51,0.91,4.45,4.44,4.45
22.99,2.84,-1.58,2.84,-1.58,1.58,1.48,0.93,4.42,4.42,4.42
23.22,2.84,-1.55,2.84,-1.55,1.55,1.44,0.96,4.39,4.39,4.39
23.45,2.86,-1.50,2.85,-1.52,1.52,1.41,0.99,4.38,4.37,4.36
23.69,2.86,-1.49,2.86,-1.49,1.49,1.37,1.02,4.35,4.35,4.35
23.92,2.87,-1.46,2.87,-1.46,1.47,1.33,1.05,4.33,4.34,4.33
24.16,2.89,-1.43,2.88,-1.44,1.44,1.30,1.08,4.32,4.32,4.32
24.40,2.89,-1.41,2.89,-1.41,1.41,1.26,1.11,4.29,4.30,4.30
24.65,2.90,-1.38,2.90,-1.38,1.38,1.23,1.15,4.27,4.28,4.28
24.89,2.92,-1.34,2.92,-1.35,1.34,1.20,1.18,4.26,4.26,4.26
25.14,2.94,-1.31,2.94,-1.31,1.30,1.16,1.21,4.24,4.24,4.25
25.39,2.97,-1.26,2.97,-1.26,1.26,1.13,1.24,4.23,4.23,4.23
25.65,3.00,-1.22,3.00,-1.22,1.22,1.10,1.27,4.21,4.21,4.22
25.91,3.03,-1.16,3.03,-1.17,1.17,1.07,1.31,4.19,4.20,4.19
26.16,3.06,-1.12,3.06,-1.12,1.12,1.05,1.34,4.18,4.18,4.18
26.43,3.10,-1.07,3.09,-1.07,1.07,1.02,1.37,4.17,4.16,4.17
26.69,3.13,-1.01,3.13,-1.02,1.02,1.00,1.40,4.15,4.15,4.14
26.96,3.16,-0.97,3.16,-0.97,0.98,0.97,1.43,4.14,4.14,4.13
27.23,3.19,-0.93,3.18,-0.93,0.94,0.95,1.46,4.13,4.12,4.12
27.50,3.21,-0.90,3.21,-0.90,0.90,0.93,1.49,4.11,4.11,4.11
27.77,3.22,-0.87,3.22,-0.87,0.87,0.91,1.52,4.09,4.09,4.09
28.05,3.24,-0.84,3.23,-0.85,0.85,0.90,1.55,4.08,4.08,4.08
28.33,3.24,-0.82,3.24,-0.83,0.83,0.88,1.58,4.06,4.06,4.06
28.62,3.24,-0.81,3.24,-0.81,0.81,0.87,1.60,4.05,4.05,4.05
28.90,3.23,-0.80,3.23,-0.80,0.80,0.86,1.62,4.03,4.03,4.03
29.19,3.22,-0.79,3.22,-0.80,0.80,0.85,1.64,4.01,4.02,4.01
29.48,3.22,-0.79,3.21,-0.80,0.80,0.84,1.66,4.01,4.01,4.01
29.78,3.20,-0.80,3.20,-0.80,0.80,0.84,1.68,4.00,4.00,4.00
30.08,3.18,-0.81,3.18,-0.81,0.80,0.83,1.70,3.98,3.98,3.99
30.38,3.15,-0.82,3.15,-0.82,0.82,0.83,1.71,3.96,3.97,3.97
30.68,3.13,-0.83,3.13,-0.83,0.83,0.83,1.72,3.96,3.96,3.96
30.99,3.10,-0.83,3.09,-0.84,0.85,0.83,1.73,3.95,3.94,3.93
31.30,3.05,-0.87,3.05,-0.87,0.88,0.84,1.73,3.92,3.93,3.92
31.61,3.01,-0.90,3.00,-0.90,0.90,0.84,1.74,3.91,3.91,3.91
31.93,2.95,-0.94,2.95,-0.94,0.94,0.85,1.74,3.88,3.88,3.89
32.24,2.89,-0.97,2.89,-0.98,0.97,0.86,1.74,3.86,3.86,3.86
32.57,2.83,-1.01,2.83,-1.01,1.01,0.88,1.73,3.84,3.84,3.84
32.89,2.77,-1.06,2.76,-1.06,1.06,0.89,1.73,3.83,3.82,3.83
33.22,2.70,-1.10,2.70,-1.11,1.11,0.91,1.72,3.80,3.81,3.80
33.55,2.63,-1.16,2.63,-1.16,1.16,0.93,1.71,3.78,3.78,3.79
33.89,2.56,-1.20,2.56,-1.21,1.21,0.96,1.70,3.76,3.76,3.76
34.23,2.48,-1.26,2.48,-1.26,1.26,0.99,1.68,3.74,3.74,3.74
34.57,2.41,-1.31,2.41,-1.31,1.32,1.02,1.67,3.72,3.72,3.72
34.92,2.33,-1.37,2.33,-1.37,1.37,1.05,1.65,3.70,3.70,3.70
35.27,2.25,-1.43,2.25,-1.43,1.44,1.09,1.63,3.68,3.68,3.68
35.62,2.17,-1.49,2.17,-1.49,1.50,1.13,1.61,3.67,3.66,3.66
35.97,2.08,-1.56,2.08,-1.56,1.56,1.18,1.59,3.64,3.64,3.64
36.33,2.00,-1.62,1.99,-1.63,1.63,1.23,1.57,3.63,3.62,3.62
36.70,1.90,-1.70,1.90,-1.70,1.69,1.29,1.55,3.59,3.60,3.60
37.06,1.82,-1.76,1.82,-1.76,1.76,1.35,1.53,3.58,3.58,3.58
37.43,1.74,-1.82,1.73,-1.83,1.82,1.41,1.51,3.56,3.56,3.56
37.81,1.65,-1.89,1.65,-1.89,1.89,1.49,1.49,3.53,3.54,3.54
38.19,1.58,-1.93,1.57,-1.95,1.95,1.56,1.47,3.52,3.52,3.51
38.57,1.49,-2.01,1.49,-2.00,2.00,1.65,1.45,3.49,3.49,3.50
38.95,1.42,-2.05,1.42,-2.05,2.06,1.73,1.43,3.47,3.47,3.47
39.34,1.35,-2.10,1.35,-2.10,2.11,1.82,1.41,3.45,3.45,3.45
39.74,1.29,-2.14,1.28,-2.15,2.15,1.92,1.39,3.44,3.43,3.43
40.14,1.22,-2.20,1.22,-2.20,2.19,2.02,1.37,3.41,3.42,3.42
40.54,1.16,-2.24,1.16,-2.23,2.23,2.11,1.35,3.39,3.40,3.40
40.94,1.12,-2.26,1.11,-2.27,2.27,2.21,1.33,3.39,3.38,3.38
41.35,1.07,-2.28,1.07,-2.29,2.30,2.31,1.31,3.36,3.36,3.35
41.76,1.03,-2.32,1.03,-2.31,2.32,2.40,1.30,3.34,3.35,3.35
42.18,1.00,-2.33,0.99,-2.34,2.33,2.49,1.28,3.33,3.32,3.33
42.60,0.97,-2.34,0.97,-2.35,2.34,2.56,1.27,3.30,3.31,3.31
43.03,0.95,-2.35,0.95,-2.34,2.33,2.62,1.25,3.28,3.29,3.30
43.46,0.95,-2.32,0.95,-2.33,2.32,2.66,1.24,3.27,3.27,3.27
43.90,0.95,-2.30,0.94,-2.31,2.31,2.69,1.23,3.26,3.25,3.25
44.33,0.95,-2.28,0.95,-2.28,2.29,2.70,1.22,3.23,3.23,3.23
44.78,0.95,-2.26,0.95,-2.25,2.26,2.69,1.21,3.20,3.21,3.21
45.23,0.97,-2.21,0.96,-2.22,2.22,2.65,1.20,3.19,3.19,3.18
45.68,0.98,-2.18,0.98,-2.18,2.19,2.60,1.19,3.17,3.17,3.16
46.13,1.01,-2.14,1.00,-2.15,2.15,2.54,1.18,3.16,3.15,3.15
46.60,1.03,-2.11,1.03,-2.11,2.11,2.46,1.18,3.13,3.13,3.14
47.06,1.06,-2.06,1.06,-2.06,2.06,2.37,1.17,3.12,3.12,3.12
47.53,1.09,-2.01,1.09,-2.02,2.01,2.27,1.17,3.10,3.10,3.10
48.01,1.13,-1.96,1.12,-1.96,1.96,2.17,1.16,3.08,3.08,3.09
48.49,1.16,-1.90,1.16,-1.90,1.90,2.06,1.16,3.06,3.06,3.06
48.97,1.19,-1.84,1.19,-1.84,1.84,1.95,1.16,3.03,3.03,3.03
49.46,1.23,-1.77,1.23,-1.77,1.78,1.84,1.15,3.01,3.00,3.00
49.96,1.27,-1.70,1.27,-1.71,1.72,1.74,1.15,2.98,2.98,2.97
50.46,1.31,-1.65,1.31,-1.65,1.65,1.63,1.15,2.96,2.96,2.96
50.96,1.35,-1.59,1.35,-1.59,1.59,1.53,1.15,2.94,2.94,2.94
51.47,1.39,-1.52,1.39,-1.53,1.53,1.44,1.15,2.92,2.92,2.91
51.99,1.42,-1.47,1.42,-1.47,1.47,1.35,1.15,2.89,2.89,2.89
52.51,1.46,-1.41,1.45,-1.41,1.41,1.26,1.15,2.87,2.87,2.87
53.03,1.49,-1.36,1.49,-1.36,1.35,1.18,1.15,2.84,2.85,2.85
53.56,1.53,-1.29,1.53,-1.30,1.30,1.11,1.15,2.82,2.82,2.82
54.10,1.57,-1.23,1.56,-1.24,1.24,1.03,1.15,2.81,2.80,2.80
54.64,1.59,-1.18,1.59,-1.18,1.18,0.97,1.15,2.77,2.77,2.77
55.18,1.62,-1.13,1.62,-1.13,1.13,0.90,1.15,2.74,2.75,2.75
55.74,1.65,-1.07,1.65,-1.07,1.07,0.84,1.15,2.72,2.72,2.72
56.29,1.68,-1.02,1.68,-1.02,1.02,0.79,1.15,2.70,2.70,2.70
56.86,1.71,-0.96,1.70,-0.97,0.97,0.74,1.15,2.68,2.68,2.67
57.42,1.73,-0.92,1.73,-0.92,0.92,0.69,1.14,2.65,2.65,2.65
58.00,1.75,-0.88,1.75,-0.88,0.88,0.64,1.14,2.63,2.63,2.63
58.58,1.77,-0.83,1.77,-0.84,0.84,0.60,1.13,2.61,2.61,2.60
59.16,1.79,-0.79,1.78,-0.80,0.80,0.55,1.12,2.59,2.58,2.58
59.76,1.80,-0.76,1.80,-0.76,0.76,0.51,1.11,2.56,2.56,2.56
60.35,1.81,-0.72,1.81,-0.73,0.72,0.48,1.10,2.53,2.53,2.53
60.96,1.82,-0.69,1.82,-0.69,0.68,0.44,1.09,2.50,2.50,2.51
61.57,1.83,-0.64,1.83,-0.65,0.64,0.41,1.07,2.47,2.47,2.47
62.18,1.84,-0.60,1.84,-0.60,0.60,0.38,1.06,2.44,2.44,2.44
62.80,1.85,-0.56,1.85,-0.56,0.57,0.35,1.04,2.42,2.42,2.41
63.43,1.86,-0.52,1.85,-0.53,0.53,0.32,1.02,2.39,2.39,2.38
64.07,1.86,-0.49,1.86,-0.50,0.50,0.29,1.00,2.36,2.36,2.35
64.71,1.86,-0.47,1.86,-0.47,0.47,0.26,0.97,2.33,2.33,2.33
65.35,1.86,-0.45,1.86,-0.45,0.45,0.24,0.95,2.30,2.30,2.31
66.01,1.86,-0.43,1.86,-0.43,0.42,0.21,0.92,2.28,2.28,2.29
66.67,1.87,-0.39,1.86,-0.40,0.40,0.19,0.89,2.27,2.26,2.26
67.33,1.87,-0.37,1.86,-0.37,0.38,0.17,0.86,2.24,2.24,2.24
68.01,1.86,-0.35,1.86,-0.35,0.35,0.15,0.83,2.21,2.22,2.21
68.69,1.86,-0.33,1.85,-0.33,0.33,0.12,0.80,2.19,2.19,2.19
69.37,1.85,-0.31,1.85,-0.31,0.31,0.10,0.76,2.16,2.16,2.16
70.07,1.85,-0.28,1.85,-0.29,0.29,0.08,0.72,2.13,2.13,2.13
70.77,1.85,-0.26,1.84,-0.27,0.26,0.06,0.69,2.11,2.11,2.11
71.48,1.84,-0.24,1.84,-0.24,0.24,0.04,0.65,2.08,2.08,2.08
72.19,1.83,-0.22,1.83,-0.22,0.22,0.02,0.61,2.04,2.05,2.05
72.91,1.83,-0.18,1.82,-0.20,0.19,0.01,0.57,2.02,2.01,2.01
73.64,1.81,-0.17,1.81,-0.17,0.17,-0.01,0.53,1.98,1.98,1.98
74.38,1.80,-0.15,1.80,-0.14,0.14,-0.03,0.48,1.94,1.95,1.95
75.12,1.80,-0.10,1.79,-0.12,0.12,-0.05,0.44,1.92,1.91,1.90
75.87,1.78,-0.09,1.78,-0.09,0.09,-0.07,0.40,1.87,1.87,1.87
76.63,1.77,-0.07,1.77,-0.07,0.07,-0.08,0.35,1.84,1.83,1.84
77.40,1.75,-0.05,1.75,-0.04,0.04,-0.10,0.31,1.79,1.79,1.80
78.17,1.74,-0.00,1.74,-0.02,0.02,-0.12,0.26,1.76,1.76,1.74
78.95,1.73,0.01,1.72,0.01,-0.01,-0.14,0.22,1.72,1.71,1.72
79.74,1.71,0.03,1.71,0.03,-0.04,-0.15,0.17,1.67,1.67,1.68
80.54,1.69,0.06,1.69,0.06,-0.06,-0.17,0.13,1.62,1.63,1.63
81.35,1.68,0.09,1.68,0.09,-0.09,-0.19,0.08,1.59,1.59,1.59
82.16,1.67,0.13,1.66,0.12,-0.12,-0.20,0.03,1.55,1.55,1.54
82.98,1.65,0.15,1.65,0.15,-0.15,-0.22,-0.02,1.50,1.50,1.50
83.81,1.63,0.19,1.63,0.18,-0.17,-0.24,-0.06,1.45,1.45,1.44
84.65,1.60,0.20,1.61,0.20,-0.20,-0.26,-0.11,1.39,1.40,1.40
85.50,1.59,0.23,1.58,0.23,-0.23,-0.27,-0.16,1.36,1.35,1.36
86.35,1.57,0.26,1.56,0.25,-0.26,-0.29,-0.21,1.31,1.31,1.31
87.22,1.54,0.28,1.54,0.29,-0.29,-0.31,-0.26,1.25,1.26,1.26
88.09,1.53,0.33,1.52,0.31,-0.31,-0.33,-0.31,1.21,1.21,1.20
88.97,1.50,0.34,1.50,0.34,-0.34,-0.35,-0.36,1.16,1.16,1.16
89.86,1.48,0.37,1.48,0.37,-0.37,-0.37,-0.41,1.11,1.11,1.11
90.76,1.45,0.40,1.45,0.40,-0.40,-0.39,-0.46,1.05,1.05,1.05
91.66,1.43,0.43,1.42,0.43,-0.42,-0.41,-0.51,1.00,1.00,1.00
92.58,1.40,0.46,1.40,0.45,-0.45,-0.43,-0.56,0.94,0.95,0.94
93.51,1.38,0.48,1.38,0.48,-0.48,-0.45,-0.61,0.89,0.90,0.90
94.44,1.36,0.51,1.36,0.51,-0.51,-0.47,-0.66,0.84,0.84,0.85
95.39,1.34,0.55,1.33,0.54,-0.55,-0.49,-0.71,0.79,0.79,0.79
96.34,1.31,0.59,1.31,0.58,-0.58,-0.51,-0.76,0.73,0.73,0.72
