frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-3.76,-9.98,-3.77,-10.01,10.01,9.56,2.93,6.25,6.24,6.22
20.20,-3.69,-9.91,-3.70,-9.93,9.93,9.59,3.02,6.24,6.23,6.22
20.40,-3.63,-9.85,-3.63,-9.86,9.86,9.62,3.10,6.23,6.22,6.22
20.61,-3.57,-9.79,-3.56,-9.78,9.78,9.63,3.19,6.20,6.21,6.22
20.81,-3.49,-9.71,-3.49,-9.69,9.69,9.64,3.29,6.21,6.20,6.22
21.02,-3.43,-9.65,-3.42,-9.61,9.61,9.64,3.38,6.18,6.19,6.22
21.23,-3.35,-9.55,-3.34,-9.53,9.53,9.63,3.48,6.18,6.18,6.20
21.44,-3.28,-9.47,-3.27,-9.44,9.44,9.61,3.58,6.16,6.17,6.19
21.66,-3.20,-9.37,-3.20,-9.35,9.35,9.58,3.68,6.15,6.16,6.17
21.87,-3.13,-9.28,-3.12,-9.26,9.26,9.54,3.78,6.13,6.14,6.15
22.09,-3.04,-9.18,-3.04,-9.17,9.17,9.49,3.89,6.13,6.12,6.14
22.31,-2.96,-9.07,-2.96,-9.07,9.07,9.44,4.00,6.11,6.11,6.11
22.54,-2.88,-8.97,-2.88,-8.97,8.97,9.37,4.12,6.09,6.09,6.09
22.76,-2.79,-8.86,-2.80,-8.87,8.87,9.30,4.23,6.08,6.06,6.07
22.99,-2.72,-8.76,-2.72,-8.76,8.76,9.23,4.35,6.04,6.04,6.04
23.22,-2.64,-8.65,-2.64,-8.66,8.66,9.14,4.48,6.02,6.02,6.01
23.45,-2.55,-8.53,-2.56,-8.55,8.55,9.05,4.60,6.00,6.00,5.98
23.69,-2.48,-8.45,-2.47,-8.45,8.45,8.96,4.73,5.97,5.97,5.97
23.92,-2.39,-8.34,-2.39,-8.34,8.34,8.85,4.86,5.95,5.95,5.95
24.16,-2.30,-8.24,-2.30,-8.24,8.24,8.75,4.99,5.94,5.93,5.94
24.40,-2.23,-8.15,-2.22,-8.13,8.13,8.64,5.13,5.90,5.91,5.92
24.65,-2.14,-8.04,-2.13,-8.02,8.02,8.52,5.27,5.88,5.90,5.90
24.89,-2.04,-7.92,-2.04,-7.92,7.92,8.41,5.41,5.88,5.88,5.88
25.14,-1.95,-7.82,-1.95,-7.81,7.81,8.29,5.55,5.86,5.86,5.87
25.39,-1.86,-7.70,-1.86,-7.70,7.70,8.16,5.69,5.84,5.84,5.85
25.65,-1.76,-7.60,-1.77,-7.59,7.59,8.04,5.83,5.83,5.83,5.84
25.91,-1.67,-7.48,-1.67,-7.49,7.49,7.91,5.97,5.82,5.81,5.81
26.16,-1.58,-7.38,-1.58,-7.38,7.38,7.79,6.12,5.80,5.80,5.80
26.43,-1.48,-7.27,-1.49,-7.27,7.27,7.66,6.26,5.79,5.78,5.79
26.69,-1.39,-7.15,-1.40,-7.16,7.16,7.53,6.40,5.77,5.77,5.76
26.96,-1.30,-7.05,-1.30,-7.05,7.05,7.40,6.54,5.75,5.75,5.75
27.23,-1.21,-6.95,-1.21,-6.95,6.95,7.27,6.67,5.73,5.74,5.74
27.50,-1.12,-6.85,-1.12,-6.84,6.84,7.14,6.80,5.72,5.72,5.73
27.77,-1.03,-6.74,-1.03,-6.74,6.74,7.01,6.93,5.71,5.71,5.71
28.05,-0.93,-6.63,-0.94,-6.63,6.63,6.88,7.05,5.70,5.69,5.70
28.33,-0.85,-6.53,-0.84,-6.52,6.52,6.75,7.16,5.67,5.68,5.68
28.62,-0.75,-6.42,-0.75,-6.42,6.42,6.62,7.27,5.67,5.67,5.67
